,title,price,description,colour,category
1231,shaping waist sports tights,24.99,"sports tights in fast drying, functional fabric with wide ribbing to hold and shape waist. concealed key pocket in waistband. polyester 91%, elastane 9%",black black patterned,bottoms
1232,smoothing slip,24.99,"short slip in stretch fabric with narrow, adjustable shoulder straps. designed with a minimal number of seams for comfort against skin and minimal visibility under clothes. polyamide 95%, elastane 5%",black,lingerie
1233,2 pack thong briefs,12.99,"thong briefs in mesh with a low waist and lined gusset. polyamide 88%, elastane 12%",black light beige black leopard print,lingerie
1234,lace thong briefs,9.99,thong briefs in lace with a low waist and lined gusset. gusset lining: cotton 100%,burgundy,lingerie
1235,h&m+ jacquard knit sweater,29.99,"soft, jacquard knit sweater with wool content. round neckline, long sleeves, and ribbing at neckline, cuffs, and hem. boxy style. polyamide 51%, acrylic 44%, polyester 2%, elastane 2%, wool 1%",beige black beige zebra print,outerwear
1236,fine knit sweater,19.99,"wide cut sweater in a soft, fine knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",dark yellow,outerwear
1237,cable knit sweater,34.99,"soft, cable knit sweater with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 94%, polyamide 6%",beige,outerwear
1238,mama culottes,29.99,"pants in airy, woven viscose fabric with side pockets and straight, wide ankle length legs. wide, elasticized jersey panel at waist for added comfort. waist: cotton 94%, elastane 6%",dark blue cream dark blue white floral,maternity
1239,3 pack liner socks,12.99,"lightweight, unlined liner socks in fast drying, functional fabric. reinforced toes and heels. polyamide 98%, elastane 2%",solid-color white,activewear
1240,lace brazilian briefs,9.99,"lace brazilian briefs with a low waist, narrow sides, and thong at back. lined gusset. lining: cotton 100%",powder pink,lingerie
1241,mama v neck sweater,34.99,"soft knit sweater with wool content. v neck, gently dropped shoulders, and long sleeves. ribbing at cuffs and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",taupe,outerwear
1242,mama padded nursing bra,19.99,"soft cup nursing bras in lace. lightly padded cups with opening and space for nursing pads. adjustable shoulder straps and a wide section at back with hook and eye fasteners. cup lace: polyamide 90%, elastane 10%",white,lingerie
1243,lace brazilian briefs,6.99,"brazilian briefs in lace with a low waist, high cut back, and lined gusset. lace: polyamide 89%, elastane 11%",red,lingerie
1244,h&m+ hooded jacket,29.99,"sweatshirt jacket with a lined drawstring hood. zip at front, side pockets, and ribbing at cuffs and hem. cotton 55%, polyester 45%",pink melange,outerwear
1245,mama camisole with shelf bra,17.99,"conscious. nursing top in soft, organic cotton jersey. soft, integral top with convenient fasteners for easier nursing access. narrow, adjustable shoulder straps, padded inserts, and elasticized hem. lace: polyamide 82%, elastane 18%",powder pink,lingerie
1246,h&m+ crêped wrap front dress,34.99,"knee length dress in crêped jersey. v neck with sewn wrapover at top. seam at waist, attached tie belt, long, slightly wider sleeves with cuffs, and flared skirt. lined at front of bodice. polyester 95%, elastane 5%",dark teal,dress
1247,fine knit top,24.99,"fitted top in fine knit viscose blend fabric. round neckline and long sleeves. viscose 42%, acrylic 42%, polyamide 16%",dusky green,tops
1248,3 pack microfiber thong briefs,12.99,"briefs in microfiber with wide lace trim at top. low waist, narrow sides, and thong at back. lined gusset. polyamide 85%, elastane 15%",powder pink burgundy,lingerie
1249,mama ankle length pants,34.99,"ankle length pants in washed stretch twill. mock front pockets, regular back pockets, and tapered legs. jersey ribbing at waist for improved fit. cotton 65%, viscose 32%, elastane 3%",white,pants
1250,h&m+ v neck sweater,19.99,"wide cut, v neck sweater in a soft, fine knit with dropped shoulders, long sleeves, and ribbing at cuffs and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",brown melange,outerwear
1251,lace push up bra,17.99,"push up bra in lace and mesh with molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps. hook and eye fastening at back. lace: polyamide 91%, elastane 9%",dark pink,lingerie
1252,sports bra high support,29.99,"sports bra in fast drying, functional fabric with padded cups. wide, lightly padded, adjustable shoulder straps crossed at back. elasticized lower edge with hook and eye fasteners at back. extra firm support. elastic section: polyester 67%, elastane 21%, polyamide 12%",black dark gray melange black,lingerie
1253,soft cup lace bra,19.99,"soft cup racerback bra in soft lace. removable inserts for shaping and good support, adjustable shoulder straps, and metal fastener at front. lining: polyamide 88%, elastane 12%",red,lingerie
1254,h&m+ skinny high waist jeans,24.99,"5 pocket jeans in stretch denim with heavily distressed details. high waist, zip fly with button, and slim legs. cotton 81%, polyester 17%, elastane 2%",light denim blue,jeans
1255,knit wool blend sweater,34.99,"premium quality. knit sweater in a soft, fluffy wool blend with a slightly boxy cut. dropped shoulders, long, wide sleeves, and ribbing at neckline, cuffs, and hem. wool 48%, alpaca 32%, polyester 20%",gray melange,outerwear
1256,h&m+ crochet trimmed cardigan,29.99,"straight cut, fine knit cardigan in a viscose blend. heavily dropped shoulders, 3/4 length sleeves, and crocheted lace trim at cuffs and hem. no buttons. polyester 50%, viscose 47%, elastane 3%",black,outerwear
1257,mama skinny ankle jeans,49.99,"ankle length jeans in washed stretch denim with mock front pockets, regular back pockets, and tapered legs. wide jersey ribbing at waist for improved fit. cotton 99%, elastane 1%",denim blue,jeans
1258,mama patterned top,24.99,long sleeved top in soft viscose jersey with a printed pattern. v neck with ties at neckline. elasticized seam below bust. viscose 100%,cream black cream black patterned,tops
1259,h&m+ wrap dress,49.99,"dress in matte satin with a removable tie belt. low cut v neck with concealed hook and eye fastener, sewn wrapover front, and seam at waist. flared skirt with a wide flounce. unlined. polyester 100%",black,dress
1260,knit turtleneck sweater,24.99,"sweater in a soft rib knit with wool content. turtleneck, heavily dropped shoulders, and long, wide sleeves. acrylic 73%, polyester 21%, elastane 3%, wool 3%",gray melange,outerwear
1261,mama sweater with faux pearls,39.99,"fine knit sweater with wool content decorated with faux pearls. high collar, dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",white,outerwear
1262,2 pack cotton push up bras,17.99,"push up bras in soft cotton jersey with lace. molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps and narrow back section with fastener. cotton 95%, elastane 5%",dark red light powder pink,lingerie
1263,turtleneck sweater,24.99,"soft, fitted rib knit sweater with a mock turtleneck, visible zip at top, and long sleeves. viscose 82%, polyamide 18%",neon yellow,outerwear
1264,fine knit dress,19.99,"fine knit dress in a soft viscose blend a round neckline, 3/4 length sleeves, and gently flared skirt. unlined. viscose 70%, polyamide 30%",black,dress
1265,3 pack cotton thong briefs,9.99,"thong briefs in cotton jersey with lace trim. low waist, narrow sides, and thong back. lined gusset. cotton 95%, elastane 5%",light gray melange,lingerie
1266,h&m+ tie hem top,17.99,"short, v neck top in jersey. decorative buttons at front, short, wide sleeves, and elasticized hem with tie detail. polyester 99%, elastane 1%",red,tops
1267,off the shoulder sweater,24.99,"off the shoulder sweater in soft, fine knit fabric with wool content. long sleeves and ribbing at upper edge, cuffs, and hem. acrylic 52%, polyester 27%, polyamide 12%, elastane 6%, wool 3%",dark gray melange,outerwear
1268,lace thong briefs,9.99,"lace briefs with a low waist, wide sides with decorative straps, and thong back. lined gusset. gusset lining: cotton 100%",black,lingerie
1269,strapless push up bra,19.99,"strapless balconette bra in microfiber with padded underwire cups to maximize bust and cleavage. silicone trim and hook and eye fastening at back. shoulder straps included. polyester 76%, elastane 24%",black,lingerie
1270,padded lace bandeau bra,19.99,"strapless soft cup bandeau bra in lace and mesh with molded, padded cups for shaping and good support. wide lace trim at lower edge. no fasteners. wing: polyamide 82%, elastane 18%",dark blue,lingerie
1271,4 pack thong briefs,12.99,"thong briefs with a low waist and thong back. lined gusset. polyamide 89%, elastane 11%",dark purple vintage pink white black dark purple,lingerie
1272,fine knit sweater,12.99,"slightly shorter sweater in a soft, fine knit with long sleeves. ribbing at neckline, cuffs, and hem. viscose 70%, polyamide 30%",dark blue,outerwear
1273,sports tank top with bra,29.99,"loose fit sports tank top in fast drying, functional fabric with an integral sports bra and racer back. sports bra with double layers of fabric at front, elasticized lower edge, and opening at back with crossover straps. polyester 93%, elastane 7%",black,tops
1274,wool blend hooded sweater,99.00,"premium quality. sweater in soft wool blend knit fabric with alpaca content. wrapover hood, heavily dropped shoulders, and long dolman sleeves. wide, elasticized knit trim at hem. polyamide 35%, alpaca 33%, wool 32%",black,outerwear
1275,mama ribbed jersey dress,29.99,"fitted, knee length dress in soft, ribbed jersey. small stand up collar, long sleeves, and removable belt with round plastic buckle. gathers at sides for improved fit over tummy. polyester 58%, viscose 32%, elastane 10%",light beige,dress
1276,3 pack hipster briefs,14.99,"hipster briefs in microfiber with lace trim. low waist, lined gusset, wide sides, and cutaway coverage at back. lace: polyamide 87%, elastane 13%",black,lingerie
1277,light shaping bodysuit,34.99,"microfiber bodysuit with a gentle sculpting effect on waist, hips, back, and seat. soft, mesh lined lace cups with removable inserts for a natural shape and light support. narrow, adjustable shoulder straps and glued hems for a smooth silhouette. lined gusset with snap fasteners. gusset lining: cotton 100%",dark beige,lingerie
1278,sculpting sports leggings,29.99,"sports leggings in fast drying functional fabric. high waist and wide waistband to hold and shape waist. sculpting seams at back showcase the body’s physique. concealed key pocket in waistband. polyester 88%, elastane 12%",gray melange rose gold-colored,bottoms
1279,h&m+ denim jumpsuit,34.99,"sleeveless, ankle length jumpsuit in softly draped denim. v neck, buttons at top, and narrow, elasticized seam at waist with removable tie belt. side pockets and straight, wide legs. cotton 78%, polyester 22%",light blue,jumpsuit
1280,sports tights shaping waist,19.99,"sports tights in fast drying functional fabric. regular waist, wide ribbing to hold and shape waist, and concealed key pocket in waistband. polyester 91%, elastane 9%",coral pink dark blue orange black coral pink patterned,bottoms
1281,h&m+ girlfriend regular jeans,34.99,"5 pocket jeans in washed stretch denim with a regular waist, zip fly, and tapered legs. cotton 98%, elastane 2%",denim blue,jeans
1282,3/4 length sports leggings,24.99,"3/4 length sports leggings in fast drying, functional fabric with a high waist, wide waistband, and open leg pockets. polyester 88%, elastane 12%",black dark gray light gray white black white patterned,bottoms
1283,oversized sweater,34.99,"oversized sweater in a soft jacquard knit with alpaca wool content. round neckline, long raglan sleeves, and ribbing at neckline, cuffs, and hem. slightly longer at back. acrylic 62%, polyamide 32%, alpaca 4%, elastane 2%",light beige melange white dark gray light gray light beige melange patterned,outerwear
1284,knit mock turtleneck sweater,29.99,"conscious. boxy, long sleeved sweater in a soft knit. mock turtleneck, dropped shoulders, and ribbing at neck, cuffs, and hem. polyester content is recycled. polyester 52%, acrylic 38%, wool 8%, elastane 2%",light gray melange,outerwear
1285,mama padded nursing bra,19.99,soft cup nursing bras in lace. lightly padded cups with opening and space for nursing pads. adjustable shoulder straps and a wide section at back with hook and eye fasteners. cup lining: polyester 100%,black beige,lingerie
1286,pleated skirt,39.99,"flared, knee length skirt in rib knit fabric with a sheen. high waist, pleats, and elasticized waistband. waist: elastane 100%",burgundy,skirts
1287,fine knit turtleneck sweater,14.99,"soft, fine knit turtleneck sweater with ribbing at neck, cuffs, and hem. front: polyester 100%",light beige melange,outerwear
1288,running tights,34.99,"running tights in fast drying, functional fabric. regular waist, wide waistband with concealed drawstring, and side stripes on legs. waist: polyamide 85%, elastane 15%",black white black sportsday,bottoms
1289,mama ribbed dress,39.99,"knee length, rib knit dress in a soft cotton blend. v neck, buttons at top, and long sleeves. cotton 45%, viscose 34%, polyamide 21%",dark blue,dress
1290,mama swimsuit,34.99,"conscious. fully lined swimsuit with padded cups and removable inserts. detachable, adjustable shoulder straps, concealed elastication below bust for extra support, and gathers at sides for improved fit over tummy. silicone trim inside upper edge. made partly from recycled polyamide and polyester. polyamide 80%, elastane 20%",black,maternity
1291,mama jersey dress,29.99,"calf length dress in soft viscose jersey. removable tie belt below bust, short sleeves with sewn cuffs, and short slits at sides. unlined. viscose 100%",black,dress
1292,washed linen bathrobe,49.99,"premium quality. bathrobe in washed, woven linen fabric with two front pockets and a removable tie belt at waist. unisex. linen 100%",ocher,loungewear
1293,3 pack cotton hipster briefs,14.99,"briefs in cotton jersey. regular waist, wide elastic waistband, and cutaway coverage at back. lined gusset. gusset lining: cotton 100%",burgundy dark gray melange powder pink burgundy dark gray melange,lingerie
1294,mama fine knit dress,34.99,"knee length dress in a soft, fine knit with wool content. slightly wider neckline, opening at back with ties at back of neck, and wide ribbing at neckline, cuffs, and hem. gathers at sides for improved fit over tummy. acrylic 75%, polyamide 20%, wool 5%",dark green,dress
1295,soft cup lace bra,17.99,"soft cup bra in lace. padded triangular cups for shaping and good support. lace covered shoulder straps and wide lace trim at lower edge. no fasteners. other: polyamide 84%, elastane 16%",black,lingerie
1296,mama denim skirt,34.99,"short, 5 pocket skirt in washed stretch denim. make fly and raw edge hem. low ribbed jersey panel at waist for improved fit. elastic ribbing: cotton 95%, elastane 5%",denim blue,skirts
1297,sports tights shaping waist,19.99,"sports tights in fast drying functional fabric. regular waist, wide ribbing to hold and shape waist, and concealed key pocket in waistband. panels: polyamide 82%, elastane 18%",burgundy,bottoms
1298,silk briefs,24.99,"conscious. briefs in stretch silk fabric. low waist and medium coverage at back. cotton lined gusset. silk 93%, elastane 7%",black,lingerie
1299,mama 2 pack nursing tank tops,24.99,"conscious. soft nursing tank tops in organic cotton jersey with narrow, adjustable shoulder straps. soft, integral top with an elasticized lower edge and convenient fasteners for easier nursing access. cotton 93%, elastane 5%, viscose 2%",nan dark blue light gray,tops
1300,ribbed top with lace,24.99,"fitted, rib knit top in a soft viscose blend. low cut v neck at front and back with lace trim. long sleeves. viscose 70%, polyamide 30%",burgundy,tops
1301,h&m+ patterned nightshirt,24.99,"long nightshirt in cool, woven viscose fabric with a printed pattern. collar, buttons at front, dropped shoulders, and long sleeves with cuffs. gently rounded hem. viscose 100%",dark blue green dusty rose light blue dark blue floral,tops
1302,mama nursing dress,29.99,"knee length dress in soft viscose jersey with short sleeves and a unique nursing feature – double layer at top helps retain warmth while allowing easier nursing access. outer layer with a drawstring at hem. viscose 95%, elastane 5%",red red striped,dress
1303,h&m+ knee length denim shorts,29.99,"5 pocket, knee length shorts in washed stretch denim with heavily distressed details. regular waist, zip fly with button, and slim legs with frayed, raw edge hems. cotton 99%, elastane 1%",black,shorts
1304,knit sweater with sequin motif,19.99,"wide cut sweater in soft, fine knit fabric with wool content. sequin embroidered motif at front, heavily dropped shoulders, and long sleeves. wide ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",red gold-colored white red gloves actually,outerwear
1305,mama 2 pack cotton briefs,14.99,"conscious. briefs in organic cotton jersey with lace details. high waist, full coverage at the back, and gathers at sides for improved fit over tummy. lined gusset. cotton 95%, elastane 5%",black,lingerie
1306,mama super skinny jeans,34.99,"jeans in washed, stretch denim. mock front pockets, regular back pockets, and super skinny legs with raw edge hems. low waist with wide, elasticized panel at front and concealed, adjustable elastic in waistband to adjust width for wear during pregnancy and afterwards. cotton 68%, polyester 27%, viscose 4%, elastane 1%",black,jeans
1307,h&m+ long jersey camisole top,7.99,"long, fitted camisole top in jersey with narrow, adjustable shoulder straps. cotton 95%, elastane 5%",black,tops
1308,h&m+ 2 pack cotton bra tops,24.99,"bra tops in stretch jersey made from a cotton blend. elasticized lower edge and jersey lining. cotton 95%, elastane 5%",light gray melange black white light gray melange black,tops
1309,washed linen bathrobe,49.99,"premium quality. bathrobe in washed, woven linen fabric with two front pockets and a removable tie belt at waist. unisex. linen 100%",dark yellow,loungewear
1310,mama nursing top,34.99,"top in a soft, fine, rib knit viscose blend with a double layered turtleneck, heavily dropped shoulders, and long sleeves. high slits at sides for easier nursing access. viscose 80%, polyester 17%, elastane 3%",light beige,tops
1311,h&m+ viscose dress,24.99,"short, straight cut dress in woven viscose fabric. wide, 3/4 length sleeves with slit along outer arm and tie at cuffs. unlined. viscose 100%",brown brown floral,dress
1312,cashmere turtleneck sweater,199.00,"premium quality. slightly longer, straight cut turtleneck sweater in soft, rib knit cashmere. heavily dropped shoulders and long sleeves. cashmere 100%",light beige,outerwear
1313,h&&m+ firm shaping bodysuit,29.99,bodysuit in microfiber and lace with a firm shaping effect on tummy and seat. adjustable shoulder straps. lined gusset with snap fasteners. gusset lining: cotton 100%,black,tops
1314,3 pack cotton bikini briefs,14.99,"bikini briefs in cotton and lace with a low waist, wide sides, and medium coverage at back. lined gusset. gusset lining: cotton 100%",black,lingerie
1315,h&m+ pea coat,69.99,"pea coat in woven fabric with shiny metal buttons, notched lapels, and welt side pockets. lined. lining: polyester 56%, viscose 44%",black,outerwear
1316,knit cowl neck dress,49.99,"calf length dress in a soft knit with wool content. large cowl neck, dropped shoulders, and ribbing at cuffs and hem. short slits at sides. acrylic 59%, polyamide 36%, wool 5%",black,dress
1317,h&m+ twill shorts high waist,17.99,"shorts in superstretch twill with a high waist. zip fly with button, back pockets, and sewn cuffs at hems. cotton 65%, polyester 33%, elastane 2%",black,shorts
1318,2 pack bandeau bras,9.99,"soft cup bandeau bras in jersey with decorative gathers at front and silicone trim inside upper edge. lined at front. cotton 57%, polyester 38%, elastane 5%",beige dusty rose beige leopard print,lingerie
1319,lace push up bralette,24.99,"push up bralette in lace with decorative lacing at front. molded, padded cups for light lift and enhanced cleavage. narrow, adjustable shoulder straps, wide lace trim at lower edge, and hook and eye fasteners at back. cup lining: polyester 100%",black,lingerie
1320,h&m+ viscose shirt,17.99,"straight cut shirt in soft, woven viscose fabric with a collar, buttons at front, and long sleeves with narrow cuffs with buttons. rounded hem. viscose 100%",dark green light pink white yellow black dark green floral,tops
1321,mama 2 pack jersey tops,17.99,"conscious. fitted, short sleeved tops in soft jersey with gathers at sides for improved fit over tummy. cotton content is organic. cotton 100%",solid-color white black,tops
1322,mama stovepipe pants,24.99,"ankle length pants in slightly stretchy woven fabric with a mock fly and tapered, creased legs with a slit at hems. wide ribbing at waist for improved fit. cotton 64%, polyester 32%, elastane 4%",dark blue black white dark blue patterned,pants
1323,mama 2 pack nursing tops,29.99,"conscious. short sleeved nursing tops in organic cotton jersey. wrap section at front and practical inner top for easier nursing access. cotton 95%, elastane 5%",solid-color white black,tops
1324,gym bag,14.99,gym bag in mesh with drawstring at top. can also be used as a backpack. polyester lining. size 15 3/4 x 17 3/4 in. polyester 100%,dark green,activewear
1325,loose knit cardigan,12.99,"cardigan in a soft, loose knit with buttons at front, dropped shoulders, and long sleeves. polyester 50%, viscose 47%, elastane 3%",gray melange,outerwear
1326,wide leg pajama pants,17.99,"ankle length pajama pants in soft, airy viscose fabric. elasticized waistband and straight, wide legs. viscose 100%",blue pink purple light beige blue paisley-patterned,loungewear
1327,lace push up bra,19.99,"push up bra in lace and mesh. padded underwire cups with removable inserts to maximize bust and cleavage. decorative, crossover straps at front, adjustable shoulder straps, and hook and eye fasteners at back. cup lining: polyester 100%",black,lingerie
1328,jacquard knit sweater,29.99,"soft, jacquard knit sweater with wool content. round neckline, long sleeves, and ribbing at neckline, cuffs, and hem. boxy style. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",light beige dark beige dark brown light beige leopard print,outerwear
1329,3 pack lace thong briefs,12.99,"thong briefs in lace with a low, v shaped waist. thong back and lined gusset. gusset lining: cotton 100%",red black,lingerie
1330,mama support tights 70 denier,14.99,"tights with support for tummy, thighs, and calves while helping to maintain good circulation in legs. elasticized waistband with extra space for a growing tummy. 70 denier. polyamide 88%, elastane 12%",solid-color black,bottoms
1331,medium support sports bra,9.99,"sports bra in fast drying, functional fabric with mesh details, racer back, and wide, elasticized lower edge. lined at front. medium support. panels: polyamide 72%, elastane 28%",black,lingerie
1332,h&m+ padded jacket,49.99,"padded jacket in woven fabric with a padded hood with faux fur trim. zip and wind flap at front with snap fasteners, elastic at back of waistband, and narrow elastic at cuffs and hem. handwarmer pockets with zip and front pockets with snap fastener. lined. polyester 100%",dark brown,outerwear
1333,wool blend hooded sweater,99.00,"premium quality. sweater in soft wool blend knit fabric with alpaca content. wrapover hood, heavily dropped shoulders, and long dolman sleeves. wide, elasticized knit trim at hem. polyamide 35%, alpaca 33%, wool 32%",beige,outerwear
1334,h&m+ twill shirt dress,34.99,"knee length dress in soft cotton twill. collar, buttons at front, and yoke at back with pleat. chest pockets with flap and button, long sleeves, and removable tie belt at waist. unlined. cotton 100%",dark khaki green,dress
1335,microfiber and lace thong,12.99,"briefs in microfiber and lace with a low waist, wide sides, and thong back. lined gusset. gusset lining: cotton 100%",light powder pink,lingerie
1336,sports bra low support,19.99,"sports bra in fast drying, functional fabric with jacquard patterned details. removable inserts, adjustable shoulder straps crossed at back, and wide ribbing at lower edge. light support. designed with a minimum of seams for a more comfortable fit and added freedom of movement. polyamide 48%, polyester 46%, elastane 6%",light gray melange dusty rose light gray melange,lingerie
1337,h&m+ hooded parka,59.99,"parka in woven fabric made from a nylon and cotton blend. lined drawstring hood with wrapover fastening, zip and wind flap at front with snap fasteners, and concealed drawstring at waist and hem. diagonal front pockets with flap and snap fastener. adjustable tab and snap fastener at cuffs. vent at back. lined. cotton 65%, polyamide 35%",rust red,outerwear
1338,pajama camisole top and shorts,14.99,"pajamas with a short camisole top and shorts in soft, cotton jersey. top with narrow shoulder straps. shorts with high waist and elasticized drawstring waistband. cotton 50%, viscose 50%",white red white kellogg's,loungewear
1339,10 pack cotton shortie briefs,19.99,"briefs in cotton jersey with a regular waist, low cut legs, and medium coverage at back. lined gusset. cotton 95%, elastane 5%",black,lingerie
1340,lace push up bralette,24.99,"bralette in lace and mesh with padded underwire cups to maximize bust and cleavage. double, adjustable shoulder straps, decorative crossover straps at front, and hook and eye fastening at back. wide lace trim at lower edge. lace: polyamide 81%, elastane 19%",black,lingerie
1341,3 pack cotton hipster briefs,14.99,"hipster briefs in soft cotton jersey with lace trim at back. low waist, wide sides, and cutaway coverage at back. lined gusset. lace: polyamide 89%, elastane 11%",plum light powder pink dusty rose plum,lingerie
1342,fine knit puff sleeved sweater,24.99,"sweater in a soft, fine knit with a round neckline, gathers at shoulders, and short puff sleeves. ribbing at cuffs and hem. viscose 50%, acrylic 50%",powder pink,outerwear
1343,mama wide leg pants,29.99,"pants in lightweight, woven fabric. elasticized drawstring waistband, side pockets, mock welt back pockets, and straight legs. jersey ribbing at waist for improved fit. elastic ribbing: cotton 95%, elastane 5%",black,pants
1344,7 pack cotton hipster briefs,17.99,"hipster briefs in cotton jersey with a low waist, wide sides, and cutaway coverage at back. lined gusset. other materials: cotton 85%, viscose 10%, elastane 5%",black,lingerie
1345,hole pattern cashmere sweater,129.00,premium quality. rib knit sweater in soft cashmere with a hole knit pattern. small stand up collar and long sleeves. cashmere 100%,dark blue,outerwear
1346,lace brazilian briefs,6.99,"brazilian briefs in lace with a low waist, thong at back, and lined gusset. net: polyamide 88%, elastane 12%",dark dusty rose,lingerie
1347,h&m+ sleeveless jumpsuit,17.99,"sleeveless jumpsuit in soft viscose jersey. low cut neckline at back, elasticized seam at waist, side pockets, and tapered, ankle length legs. viscose 100%",black,jumpsuit
1348,microfiber push up bra,17.99,"push up bra in microfiber and lace. molded, padded cups to maximize bust and cleavage. narrow, adjustable shoulder straps. hook and eye fastening at back. lace: polyamide 82%, elastane 18%",black,lingerie
1349,strapless balconette bra,17.99,"balconette bra in microfiber and lace with padded underwire cups for lifting and shaping. narrow, detachable shoulder straps with multiple fastening options. back section with three pairs of hook and eye fasteners. cup lining: polyester 100%",black,lingerie
1350,yoga tights,29.99,"yoga tights in fast drying, functional fabric. high waist with wide ribbing to hold and shape waist. concealed key pocket in waistband. polyester 79%, elastane 21%",black white black zebra print,bottoms
1351,knit sweater,24.99,"soft, boxy knit sweater with wool content. round neckline, dropped shoulders, and long sleeves. ribbing at neckline, cuffs, and hem. acrylic 62%, polyamide 28%, wool 8%, elastane 2%",white gray melange black,outerwear
1352,h&m+ jacket dress,59.99,"long sleeved jacket dress in woven, crêped fabric. narrow, notched lapels, concealed wrapover fastening at front, and removable tie belt at waist. lined. polyester 100%",black,dress
1353,cardigan with tie belt,34.99,"soft, rib knit cardigan with removable tie belt at waist. long sleeves with hole knit details. no buttons. acrylic 50%, cotton 50%",light gray,outerwear
1354,lace brazilian briefs,9.99,"brazilian briefs in lace and mesh with a low waist, high cut back, and lined gusset. gusset lining: cotton 100%",red,lingerie
1355,h&m+ sports top,14.99,"conscious. sleeveless sports top in fast drying functional fabric with a racer back in thick mesh. polyester content is recycled. panels: polyester 84%, elastane 16%",neon orange,tops
1356,mama 200 denier tights,12.99,"matte, opaque tights with extra room for a growing tummy. 200 denier. polyamide 90%, elastane 10%",burgundy,bottoms
1357,h&m+ embrace shape ankle jeans,49.99,"premium quality. 5 pocket, ankle length jeans in washed stretch embrace denim – smart stretch function molds fabric to body for a comfortable, flattering fit.. heavily distressed details, high waist, and zip fly with button. skinny legs with raw edge hems. cotton 92%, elasterell p 6%, elastane 2%",dark denim blue,jeans
1358,sports leggings high waist,29.99,"ankle length sports leggings in fast drying, functional fabric with a high waist and wide waistband with concealed key pocket. polyester 74%, elastane 26%",beige light pink beige zebra print,bottoms
1359,h&m+ denim shorts,29.99,"5 pocket shorts in washed denim with heavily distressed details. low waist, button fly, and sewn cuffs at hems. cotton 100%",light denim blue,shorts
1360,microfiber push up bra,17.99,"bra in lace and microfiber with molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps and narrow back section with two pairs of hook and eye fasteners. polyamide 85%, elastane 15%",black black leopard print,lingerie
1361,seamless sports leggings,29.99,"sports leggings in fast drying, functional fabric with jacquard patterned details. high waist and wide, ribbed elasticized waistband. designed with minimum number of seams for added comfort and increased freedom of movement. polyamide 89%, elastane 11%",brown,bottoms
1362,mama jersey top,17.99,short sleeved top in soft viscose jersey with embroidery. gathers at sides for improved fit. viscose 100%,white green white striped,tops
1363,h&m+ hooded top with motif,29.99,"soft, long sleeved sweatshirt with a motif at front. jersey lined drawstring hood, kangaroo pocket, and ribbing at cuffs and hem. soft, brushed inside. cotton 60%, polyester 40%",back white red yellow blue black,tops
1364,shaping shorts 80 denier,12.99,"shorts with a shaping effect on tummy, hips, and thighs. 80 denier. polyamide 85%, elastane 15%",solid-color black,lingerie
1365,knit hooded sweater,34.99,"soft, knit sweater with wool content. drawstring hood, heavily dropped shoulders, long sleeves, and ribbing at cuffs and hem. slits at sides. slightly longer at back. acrylic 63%, polyamide 32%, wool 5%",mint green,outerwear
1366,push up bralette,17.99,bralette in lace with padded underwire cups and removable inserts to maximize bust and cleavage. adjustable shoulder straps and hook and eye fastening at back. cup lining: polyester 100%,red,lingerie
1367,pajama pants,12.99,"lightweight pajama pants. elasticized waistband with drawstring. tapered legs with ribbed hems. cotton 80%, polyester 20%",dark gray,loungewear
1368,h&m+ shaping skinny jeans,59.99,"premium quality. shaping. 5 pocket jeans in washed denim with technical stretch to hold and shape the tummy, thighs, and seat, while jeans retain their shape. regular waist, zip fly and button, and skinny legs. cotton 79%, elasterell p 17%, elastane 4%",dark denim blue,jeans
1369,h&m+ pile lined parka,59.99,"pile lined parka in woven cotton fabric with padded sleeves. pile lined hood with detachable faux fur trim, stand up collar, and zip and wind flap at front with concealed snap fasteners. drawstring at waist and hem. elasticized tab at cuffs with concealed snap fastener. front pockets with flap and snap fastener and a concealed pocket underneath with snap fastener at top. small vent at back. lined. padding: polyester 100%",black,outerwear
1370,mama pile lined parka,69.99,"short, pile lined parka in woven cotton fabric with a faux fur trimmed hood. stand up collar, zip and wind flap at front with concealed snap fasteners, and covered, elasticized cuffs with adjustable tab and snap fastener. patch front pockets with flap and snap fastener, concealed side pockets, and a concealed drawstring at waist and hem. small vent at back. lined. padding: polyester 100%",khaki green,outerwear
