,title,price,description,colour,category
31,h&m+ sports tank top,12.99,"conscious. loose fit sports tank top in fast drying jersey made from a viscose blend. racer back, horizontal strap at back of neck, and crossover straps at back with open section. rounded hem. polyester content is partly recycled. polyester 50%, cotton 50%",white,tops
32,merino wool dress,69.99,"premium quality. fitted, knee length dress in soft, fine knit merino wool with decorative seams. mock turtleneck and long, voluminous sleeves. roll edges at neck, cuffs, and hem. wool 100%",black,dress
33,h&m+ v neck top,24.99,"sleeveless top in woven, crêped fabric with v shaped opening at front. small stand up collar, yoke at back with pleat, and rounded hem. polyester 100%",dark green,tops
34,oversized sweater,34.99,"wide cut knit sweater in a soft cotton blend. mock turtleneck, dropped shoulders, and long sleeves. ribbing at neck, cuffs, and hem. longer at back. cotton 71%, acrylic 28%, wool 1%",khaki green melange,outerwear
35,4 pack cotton hipster briefs,12.99,"conscious. hipster briefs in organic cotton jersey with lace trim. low waist, cutaway coverage at back, and lined gusset. lace: polyamide 86%, elastane 14%",black,lingerie
36,3 pack brazilian briefs,12.99,"brazilian briefs in microfiber and lace. low waist, thong back, and lined gusset. gusset lining: cotton 100%",black,lingerie
37,pajama top and shorts,17.99,"pajamas with a short sleeved top and shorts in soft jersey with a printed pattern. top with overlocked edge at cuffs and hem. shorts with elasticized waist and overlocked hems. viscose 50%, cotton 50%",white red white hearts,loungewear
38,h&m+ pleated jumpsuit,49.99,"conscious. off the shoulder jumpsuit in pleated, woven fabric made partly from recycled polyester. elasticized upper edge, narrow ties at back of neck, and elasticized seam at waist with drawstring. side seam pockets and straight, extra wide legs. unlined. polyester 100%",dark brown,jumpsuit
39,ribbed mock turtleneck dress,24.99,"straight cut dress in ribbed jersey with a mock turtleneck and long sleeves. polyester 58%, viscose 33%, elastane 9%",gray melange,dress
40,mama padded hooded jacket,79.99,"padded jacket in woven fabric with a lined hood. high collar, zip and wind flap at front with snap fasteners, side pockets with snap fastener, and elasticized cuffs. removable tie belt at waist. slightly longer and rounded at back. lined. polyester 100%",black,outerwear
41,mama 2 pack nursing bras,29.99,"conscious. soft cup nursing bras in organic cotton jersey. lightly padded cups with opening and space for nursing pads. slightly wider, adjustable shoulder straps and back section with three pairs of hook and eye fasteners. cup lining: polyester 67%, elastane 33%",black dark gray,lingerie
42,mama 2 pack nursing bras,29.99,"conscious. soft cup nursing bras in organic cotton jersey with soft lace trim. padded cups with opening and space for nursing pads, adjustable shoulder straps, and hook and eye fasteners at back. cotton 90%, viscose 5%, elastane 5%",white dark blue,lingerie
43,lace briefs high waist,14.99,"waist high briefs in lace with v shaped waist. cut out section at back with wide, ribbon ties in satin. lined gusset and high cut back. details: polyester 100%",black,lingerie
44,2 pack pajama shorts,17.99,"pajama shorts in airy, woven viscose fabric with a printed pattern. elasticized smocking at waist. viscose 100%",black white black striped,loungewear
45,h&m+ cable knit cardigan,49.99,"soft, cable knit cardigan with a low cut v neck and buttons at front. long raglan sleeves and patch front pockets. acrylic 100%",burgundy,outerwear
46,rib knit sweater,39.99,"rib knit sweater in a viscose blend with a slight sheen. v neck, sewn wrapover at front with a large, decorative metal button, and short sleeves. viscose 50%, polyamide 50%",black,outerwear
47,mama straight jeans,49.99,"jeans in washed stretch denim with a mock fly, mock front pockets, and regular back pockets. wide jersey panel at waist for improved fit over tummy. straight legs. cotton 70%, polyester 28%, elastane 2%",dark blue,jeans
48,mama treggings,29.99,"treggings in denim look stretch jersey. mock fly, mock front pockets, and regular back pockets. wide jersey panel at waist for improved fit over tummy. cotton 75%, polyester 18%, elastane 7%",dark gray denim,maternity
