,title,price,colour,category,description,brand
47,Kelista Flare Hem Wrap Dress,43.9,missing,dress,Kelista Flare Hem Wrap Dress,Love Bonito
48,Cestia Foldover Ruffle Pencil Skirt,46.9,missing,skirts,Cestia Foldover Ruffle Pencil Skirt,Love Bonito
49,Fleura Floral Printed Off Shoulder Maxi Dress,66.9,missing,dress,"Dreamy pastels and delicate florals on lux, silky fabric — we’re dreaming of this tonight. Features cutout shoulders and a ribbon tie on the side. Concealed back zip closure with hook and comes with detachable sash",Love Bonito
50,Elseth Lace Ruffle Hem Dress,51.9,missing,dress,Love at first sight. Lace overlay. Ruffle hem. ,Love Bonito
51,Rennie Ruffle Sleeve Top,41.9,missing,tops,Rennie Ruffle Sleeve Top,Love Bonito
52,Kelly Open Neck Dress,26.9,missing,dress,Kelly Open Neck Dress,Love Bonito
53,Yvessa Printed Playsuit,49.9,missing,jumpsuit,Yvessa Printed Playsuit,Love Bonito
54,Marley Tassel Tie Straight Leg Pants,46.9,missing,bottoms,<ul><li>Bohemian chic</li><li>Tassel tie</li><li>Straight leg</li><li>Concealed back zip closure with hook</li></ul>,Love Bonito
55,Eleen Open Back Maxi Dress in Wild Leopard,53.9,missing,dress,<b>Specially designed In-house print.</b> Ready for a holiday. Hand-painted leopard print. Tie back. Ruffle hem.,Love Bonito
56,Paloma Belted Contrast Romper in Flora Reverie,69.9,missing,jumpsuit,<p><strong>Studio Collection</strong>,Love Bonito
57,Desalin Elastic Waist Shorts,33.9,missing,shorts,Desalin Elastic Waist Shorts,Love Bonito
58,Vida Slim Fit Crop Pants,43.9,missing,bottoms,A fresh pop of colour. Sits close to the body. Cropped length. ,Love Bonito
59,Desree Tie Front Wide Leg Jumpsuit,56.9,missing,jumpsuits,Sleek & chic. Keyhole neck. Tie front. Wide leg. ,Love Bonito
60,Maxima Cape Overlay Top,39.9,missing,tops,"Some days call for a little extra. Soft, silky finish. V-neckline. ",Love Bonito
61,Faren Racerback Camisole,21.9,missing,tops,"Summer calls for lightweight, breezy tops that look great on their own with or without layers. Fuss-free and easy to style, tucked in or out.",Love Bonito
62,Svea Ribbed Knit Sweater,39.9,missing,outerwear,Stay cosy. Contrast piping. Sits close to the body. ,Love Bonito
63,Paj Printed Bustier Top,36.9,missing,tops,Specially designed In-house print. Work of art. Geometric shapes & textured brush strokes. Sweetheart neckline. Cropped length. Exposed metal open-end back zip closure with hook.,Love Bonito
64,Diane Tie Front Tweed Shorts,39.9,missing,shorts,Channel your inner Parisian. Luxurious tweed. Check print. Tie front detail.,Love Bonito
65,Avril V-neck Romper,43.9,missing,jumpsuit,Done in one. Gathered detail. Flattering V-neckline. Concealed back zip closure with hook.,Love Bonito
66,Jayelle Knit Top,36.9,missing,tops,"Basic, in the best way. Comfortable knit fabric. Subtle flare",Love Bonito
67,Anya Tie Front Romper in Sunburst Check,49.9,missing,jumpsuit,"<b>Specially designed in-house print.</b> Made for dreamy, summer day picnics. Tie front detail. Frill hem. ",Love Bonito
68,Rolanne Contrast Ruffle Hem Bodycon Dress,49.9,missing,dress,Take your workwear wardrobe up a notch. Contrast piping. Sits close to the body. ,Love Bonito
69,Enya Button Front Dress,49.9,missing,dress,Enya Button Front Dress,Love Bonito
70,Sabrina Satin Slip Skirt,43.9,missing,skirts,"Sleek & chic. Luxe, silky fabric. Classic A-line silhouette.",Love Bonito
71,Florette Floral Printed Halter Neck Maxi Dress,69.9,missing,dress,"Complete your sweet, girly look with halter neck details and luxurious, delicate pleats and gorgeous floral print all over. Concealed back zip closure",Love Bonito
72,Trudie Ruch Detail Skorts,39.9,missing,shorts,Trudie Ruch Detail Skorts,Love Bonito
73,Solange Square Neck Camisole Top,23.9,missing,tops,Solange Square Neck Camisole Top,Love Bonito
74,Arvo Tweed Wide-legged Pants,49.9,missing,bottoms,Arvo Tweed Wide-legged Pants,Love Bonito
75,Metala V-back Flutter Sleeve Top,36.9,missing,tops,Our Metala top has sleeves that end right at its cropped length - making it a perfect pairing for any high-waisted bottom.,Love Bonito
76,Tayor Ruched Toga Crop Top,36.9,missing,tops,Tayor Ruched Toga Crop Top,Love Bonito
77,Hana V-neck Shift Dress in Jungle Mania,46.9,missing,dress,<b>Specially designed In-house print.</b> For your daytime thing. Jungle-inspired motifs. V-neckline. ,Love Bonito
78,Lucia Broderie Anglaise Balloon Sleeve Top,49.9,missing,tops,Love at first sight. Broderie anglaise. Balloon sleeves. Structured fit. ,Love Bonito
79,June Cuffed Boyfriend T-shirt,21.9,missing,tops,One in every colour. Classic crew neck. Cuffed sleeves.,Love Bonito
80,Novella Pleated Knit Skirt,41.9,missing,skirts,"For the modern minimalist. Soft, pleated knit. Sits close to the body.",Love Bonito
81,Salena Wrap Knot Pinstriped Shorts,43.9,missing,shorts,Salena Wrap Knot Pinstriped Shorts,Love Bonito
82,Nelda Button Down Midi Pencil Skirt,41.9,missing,skirts,Sleek & chic. Classic pencil skirt silhouette. Button details on the front. Concealed back zip closure with hook. Functional front button placket,Love Bonito
83,Nora Notch Front Camisole,31.9,missing,tops,Nora Notch Front Camisole,Love Bonito
84,Aderyn Sash Tie Midi Jumpsuit,53.9,missing,jumpsuits,Aderyn Sash Tie Midi Jumpsuit,Love Bonito
85,Tati Butterfly Sleeve Top,36.9,missing,tops,"utterfly sleeves are a romantic, feminine addition to this ultra-comfy, ultra-lightweight top. All else is keep minimal, making this a versatile separate that goes with virtually any bottom, whether pencil skirts or flared pants.",Love Bonito
86,Yan Printed Ruffle Hem Cropped Top,33.9,missing,tops,Yan Printed Ruffle Hem Cropped Top,Love Bonito
87,Everleigh Printed V-neck Maxi Dress in Artful Zest,51.9,missing,dress,<ul><li>You're a work of art</li><li>V-neckline</li><li>Sash tie</li><li>Slit hem</li><li><b>Specially designed In-house print</b></li></ul>,Love Bonito
88,Sherilynn Textured Tunic Top,36.9,missing,tops,Suitable for life in or out of the office. Textured honeycomb design. Button detail. ,Love Bonito
89,Astee Peplum Camisole Top,33.9,missing,tops,Sunshine and wildflowers — that’s what this lovely top reminds us of. A fun Summer top with a flattering v-neckline and peplum hem. Pair with a denim skirt or your favourite skinnies for the girl-next-door look.,Love Bonito
90,Hermia Laser-cut Peplum Top,49.9,missing,tops,Hermia Laser-cut Peplum Top,Love Bonito
91,Ryland Printed Wrap Dress,49.9,missing,dress,<b>Specially designed In-house print.</b> It's a wrap. Elegant swan motifs. Tie side. ,Love Bonito
92,Glynnis Ribbed T-shirt,19.9,missing,tops,Glynnis Ribbed T-shirt,Love Bonito
93,Taylor Ribbon Tie Top,36.9,missing,tops,You're a work of art. Abstract print. V-neckline. ,Love Bonito
94,Jarano Scalloped Neck Flared Midi Jumpsuit,53.9,missing,jumpsuits,Jarano Scalloped Neck Flared Midi Jumpsuit,Love Bonito
95,Sedyn Button Front Crop Sweater,39.9,missing,outerwear,Sedyn Button Front Crop Sweater,Love Bonito
96,Iyana Elastic Waist Peg Pants,43.9,missing,bottoms,Classic workwear staple. Checked print. Cuffed hem. ,Love Bonito
