,title,price,colour,category,description,brand
405,Emersyn V-neck Relaxed Fit Sweater,39.9,missing,outerwear,"<ul><li>Stay cosy</li><li>Ribbed knit fabric</li><li>Drop shoulder</li><li>Material has high stretchability</li><li>Not lined</li><li>Made of viscose, nylon, polyester blend</li></ul>",Love Bonito
406,Hanissa Tie Front Trench Romper,51.9,missing,jumpsuit,Perfect for Sunday Brunch. Double breasted. Cuffed sleeves. Notched lapels. ,Love Bonito
407,Louisa Relaxed Fit Tank Top,36.9,missing,tops,Work-to-weekend vibes. Breathable fabric. Relaxed fit. Nursing-friendly.,Love Bonito
408,Nunegia Cowl Neck Midi Dress,53.9,missing,dress,Your next all-occasion dress comes in a slim fit and midi length. It features a draped neckline and exposed back zipper. Style with contrasting heels to wear the look everywhere.,Love Bonito
409,Aylin Camisole Top in Artful Bloom,36.9,missing,tops,<b>Specially designed in-house print.</b> You're a work of art. Straight neckline. Hand-painted strokes. ,Love Bonito
410,Rayne Ruffle Hem Lace Midi Dress,59.9,missing,dress,Featuring timeless lace hem and ruffle sleeves - this dress is the epitome of effortless class. Complete your look with delicate accessories and a small metallic clutch for an alluring night. Invisible zip closure at the back with hook.,Love Bonito
411,Demelza Polka Dot Tailored Blazer,53.9,missing,outerwear,Some days call for a little extra. Polka dot print. Tailored fit.,Love Bonito
412,Alayna Buckle Front Wide Leg Pants,49.9,missing,bottoms,<ul><li>Buckle up</li><li>Tortoiseshell buckle</li><li>Pleat detail</li><li>Wide leg</li><li>Concealed back zip closure</li></ul>,Love Bonito
413,Alvina Belted High Waist Pants,43.9,missing,bottoms,Alvina Belted High Waist Pants,Love Bonito
414,Jordev Pleat Front Embroidery Hem Shorts,41.9,missing,shorts,Jordev Pleat Front Embroidery Hem Shorts,Love Bonito
415,Maggie Knit Sweater,39.9,missing,outerwear,"On heavy rotation. Soft, ribbed knit. Sits close to the body. ",Love Bonito
416,Natalia Crossover Romper in Artful Zest,49.9,missing,jumpsuit,<b>Specially designed in-house print.</b> Bold & beautiful. V-neckline. Classic A-line silhouette.,Love Bonito
417,Faura Mesh Panel Foldover Dress,53.9,missing,dress,Faura Mesh Panel Foldover Dress,Love Bonito
418,Roslyn Satin Tie Back Top,43.9,missing,tops,Feelin' a little fancy? Sleek satin finish. Ribbon tie back. V-neckline. ,Love Bonito
419,Sorille Ruffle Hem Tie Back Romper,49.9,missing,jumpsuit,"Wear it alone, or pair with matching skirts. Ruffle hem. Tie back. ",Love Bonito
420,Faina Button Front Shirt Dress,49.9,missing,dress,Can't go wrong with a classic. Button front. Gathered detail. Midi length. Functional front button placket. Button fastening at cuff sleeve,Love Bonito
421,Akira Broderie Anglaise Shell Top,39.9,missing,tops,For your weekend plans. Broderie anglaise. Ruffle hem. High neckline. ,Love Bonito
422,Raegan Sleeveless Shirt,29.9,missing,tops,Pairs with just about anything. Button down. Relaxed fit. ,Love Bonito
423,Haeley Tiered Babydoll Dress,49.9,missing,dress,For your daytime thing. Breathable cotton fabric. Flare sleeve.,Love Bonito
424,Deran Pleated Ribbon Tie Maxi Dress,79.9,missing,dress,Because you're worth it. Satin ribbon straps. Luxurious fabric. Empire waist. ,Love Bonito
425,Kaen Tie Front Checkered Pants,43.9,missing,bottoms,You're a work of art. Checkered print. Wide leg. ,Love Bonito
426,Nedia Ruched Puff Sleeve Top,39.9,missing,tops,A truly dressed up top you can wear to spruce up the look of any bottom.,Love Bonito
427,Nylah Balloon Sleeve Top,36.9,missing,tops,Can't go wrong with a classic. Balloon sleeves. Keyhole back.,Love Bonito
428,Bianca Halter Neck Midi Dress,53.9,missing,dress,Sleek & chic. Foil print. Halter neckline. Sits close to the body. Slit hem. ,Love Bonito
429,Ema Relaxed Sweater,36.9,missing,outerwear,Ema Relaxed Sweater,Love Bonito
430,Magna Tweed Shift Dress,49.9,missing,dress,You deserve the best. Luxurious tweed. Figure-flattering silhouette. ,Love Bonito
431,Leighton High-rise Wide Leg Jeans - Medium Wash,51.9,missing,jeans,The one you've been looking for. Wide leg. Cuffed hem. Legs for days. ,Love Bonito
432,Seondra Cardigan,56.9,missing,outerwear,Seondra Cardigan,Love Bonito
433,Aliza Foldover Skorts,36.9,missing,shorts,Updated for the modern girl. Button detail. Cinched waist. ,Love Bonito
434,Opelia Asymmetrical Hem Peplum Top,36.9,missing,tops,For your day time thing. Breathable cotton. Asymmetrical peplum hem. ,Love Bonito
435,Driana Ruffle Detail Shorts,39.9,missing,shorts,Driana Ruffle Detail Shorts,Love Bonito
436,Poppy Foldover Midi Skirt in Moroccan Reverie,43.9,missing,skirts,"<b>Specially designed in-house print.</b> Two is better than one. Mixed print, inspired by Moroccan tiles. Classic A-line silhouette. ",Love Bonito
437,Sawyer Paperbag Waist Cropped Pants,46.9,missing,bottoms,Take your workwear wardrobe up a notch. Check print. Paperbag waist.,Love Bonito
438,Lauren Off-shoulder Sweater,41.9,missing,outerwear,Can't go wrong with a classic. Ribbed knit. Sits close to the body. ,Love Bonito
439,Aristess Tassel Yoke Sweater,36.9,missing,outerwear,Aristess Tassel Yoke Sweater,Love Bonito
440,Analissa Cascade Satin Foldover Skirt,46.9,missing,skirts,Bold & beautiful. Satin finish. Contrast floral print. Foldover drape. ,Love Bonito
441,Joan Polka Dot Maxi Dress,59.9,missing,dress,Joan Polka Dot Maxi Dress,Love Bonito
442,Zhavia Layered Sash Tie Top,36.9,missing,tops,For the modern minimalist. Layered front. Tie side.,Love Bonito
443,Genicce Asymmetrical Sash Top,39.9,missing,tops,Take charge and redefine your casual style with ease. Incorporate this updated basic into your mix for ultra chic casual and dressed up looks.,Love Bonito
444,Gabrielle Polka Dot High Waist Shorts,39.9,missing,shorts,"Weekend outfit, check. Bold polka dot print. Cinched waist. Classic A-line silhouette.",Love Bonito
445,Ember Ribbed High Neck Sweater,39.9,missing,outerwear,One in every colour. Ribbed knit fabric. High neckline. Sits close to the body.,Love Bonito
446,Jennie High Waist Shorts,36.9,missing,shorts,Sleek & classy. Pintuck pleat detail. Classic A-line silhouette. ,Love Bonito
447,Vivian Culotte Jeans,46.9,missing,jeans,Give your skinny jeans a break. Wide leg. Cutaway hem.,Love Bonito
448,Fion Button Front Midi Shirt Dress in Abstract Oasis,49.9,missing,dress,You're a work of art. Abstract print. Cinched waist. Classic A-line silhouette. Flutter sleeves. ,Love Bonito
449,Mallory Flare Hem Midi Jumpsuit,49.9,missing,jumpsuits,"Done in one. Not your everyday polka dots. Ruffled flare hem, flattering scoop neck and Concealed back zip closure.",Love Bonito
450,Jalzanne Printed Ruffle Hem Midi Jumpsuit,49.9,missing,jumpsuits,Jalzanne Printed Ruffle Hem Midi Jumpsuit,Love Bonito
451,Danielle Gingham Tie Back Romper,43.9,missing,jumpsuit,Made for Summer day adventures. Gingham print. Ruffle sleeve. Tie back.,Love Bonito
452,Greta High-rise Skinny Jeans - Black,53.9,missing,jeans,Greta High-rise Skinny Jeans - Black,Love Bonito
453,Galiana Ruffle Hem Midi Dress,46.9,missing,dress,<ul><li>Do the Cha Cha</li><li>Square neckline</li><li>Tie front</li><li>Ruffle hem</li></ul>,Love Bonito
454,Geordie Bustier Midi Jumpsuit,49.9,missing,jumpsuits,A new addition to the figure-flattering Geordie series that combines the signature bodice with cropped bottoms.,Love Bonito
455,Zarita Relaxed Fit V-neck Top in Iced Soda,33.9,missing,tops,<b>Specially designed In-house print.</b> Got somewhere to be? Abstract geometric print. Flare Hem. ,Love Bonito
456,Raleigh Crochet Hem Dress,43.9,missing,dress,Perfect for Sunday Brunch. Crochet pipng and hemline. Subtle puff Sleeves,Love Bonito
457,Etta Printed Kimono Dress,49.9,missing,dress,<b>Specially designed In-house print.</b> Some days call for a little extra. Oriental-inspired belt sash. ,Love Bonito
458,Nevara Wide Leg Culottes,39.9,missing,bottoms,Can't go wrong with a classic. Wide leg. High waisted. ,Love Bonito
459,Trixya Asymmetrical Hem Top,36.9,missing,tops,A wardrobe classic that brings you from dressy to dress down with a switch of bottoms. Keep your look of the day clean and straightforward by teaming this staple piece with a ruffle hem pencil skirt.,Love Bonito
460,Jessamyn Polka Dot Print Jumpsuit,49.9,missing,jumpsuits,Jessamyn Polka Dot Print Jumpsuit,Love Bonito
461,Kara Mandarin Collar Top,39.9,missing,tops,An understated mandarin collar top that pairs well with everything. Features a flare cut that’s figure-forgiving and made for mobility. Concealed back zip closure with hook,Love Bonito
462,Rioma Printed Sweater,39.9,missing,outerwear,Rioma Printed Sweater,Love Bonito
463,Kamila Flutter Sleeve Top,36.9,missing,tops,Pairs with just about anything. Contrast stitch. Keyhole back. ,Love Bonito
464,Makena Ruffle Hem Maxi Dress,59.9,missing,dress,Feelin' a little fancy?Textured dobby dot. Double straps. V-neckline. ,Love Bonito
465,Katya Kaftan Dress,46.9,missing,dress,Why complicate things. V-neckline. Relaxed fit. Nursing-friendly.,Love Bonito
466,Sonora Asymmetrical Off Shoulder Top,39.9,missing,tops,Sonora Asymmetrical Off Shoulder Top,Love Bonito
467,Elmira Halter Neck Maxi Dress,53.9,missing,dress,"<p>Dress to impress. <span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Halter neckline. </span><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Ruffle sleeves and cold shoulder cut. </span>Model Aim is 174cm tall, a UK6/8, wears Size S.</p>",Love Bonito
468,Kalyssa Kick Flare Culottes,46.9,missing,bottoms,Work-to-weekend vibes. Top stitch detail. Cropped length. ,Love Bonito
469,Elyse Pleated Button-down Shirt Dress,51.9,missing,dress,Modern minimalist. Cinched waist. Curved hem. ,Love Bonito
470,Edith Square Neck Balloon Sleeve Dress,46.9,missing,dress,Summer loving. Gingham print. Balloon sleeves. Flattering square necklne. Concealed back zip closure. Elasticized detail at cuff.,Love Bonito
471,Emory Knit Sweater in Terra Trio,41.9,missing,outerwear,<b>Specially designed in-house print.</b> Stay cosy. Comfortable knit. Sits close to the body. ,Love Bonito
472,Cecile Tweed Foldover Skorts,41.9,missing,shorts,Sleek & chic. Luxurious tweed. Fringe hem. ,Love Bonito
473,Ellie Flare Hem Midi Skirt,43.9,missing,skirts,Desk to dinner hero. Checkered print. Pencil silhouette. Flare hem. ,Love Bonito
474,Mayeta Twist Front Bustier Top,39.9,missing,tops,Mayeta Twist Front Bustier Top,Love Bonito
475,Ayala Linen Utility Romper,46.9,missing,jumpsuit,Done in one. Breathable linen fabric. Cinched waist. Scoop neck. ,Love Bonito
476,Nelia Knit Sweater Top,36.9,missing,tops,Not your average knit sweater. Comes with contrast ribbed sleeves and a subtle fit & flare silhouette. Rendered in a knit fabric so soft you’ll want to lounge in it.,Love Bonito
477,Daleyza Twist Front Wide Leg Jumpsuit,59.9,missing,jumpsuits,One & done. Twist front detail. Cinched waist.,Love Bonito
478,Fleqeen Cascade Peplum Midi Dress,49.9,missing,dress,Suitable for life in or out of the office. Unique foldover detail. Sits close to the body. Slit hem.,Love Bonito
479,Fandace Camisole Top,33.9,missing,tops,Fandace Camisole Top,Love Bonito
480,Eudora Balloon Sleeve Midi Dress,49.9,missing,dress,Bold and beautiful. Off shoulder. Balloon sleeves in polkadot print. Classic empire waist. Button down details. Concealed back zip closure with hook. Non functional front buttons. Elasticized detail at cuff.,Love Bonito
481,Brie Sash Tie Midi Dress,51.9,missing,dress,On heavy rotation. Kimono style. V-neckline.,Love Bonito
482,Essie Midi Wrap Dress,49.9,missing,dress,You're a work of art. Classic wrap dress silhouette. Flare hem.,Love Bonito
483,Eden T-shirt Dress,29.9,missing,dress,"On heavy rotation. Soft, breathable fabric. Subtle flare hem. ",Love Bonito
484,Elora Notch Neck Dress,46.9,missing,dress,<b>Specially designed In-house print.</b> Easy on the eyes. Intricate foliage illustration. Tie front.,Love Bonito
485,Fijalia Camisole Maxi Dress,49.9,missing,dress,Fijalia Camisole Maxi Dress,Love Bonito
486,Orabella Flare Hem Dress,46.9,missing,dress,Summer loving. Lightweight fabric. Relaxed fit. V-neckline.,Love Bonito
487,Schabax Sweater,29.9,missing,outerwear,Make room for an unapologetically versatile sweater. Available in a range of solid colours to suit everyone. An all-weather top made for everyday wear and comfort.,Love Bonito
488,Aldren A-line Midi Dress,53.9,missing,dress,"Featuring a square neckline that's both flattering and unique, this clean and chic A-line dress is your go-to outfit for that wedding lunch party. Don't forget to throw in a pair of pearl earrings to complete the look!",Love Bonito
489,Bailey Printed Playsuit,41.9,missing,jumpsuit,Bailey Printed Playsuit,Love Bonito
490,Melja Cascade Midi Dress,43.9,missing,dress,Melja Cascade Midi Dress,Love Bonito
491,Bridget Double Breasted Blazer,59.9,missing,outerwear,"Suit up, ladies. Breathable linen. Notched lapels. Matching sash. ",Love Bonito
492,Mona Ripped Straight Leg Jeans,49.9,missing,jeans,Give your skinnies a break. Knee rip detail. Cutaway hem.,Love Bonito
493,Arwen Tweed Midi Jumpsuit,53.9,missing,jumpsuits,Arwen Tweed Midi Jumpsuit,Love Bonito
494,Idina Lace Trim Jumpsuit,59.9,missing,jumpsuits,Idina Lace Trim Jumpsuit,Love Bonito
495,Davina Cuffed Button-down Shirt,39.9,missing,tops,"Ready for a holiday. Contrast floral print. Short, cuffed sleeves. Relaxed fit. ",Love Bonito
496,Adelynn Cap Sleeve Button Down Dress,49.9,missing,dress,<ul><li>Easy like Sunday morning</li><li>Cap sleeve</li><li>Ruched tiers</li><li>Buttons all the way down</li></ul>,Love Bonito
497,Cordelia Pleated Low-back Midi Dress,51.9,missing,dress,Sleek & chic. Pleat detail. Bodycon fit. Boat neckline. V-back. ,Love Bonito
498,Baylee Printed V-neck Top in Foliage Symphony,43.9,missing,tops,<b>Specially designed In-house print.</b> Easy on the eyes. Hand-drawn foliage motifs. V-neckline. Nursing-friendly.,Love Bonito
499,Aubree Scoop Neck T-shirt,21.9,missing,tops,To pair with all your favourite LB bottoms. Ribbed texture. Sits close to the body. ,Love Bonito
500,Charlie Ribbed Bodycon Knit Dress,49.9,missing,dress,Wear it again and again. Comfortable knit. Colourblock design. Sits close to the body. ,Love Bonito
501,Nayoli Camisole Top,36.9,missing,tops,Nayoli Camisole Top,Love Bonito
502,Yuri Printed V-back Dress in Jungle Mania,49.9,missing,dress,<b>Specially designed In-house print.</b> You're a work of art. Jungle motifs. Cinched waist. ,Love Bonito
503,Marlene Lace Panel Fishtail Skirt,49.9,missing,skirts,Marlene Lace Panel Fishtail Skirt,Love Bonito
504,Evangeline Belted Midi Pencil Skirt,46.9,missing,skirts,Updated workwear classic. Houndstooth print. Chunky belt to match. ,Love Bonito
505,Sarai Textured Baby Doll Top   ,33.9,missing,tops,Summer loving. Ruffle hem. Relaxed fit. Square neckline. ,Love Bonito
506,Swith Pleated Panel Tank Dress,43.9,missing,dress,Swith Pleated Panel Tank Dress,Love Bonito
507,Ayakka Foldover Buckle Maxi Dress,53.9,missing,dress,Ayakka Foldover Buckle Maxi Dress,Love Bonito
508,Serafina Notch Neckline Jumpsuit,49.9,missing,jumpsuits,Serafina Notch Neckline Jumpsuit,Love Bonito
509,Anella Belted Wide Leg Pants,49.9,missing,bottoms,Anella Belted Wide Leg Pants,Love Bonito
510,Gloria Knit Crop Tee,16.9,missing,tops,Gloria Knit Crop Tee,Love Bonito
511,Brooke Sleeveless Button-up Shirt Dress,31.9,missing,dress,Brooke Sleeveless Button-up Shirt Dress,Love Bonito
512,Cleobella Satin Asymmetrical Midi Dress,56.9,missing,dress,Bold & beautiful. Satin finish. Unique twist detail. Asymmetrical sleeves. ,Love Bonito
513,Emillie Sheer Button Down Shirt,41.9,missing,tops,A little peekaboo. Ruffled sleeves. Button down. Comes with inner slip.,Love Bonito
514,Beatty Gingham Print Peplum Top,39.9,missing,tops,Beatty Gingham Print Peplum Top,Love Bonito
515,Kiley Jacquard Midi Jumpsuit,53.9,missing,jumpsuits,Because you deserve it. Luxurious jacquard. Flattering square neckline. Button front. ,Love Bonito
516,Kathryn Button Down Shirt,41.9,missing,tops,Updated workwear classic. Buttons all the way down. Deep V-neckline. Relaxed fit. Functional front buttons placket.,Love Bonito
517,Isa Trapeze Dress,43.9,missing,dress,Updated for warm weather days. Breathable fabric. Relaxed fit. Nursing-friendly.,Love Bonito
518,Fiora Floral Printed Foldover Dress,66.9,missing,dress,Fiora Floral Printed Foldover Dress,Love Bonito
519,Carola Polka Dot Wide Leg Pants,43.9,missing,bottoms,Carola Polka Dot Wide Leg Pants,Love Bonito
520,Pomeranc Mandarin Collar Crop Top,39.9,missing,tops,"<b>Specially designed in-house print.</b> Switch up your Lunar New Year style with this fun number, featuring bold orange prints lovingly designed in-house. For a more daring look, pair the Pomeranc Crop Top in vermillion with a midi denim skirt or keep it simple and sleek in cream by wearing it with high-waisted bottoms.  Concealed back button fastening with keyhole opening.",Love Bonito
521,Elissa Printed Notch Neck Dress,49.9,missing,dress,Work-to-weekend vibes. Minimalist print. Ribbon tie. Cuffed sleeves. ,Love Bonito
522,Kiera Printed Knot Front Top,43.9,missing,tops,"Featuring a knot front detail that accomodates a growing bump, our Kiera top is a cheerful and summery option that styles well with casual bottoms.",Love Bonito
523,Danica Balloon Sleeve Romper,46.9,missing,jumpsuit,For your daytime thing. Sash tie. Crochet trim. V-neckline. ,Love Bonito
524,Nash Linen High Waist Shorts,36.9,missing,shorts,Ready for a holiday. Breathable linen. Don't forget the matching top. ,Love Bonito
525,Huebla Contrast Cuff Boxy Top,39.9,missing,tops,Huebla Contrast Cuff Boxy Top,Love Bonito
526,Shayn A-line Maxi Skirt,46.9,missing,skirts,The one you'll keep reaching for. Breathable rayon fabric. Slit hem. ,Love Bonito
527,Kezaiah Puff Sleeve Pencil Dress,49.9,missing,dress,Sleek & classy. V-neckline. Sits close to the body. ,Love Bonito
528,Torie Foldover Midi Bodycon Skirt in Anemone Bloom,46.9,missing,skirts,<b>Specially designed in-house print.</b> You're a work of art. Foldover detail. Bodycon fit.,Love Bonito
529,Valentina Printed Foldover Skort in Forest Bloom,36.9,missing,shorts,<b>Specially designed In-house print.</b> In full bloom.Hand-drawn floral motifs. Foldover detail. ,Love Bonito
530,Gygle Asymmetrical Side Pleat Peplum Top,33.9,missing,tops,Gygle Asymmetrical Side Pleat Peplum Top,Love Bonito
531,London Printed Mini Shift Dress,43.9,missing,dress,For your day-time thing. Contrast print. Ruffle sleeves. ,Love Bonito
532,Rykela Knotted Waist Jumpsuit,56.9,missing,jumpsuits,One-piece wonder for every occasion. Shoulder cut-out. Twist front detail. ,Love Bonito
533,Mya Relaxed Fit Knit Sweater,43.9,missing,outerwear,Stay cosy. V-neckline. Relaxed fit.,Love Bonito
534,Liana Shift Dress in Afternoon Drizzle,43.9,missing,dress,<b>Specially designed in-house print.</b> You're a work of art. Classic shift dress silhouette. Notched neck. ,Love Bonito
535,Feldrine V-back Flutter Sleeve Maxi Dress,63.9,missing,dress,"Flowy, subtle and functional, this is bridesmaid's classic with a twist! Featuring a flowy cut and flutter sleeves, this romantic piece makes movement effortless and easy for the busy day. Best paired with block heels for maximum style impact.",Love Bonito
536,Beth Drop Hem Tank Top,23.9,missing,tops,Beth Drop Hem Tank Top,Love Bonito
537,Quinta Cuffed Wrap Top,36.9,missing,tops,That's a wrap. Tie side. V-neckline.,Love Bonito
538,Sorella Pleated Maxi Skirt,56.9,missing,skirts,Pretty in pleats. Classic A-line silhouette. Sunray pleats. ,Love Bonito
539,Aitana Straight Leg Pants,49.9,missing,bottoms,Leg-lengthening magic. High-waisted. Fringe trim. ,Love Bonito
540,Harlow Smock Top,33.9,missing,tops,Harlow Smock Top,Love Bonito
541,Aurelia Camisole Maxi Dress,43.9,missing,dress,Easily dressed up or down. Slit hem. Scoop neckline. ,Love Bonito
542,Gwen Printed Knit Sweater,41.9,missing,outerwear,You're a work of art. Diamond motifs. ,Love Bonito
543,Iris Cross Back Crop Top,33.9,missing,tops,Comes in a set for a monochrome look. Square neckline. Cross back.,Love Bonito
544,Cacey Striped Ruffle Sleeve Romper,46.9,missing,jumpsuit,"Weekend outfit, check. Ruffle sleeves. Cinched waist. ",Love Bonito
545,Odelia Button Front Romper,46.9,missing,jumpsuit,As cute as a button. One and done romper. Skort inspired bottoms. Sits close to the body.,Love Bonito
546,Avis Gathered Front Skort,36.9,missing,shorts,"<ul><li>More than meets the eye</li><li>Ruffle detail</li><li>Tailored fit</li><li>Material has no stretch</li><li>Concealed back zip closure</li><li>Not lined</li><li>Made of polyester, elastane blend</li></ul>",Love Bonito
547,Leibovitz Maxi Halter Dress,46.9,missing,dress,Leibovitz Maxi Halter Dress,Love Bonito
548,Trewis Ruffle Hem Bustier Jumpsuit,56.9,missing,jumpsuits,Trewis Ruffle Hem Bustier Jumpsuit,Love Bonito
549,Pvara High Waist Flare Pants,46.9,missing,bottoms,Leg-lengthening magic. Flare hem. Tailored fit from waist to hip. ,Love Bonito
550,Zen A-line Belted Skorts,36.9,missing,shorts,Parisian-chic. Pocket front. Chunky belt to match. ,Love Bonito
551,Cafynne Button Sash Knit Cardigan,43.9,missing,outerwear,Cafynne Button Sash Knit Cardigan,Love Bonito
552,Leyla Cross Back Linen Dress,49.9,missing,dress,"Made for dreamy, summer day picnics. Breathable linen fabric. Ruffle hem. Cinched waist. ",Love Bonito
553,Fey Sash Maxi Dress,49.9,missing,dress,Fey Sash Maxi Dress,Love Bonito
554,Nadiya Cropped Leg Jumpsuit,51.9,missing,jumpsuits,Immaculate tailoring and minimal details make our Nadiya Jumpsuit a serious keeper that wil last seasons and beyond.,Love Bonito
555,Anika Double Breasted Blazer,59.9,missing,outerwear,#girlboss. Co-ord set with matching bottoms. Tie front. Tunic length. Functional front buttons placket. Adjustable sash included.,Love Bonito
556,Kaleigh Straight Leg Pants,51.9,missing,bottoms,Sleek & classy. Straight leg. ,Love Bonito
557,Jenna Relaxed Fit Shift Dress,49.9,missing,dress,Work-to-weekend vibes. Sleek panel details. V-neckline. Nursing-friendly. Hidden front zip closure with hook and button fastening.,Love Bonito
558,Vivian Culotte Jeans - Black,49.9,missing,jeans,Give your skinnies a break. Cutaway hem. Wide leg. Hidden front zip closure with functional button closure.,Love Bonito
559,Jennea Front Button Midi Jumpsuit,49.9,missing,jumpsuits,Jennea Front Button Midi Jumpsuit,Love Bonito
560,Katherin Ribbed Knit Midi Tank Dress,29.9,missing,dress,"We all know ribbed tank dresses make for the perfect weekend outfit, but with a midi length, just throw a blazer on, add some heels and you're ready for that formal event. Versatility at its best.",Love Bonito
561,Havelyn Tie-waist Midi Dress,46.9,missing,dress,"Tie up loose ends with our Havelyn dress. A must have for your workwear lineup, it features a unique ribbon-tie belt at the front for an accentuated fit & flare shape with a midi length cut. Concealed back zip closure with hook and non detachable sash at waist area",Love Bonito
562,Dakota Relaxed Fit Boyfriend Shirt,39.9,missing,tops,Dakota Relaxed Fit Boyfriend Shirt,Love Bonito
563,Maudine Lace Overlay Midi Dress,59.9,missing,dress,"Whether you're a wedding guest, bridesmaids or simply dressing up for a big occasion, you'll never go wrong in this feminine lace number. Wear yours with a pair of contrasting heels for maximum style impact.",Love Bonito
564,Caitlyn Crop Sweater,39.9,missing,outerwear,Caitlyn Crop Sweater,Love Bonito
565,Magdalene Square Neck T-shirt,21.9,missing,tops,"Every wardrobe needs a good square neck tee. They're easy to slip into but they're also super flattering, bringing out one's collar bones and creating the illusion of an elongated neck.",Love Bonito
566,Nadya Flare Hem Sweater,39.9,missing,outerwear,Nadya Flare Hem Sweater,Love Bonito
567,Sasha Button Front Shirt Dress in Jungle Mania,46.9,missing,dress,<b>Specially designed In-house print.</b> Your new favourite shirt dress. Jungle-inspired motifs. Pocket front. ,Love Bonito
568,Wendi A-line Shift Dress,29.9,missing,dress,Wendi A-line Shift Dress,Love Bonito
569,Danamarie High Neck Midi Dress,56.9,missing,dress,Danamarie High Neck Midi Dress,Love Bonito
570,Yasmin Wide Leg Pants,46.9,missing,bottoms,Updated workwear classic. Wide leg. High waist. Legs for days. ,Love Bonito
571,Mariah Button Front Tuxedo Dress,63.9,missing,dress,Mariah Button Front Tuxedo Dress,Love Bonito
572,Briella Printed Pleat Dress in Artful Zest,53.9,missing,dress,<ul><li>Take a twirl</li><li>Abstract print</li><li>Sweetheart neckline</li><li>Pleated skirt</li><li><b>Specially designed In-house print</b></li></ul>,Love Bonito
573,Yasmin Lace Jumpsuit,59.9,missing,jumpsuits,Scallop lace trim. Intricate lace overlay. Cinched waist.  Peg leg. V-neckline. ,Love Bonito
574,Florenn Pleat Front Ribbon Sash Pants,53.9,missing,bottoms,Florenn Pleat Front Ribbon Sash Pants,Love Bonito
575,Jenica Ruched Wrap Crop Top,36.9,missing,tops,Jenica Ruched Wrap Crop Top,Love Bonito
576,Orchidia Bodycon Midi Dress,41.9,missing,dress,Sleek & classy. Flattering square neckline. Slit hem. ,Love Bonito
577,Aurelie High-rise Straight Crop Jeans,49.9,missing,jeans,For the modern minimalist. Straight cut. Raw hem. ,Love Bonito
578,Nola Midi Wrap Dress,51.9,missing,dress,That's a wrap. Abstract floral print. V-neckline. A-line silhouette.,Love Bonito
579,Olivane Lace Overlay Top,43.9,missing,tops,"A sophisticated lace top that instantly jazzes up any outfits. Featuring overlay lace done in a classic 3/4 sleeve length, this is definitely an item suitable for a slightly conservative yet still alluring look.",Love Bonito
580,Suzetta Bodycon Midi Dress,43.9,missing,dress,Can't go wrong with a classic. Striped print. Slit hem. Sits close to the body. ,Love Bonito
581,Kairi Button-down Shirt Dress,33.9,missing,dress,For the modern minimalist. Collared neckline. Button down. ,Love Bonito
582,Yvessa Printed Kimono Crop Top,39.9,missing,tops,Yvessa Printed Kimono Crop Top,Love Bonito
583,Yydine Boxy Button Front Shirt,36.9,missing,tops,Yydine Boxy Button Front Shirt,Love Bonito
584,Monressa Button Front Cardigan,39.9,missing,outerwear,Monressa Button Front Cardigan,Love Bonito
585,Laysey Denim Foldover Skorts,39.9,missing,shorts,"Give your jeans a break. Silky, lightweight feel. Tie side. Hidden front zip closure with hook and button fastening. Non detachable sash at waist area. Worn at regular waist.",Love Bonito
586,Gemma Pleated Midi Dress,53.9,missing,dress,Your desk to dinner hero. Mixed print. Intricate pleats. Cinched waist. ,Love Bonito
587,Aaden Belted Mandarin Collared Dress,51.9,missing,dress,"Minimalist clean lines and slits in all the right places, this dress is great for days when you need to move about easily and yet still look perfectly on point. Includes button down details and a sash-belted waist. Functional front buttons placket and comes with detachable sash",Love Bonito
588,Tierra Peplum Pencil Dress,56.9,missing,dress,A versatile number that’s also ultra flattering. Features a classic bodycon fit with halter neckline and a touch of peplum on the waist. Concealed back zip closure with hook,Love Bonito
589,Patrice Cropped Pants,38.9,missing,bottoms,"These cropped pants make the perfect choice for every occasion. The slightly cropped, straight leg cut is a versatile staple that will flatter your figure. Hidden front zip closure with hook and button fastening.",Love Bonito
590,Lina Knit Flare Sleeve Sweater,39.9,missing,outerwear,Stay cosy. Comfortable knit fabric. V-neckline.,Love Bonito
591,Mille Puff Sleeve Blouse,39.9,missing,tops,Mille Puff Sleeve Blouse,Love Bonito
592,Raizel Foldover Pencil Skirt,41.9,missing,skirts,It's all in the details. Unique foldover detail. Sits close to the body. ,Love Bonito
593,Peighton Cross Back Jumpsuit,51.9,missing,jumpsuits,Peighton Cross Back Jumpsuit,Love Bonito
594,Naomi Camisole Top,33.9,missing,tops,More than meets the eye. Abstract floral overlay. Flattering square neckline. ,Love Bonito
595,Isle Pleated Swing Top,41.9,missing,tops,Isle Pleated Swing Top,Love Bonito
596,Primrose Crossover Camisole Top in Nomadic Sunburst,36.9,missing,tops,<b>Specially designed In-house print.</b> For your daytime thing. Geometric print. Twist front. ,Love Bonito
597,Crystal Relaxed Fit Midi Dress,26.9,missing,dress,Crystal Relaxed Fit Midi Dress,Love Bonito
598,Kyros Printed Twist Front Crop Top,33.9,missing,tops,Kyros Printed Twist Front Crop Top,Love Bonito
