,title,brand,price,description,colour,category
29,Spanx Mama ankle grazer jean-ish leggings,Cheap Monday,172.71," <a href=""https://www.asos.com/women/jeans/jeggings/cat/?cid=19057""><strong>Jeggings</strong></a> by Spanx Maternity<ul>      It's all in the jeans    Over-the-bump waistband    Two back pockets   Skinny fit  Cut very closely from hips to hem </ul> ",White,jeans
30,ASOS DESIGN Maternity pull on jegging in smokey blue wash with under the bump waistband,ASOS DESIGN,32.38,"     Part of our responsible edit      Pull-on style  Low rise       Stretchy, under-the-bump waistband      Regular fit      Designed to fit you from bump to baby ",Smokey blue,jeans
31,ASOS WHITE carrot leg jean,ASOS WHITE,89.96,      It's all in the jeans   High rise  Belt loops  Concealed fly   Five pockets  Carrot fit   Cut with a lowered crotch and tapered from the knee to the ankle ,Blue,jeans
32,Carhartt WIP pierce cargo jeans in midwash blue,Carhartt WIP,152.92,     It's all in the jeans  Mid-rise waist  Belt loops  Zip fly  Side pockets and back pockets  Multiple cargo pockets  Carhartt logo patch to reverse  Cut with a straight leg  Regular fit  Just select your usual size  ,Blue,jeans
33,Sass & Bide Wanderer jeans,Sass & Bide,215.89,"     For today, tomorrow and every day after   High rise    Concealed fly with button fastening       Functional pockets  Relaxed boyfriend fit  That slouchy, baggy feel ",Vinid,jeans
34,River Island Hailey saddle jeans in mid wash,River Island,75.56,"     For today, tomorrow and every day after  Mid-blue wash   Regular rise  Buckle detail  Concealed fly  Functional pockets  Skinny fit   Cut very closely from hips to hem ",Mid auth,jeans
35,ASOS DESIGN Farleigh high waist slim mom jeans in cyan blue,ASOS DESIGN,62.97,"     Non-stretch/firm stretch/ Stretch/super stretch denim      High rise  Belt loops      Zip fly      Five pockets  Slim fit  A close cut, regular on the waist ",Ice blue,jeans
36,ASOS WHITE washed black straight leg jean,ASOS WHITE,89.96,     They're long-term relationship material  High-rise waist  Belt loops  Zip fly      Five pockets  Cut with a straight leg  Regular fit  Just select your usual size  ,Black,jeans
37,Selected Femme wide leg cropped jeans,Selected,125.94,"     For today, tomorrow and every day after  High rise      Concealed fly with button fastening      Functional pockets      Cropped length  Wide leg  Fitted at the top, flowing at the bottom ",Blue,jeans
38,We The Free by Free People Layla flared jeans,Free People,230.28,      For your daytime thing     Mid rise    Double-button fastening    Concealed fly  Zip pockets   Flared shape  Cut with a skinny leg that flares at the knee ,Blue,jeans
39,Pimkie 4 buttons skinny jeans in black,Pimkie,39.56,     Add them to your everyday line-up  Black wash  High rise  Button fastening  Functional pockets  Skinny fit  Cut very closely from hips to hem ,Black,jeans
40,One Above Another high waist ultra baggy mom jeans in vintage wash denim,One Above Another,71.96,     For your daytime thing   High-rise waist      Concealed fly      Functional pockets  Extreme rips  Oversized fit      Think baggy and casual  Exclusive to ASOS ,Vintage light wash,jeans
41,River Island Petite Molly skinny jeans in washed black,River Island,80.96,"     Jeans and a nice top' kinda mood  Med-rise waist  Concealed fly  Functional pockets  Skinny fit  Tight cut, regular on the waist ",Wash black,jeans
42,New Look Tall ripped chicago mom jeans in blue,New Look Tall,52.16, Add them to your everyday line-up  Ripped detail  High-rise waist  Concealed fly with button fastening  Slim fit  A narrow cut from hips to hem ,Blue,jeans
43,ASOS DESIGN Petite High rise stretch 'slim' straight leg jeans in black,ASOS DESIGN,57.57,"     Part of our responsible edit  High-rise waist  Concealed fly  Belt loops  Functional pockets  Straight leg  Slim fit  Close cut, regular on the waist ",Black,jeans
44,ASOS DESIGN Curve 'Sculpt me' high waisted premium jeans in flat blue,ASOS DESIGN,62.97,     They've already got your attention  High rise  Just like your standards  Concealed fly  Functional pockets  Skinny fit   A tight cut for a sleek shape ,Richmond,jeans
45,ASOS DESIGN Tall 'Sculpt me' high waisted premium jeans in clean black,ASOS DESIGN,62.97,     A go-to pair  High-rise waist  Concealed fly  Moulds the body  Functional pockets  Super-skinny fit   The tightest cut for a spray-on look ,Clean blk,jeans
