,title,brand,price,description,colour,category
32,Puma Heavy Fleece Joggers in Beige,PUMA,98.95 ,"     Your casual vibe, sorted  Drawstring waistband  Side pockets  Fitted cuffs  Regular fit  Just select your usual size  Exclusive to ASOS ",missing,bottoms
33,ASOS DESIGN tracksuit sweat / basic jogger with tie with contrast binding,PUMA,57.57,     Part of our responsible edit  Tracksuit set  Lightweight sweatshirt  Crew neck  Matching joggers  Drawstring waistband  Contrast binding  Fitted cuffs  Regular fit  Just select your usual size ,missing,bottoms
34,ASOS DESIGN lounge travel high waist legging,ASOS DESIGN,25.19,"     Your casual vibe, sorted   High rise       Elasticated waistband       Skinny fit   Cut very closely from hips to hem ",missing,bottoms
35,ASOS DESIGN lace up side vinyl skinny trouser,ASOS DESIGN,50.37 ,     Worth making plans for       High rise  Stretch waist  Lace-up sides   Skinny fit  Cut very closely from hips to hem ,missing,bottoms
36,ASOS DESIGN Petite basic jersey smart skinny trousers in ponte,ASOS DESIGN,32.38,"     For doing your office thing, or when you clock off      High-rise waist  Elasticated to back       Zip fly with hook and bar fastening      Side pockets      Cropped cut   Skinny fit   Cut closely from hips to hem ",missing,bottoms
37,COLLUSION mixed print trousers,COLLUSION,39.58,"     They've already got your attention  Mixed prints      Drawstring waist  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
38,ASOS DESIGN tracksuit jogger with you print co-ord,ASOS DESIGN,62.97,     Part of a co-ord set  Jacket sold separately       Stretch waistband       Side pockets  Printed design      Fitted cuffs      Regular fit  Just select your usual size ,missing,bottoms
39,New Look Maternity seamless legging,New Look Maternity,17.97,     One for your wardrobe      High-rise waist to support your growing bump  Seamless design      Close-cut bodycon fit      Designed to fit through all stages of pregnancy ,missing,bottoms
40,ASOS DESIGN Maternity slim leg combat trousers in black with under bump waistband,ASOS DESIGN,50.37,      Add them to your everyday line-up    Combat style     Jersey bump waistband    Side and back pockets  Slim fit  A narrow cut from hips to hem      Designed to fit through all stages of pregnancy ,missing,bottoms
41,ASOS DESIGN Petite tailored clean culottes,ASOS DESIGN,44.98,"     An alternative to your jeans  High-rise waist  Functional pockets  Zip-side fastening  Midi length  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
42,COLLUSION trousers with relfective panel,COLLUSION,44.98,     Part of our responsible edit      High rise       Drawstring waistband    Functional pockets with u tility-style pockets to leg  Reflective detailing  Fitted cuffs  Regular fit  Just select your usual size ,missing,bottoms
43,ASOS DESIGN Tall oil wash combat trouser,ASOS DESIGN,62.97,"     Part of our responsible edit   High rise  Elasticated waistband  Belt loops  Zip fly  Side pockets and single back pocket  Contrast cargo pockets  Elasticated cuffs  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
44,PrettyLittleThing vinyl wide leg trouser in black,PrettyLittleThing,50.37,"     It's high-shine season      High rise  Tie waist  Zip front with ring pull  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
45,New Look Petite crop trousers with belt in rust,New Look,41.36,"     Add them to your everyday line-up      High rise  Belted waist      Side pockets      Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
46,ASOS DESIGN tailored clean culottes,ASOS DESIGN,44.98,"      Put the jeans away for a day    High-rise waist        Zip-side fastening    Side and back pockets       Cropped, wide-cut leg      Regular fit  Just select your usual size ",missing,bottoms
47,ASOS DESIGN Petite Woven Peg Trousers with Obi Tie,ASOS DESIGN,39.58,"     Part of our responsible edit  High-rise waist  Obi-tie closure  Concealed fly  Side pockets  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
48,COLLUSION Unisex reflective joggers with typo print,COLLUSION,62.97,      Nothing understated here    Stretch waistband       Side pockets      Fitted cuffs  Relaxed fit  Falls loosely over the body  Unisex style ,missing,bottoms
49,ASOS 4505 ski seamless base layer top and legging in blue cheetah print,COLLUSION,71.96,missing,missing,bottoms
50,ASOS DESIGN Petite co-ord knitted jogger with tipping,ASOS DESIGN,53.97,     Part of a co-ord set  Jumper sold separately  Stretch waistband      Side stripe       Fitted style       Regular fit  Just select your usual size ,missing,bottoms
51,PrettyLittleThing leggings with slogan trim in grey,PrettyLittleThing,26.99,      For your daytime thing     High rise       Elasticated waistband  Slogan trim  Super-skinny fit  An extra-tight cut from hips to hem ,missing,bottoms
52,Only tie waist elastic stripe trouser,Only,62.97,     For your daytime thing      High rise  Drawstring waistband       Functional pockets       Cropped length  Regular fit  Just select your usual size ,missing,bottoms
53,Monki cuffed peg trousers in silver,Monki,53.97,"     Coming soon to your Saved Items      High rise      Stretch waistband       Side pockets       Regular, tapered fit   A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
54,Wolf & Whistle tie dye set in purple,Monki,107.95,missing,missing,bottoms
55,ASOS DESIGN Maternity washed soft twill tie waist casual trouser with under the bump waistband,ASOS DESIGN,39.58,     Add them to your everyday line-up  Under-bump waistband  Tie waist  Functional pockets  Regular fit  Just select your usual size      Designed to fit you from bump to baby ,missing,bottoms
56,New Girl Order relaxed joggers in all over floral print co-ord,New Girl Order,61.17,      For that thing you have to go to    Floral print    High rise    Stretch waistband        Fitted cuffs   Regular fit  Just select your usual size ,missing,bottoms
57,JDY wide leg rib trousers in grey,JDY,44.98,"      Part of a co-ord set    Top sold separately     High rise   Elasticated waist  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
58,Only curve cargo trousers in khaki,Only,80.96,      Give your jeans a day off    High-rise waist   Belt loops  Concealed fly      Functioning pockets  Regular fit  True to size ,missing,bottoms
59,Vesper tailored trousers co-ord in white,Vesper,62.97,     Part of a co-ord set  Mix and match      High-rise waist      Zip-side fastening  Skinny fit  Cut closely from hips to hem ,missing,bottoms
60,ASOS DESIGN spray on vinyl trouser in pink,ASOS DESIGN,53.97,      They've already got your attention    High-rise waist       Concealed fly with button fastening  Skinny fit  Cut very closely from hips to hem ,missing,bottoms
61,Outrageous Fortune drawstring side wide trouser in sand,Outrageous Fortune,62.97,"     For that thing you have to go to      High rise      Pleated design  Lace-up detailing  Side-zip fastening  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
62,ASOS DESIGN Curve high waist tapered trousers,ASOS CURVE,44.98,     High-rise waist      Just like your standards      Pleat details to front      Side pockets      Zip-side fastening      Tapered leg      Slim fit - cut close to the body ,missing,bottoms
63,Santa Cruz Nolan wide leg chino trousers in white,Santa Cruz,80.96,     Put the jeans away for a day  High-rise waist  Belt loops  Zip fly  Side slip pockets  Buttoned back pockets  Wide leg  Regular fit  Just select your usual size  ,missing,bottoms
64,COLLUSION Unisex borg joggers in neon & borg hoodie,Santa Cruz,98.95,missing,missing,bottoms
65,Nike yellow snake print high waist leggings,Nike,68.37,     Working out just got techy  Snakeskin print      High rise      Zip fly   Nike Swoosh to waist    Flat-lock seams for reduced friction    Close-cut bodycon fit  ,missing,bottoms
66,Pull&Bear cuff detail trousers in check print,Pull&Bear,35.96,     Put the jeans away for a day  Mid-rise waist  Concealed fly  Check print  Side pockets ,missing,bottoms
67,Puma Essentials grey sweat pants,PUMA,44.98,     Add-to-bag potential: considerable  Stretch waistband      Side pockets  PUMA logo      Fitted cuffs      Regular fit  Just select your usual size ,missing,bottoms
68,ASOS DESIGN mix & match lounge wide leg trouser,ASOS DESIGN,39.58,"      For your daytime thing    Ribbed finish   High rise       Stretch waistband   Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
69,ASOS DESIGN Petite pop suit in pop blue,ASOS DESIGN,151.12,missing,missing,bottoms
70,Vila cigarette trousers in brown check,Vila,75.56,"      Coming soon to your Saved Items    High-rise waist       Belt loops      Side pockets  Slim fit  Close-fitting, regular on the waist ",missing,bottoms
71,Weekday contrast stitch cargo trousers in khaki green,Weekday,80.96,     Part of our responsible edit  An alternative to your jeans  High rise  Concealed fly  Functional pockets  Contrast stitching  Straight leg  Regular fit  Just select your usual size ,missing,bottoms
72,Stradivarius belted tailored trousers in coral,Stradivarius,53.96,     For your daytime thing       High rise  Belted waist  Concealed fly      Side pockets      Regular fit  Just select your usual size ,missing,bottoms
73,ASOS DESIGN plisse culotte trousers,ASOS DESIGN,39.58,"     For your daytime thing  High rise  Stretch waistband  Wide-cut leg  Cropped length  Relaxed fit  That slouchy, baggy feel ",missing,bottoms
74,Pimkie tailored trousers in black,Pimkie,30.57,     Easily dressed up or down      Mid rise  Elasticated waistband  Side pockets may be tacked  Faux back pocket      Turn-up hem      Slim leg  Regular fit  Just select your usual size ,missing,bottoms
75,ASOS DESIGN snake print plisse culotte,ASOS DESIGN,44.98,      Put the jeans away for a day   Snakeskin print  High-rise stretch waist  Wide-cut leg  Regular fit  Just select your usual size ,missing,bottoms
