,title,price,brand,description,colour,category
661,wright jeans,34.00,Runway Bandits,"high-waisted straight cut jeans with frayed cuffs.
high waist
concealed zip
functional pockets
folded cuff
frayed hem
straight cut
cotton blend",lightwash,bottoms
662,wellington top,30.00,Runway Bandits,"striped ribbed knit top.
round neck
regular fit
slightly stretchable
unlined
polyester blend",light brown,tops
663,bosi shorts,32.00,Runway Bandits,"high-waisted stone wash denim shorts with cuffed hems.
high waist
folded cuff
unlined
regular fit
cotton blend",stone wash,shorts
664,wright jeans,34.00,Runway Bandits,"high-waisted straight cut jeans with frayed cuffs.
high waist
concealed zip
functional pockets
folded cuff
frayed hem
straight cut
cotton blend",midwash,bottoms
665,ferraine dress,35.00,Runway Bandits,"y-neckline dress with an adjustable waistband and a self-tie sash.
v neck
cuffed sleeves
back cutout detail
adjustable waist
comes with a self-tie sash
polyester blend",navy,dress
666,siegrain dress,41.00,Runway Bandits,the,dusty pink,dress
667,wynna top,34.00,Runway Bandits,spice up your workwear wardrobe with some heavy knife pleats. the,guava pink,tops
668,siegrain dress,41.00,Runway Bandits,the,black,dress
669,wynna top,34.00,Runway Bandits,spice up your workwear wardrobe with some heavy knife pleats. the,prussian blue,tops
670,siegrain dress,41.00,Runway Bandits,the,fjord blue,dress
671,tulsi culottes,39.00,Runway Bandits,"is a pair of wide-legged culottes that sits high on your waist while giving your form some shape. tailored from wrinkle-resistant polyester blend, this uber sleek piece not only holds the a-line silhouette perfectly, but also ensures that your outfit looks office-appropriate no matter what. highlights include a concealed back zip and two pressed vertical pleats that give it some dimension. go for that girl boss look with a crisp white button-down.",maroon,bottoms
672,siegrain dress,41.00,Runway Bandits,the,contessa,dress
673,wynna top,34.00,Runway Bandits,spice up your workwear wardrobe with some heavy knife pleats. the,navy,tops
674,tulsi culottes,39.00,Runway Bandits,"is a pair of wide-legged culottes that sits high on your waist while giving your form some shape. tailored from wrinkle-resistant polyester blend, this uber sleek piece not only holds the a-line silhouette perfectly, but also ensures that your outfit looks office-appropriate no matter what. highlights include a concealed back zip and two pressed vertical pleats that give it some dimension. go for that girl boss look with a crisp white button-down.",pigeon blue,bottoms
675,siegrain dress,41.00,Runway Bandits,the,oatmeal,dress
