,name,price,colour,description,about_me,brand,category
23,ASOS DESIGN Maternity maxi skirt with button front and split detail,29.64,Green,Add it to your everyday line-up High rise Elasticated waistband Button detail Split to front Regular fit Just select your usual size    Designed to fit through all stages of pregnancy,"           Stretch jersey A super-soft, versatile fabric  Main: 96% Viscose, 4% Elastane.",ASOS DESIGN,skirts
24,New Look tube mini skirt in check,18.51,Black pattern,For your daytime thing Check design High rise Bodycon fit A tight cut to the body,"           Lightweight woven fabric The kind that stretches  Main: 63% Polyester, 32% Viscose, 5% Elastane.",New Look,skirts
25,Weekday Emmie faux leather midi skirt in black,64.84,Black,For your daytime thing High rise Concealed fly Functional pockets High split Regular fit Just select your usual size,"           Faux leather Let's be honest, no one can tell the difference  Coating: 100% Polyurethane, Lining: 100% Polyester, Main: 100% Polyester.",Weekday,skirts
26,Little Mistress tulle midi prom skirt in coral,77.81,Coral,For that thing you have to go to Fully lined High-rise waist    Regular fit Just select your usual size,"           Lightweight tulle Fine netting Think veils and tutus Fabric: 100% Nylon, Lining: 97% Polyester, 3% Elastane.",Little Mistress,skirts
27,Missguided Petite wrap over mini skirt with seatbelt detail in sand,40.76,Sand,Worth making plans for Plain design High rise Buckle fastening Overlay hem    Regular fit Just select your usual size,"           Soft twill Ribbed, diagonal pattern Slightly structured, very versatile Main: 100% Cotton.",Missguided,skirts
28,Miss Selfridge midi skirt with sequins in silver,138.95,Silver,"If in doubt, go all out    High-rise waist Thigh split Zip-back fastening Slim fit Cut close to the body",           Textured woven fabric Mini-skirt lining Sequin embellishment  Body: 100% Polyester.,Miss Selfridge,skirts
29,Emory Park skirt with high low hem in check,70.4,Brown,For your daytime thing    High rise    Side-zip fastening    Dipped hem Regular fit Just select your usual size,"           Smooth woven fabric It's light and floaty  Body: 100% Polyester, Lining: 100% Rayon.",Emory Park,skirts
30,Pimkie jersey pencil skirt in black,31.48,Black,Easily dressed up or down High rise Stretch waistband Side split Bodycon fit A tight cut to the body,"           Soft jersey T-shirt fabric, in other words Main: 70% Viscose, 30% Polyamide.",Pimkie,skirts
31,ASOS DESIGN Tall pleated midi skirt,51.88,Black,"Fully lined Pleated design Cos ironing is overrated    High-rise waistband    Zip-side fastening Regular fit No surprises, just a classic cut","           Lightweight woven fabric Drapes softly over the body  Lining: 100% Polyester, Shell: 100% Polyester.",ASOS DESIGN,skirts
32,Collective The Label mini sequin skirt in pewter,55.58,Pewter sequins,"It's already got your attention High-rise waist Zip-back fastening Regular fit No surprises, just a classic cut","           Sequin-embellished fabric If in doubt, go all out  Fabric: 100% Polyester, Lining: 100% Polyester.",Collective The Label,skirts
