,name,price,colour,description,about_me,brand,category
1333,ASOS DESIGN Maternity jersey bias slip midi skirt in grunge floral print,33.35,Floral print,Add-to-bag potential: considerable Floral print High rise Bias hem Regular fit Just select your usual size    Designed to fit through all stages of pregnancy,"           Go-with-everything jersey It's a soft all-rounder Main: 96% Polyester, 4% Elastane, Body: 100% TBC.",ASOS DESIGN,skirts
1334,Warehouse mini skirt in check,66.7,Brown,For your daytime thing Check design High rise Button front Side pockets Regular fit Just select your usual size,"           Soft-touch woven fabric The kind that doesn't stretch  Main: 65% Polyester, 35% Viscose.",Warehouse,skirts
1335,ASOS DESIGN Petite high waisted pencil skirt,33.35,Navy,Suitable for work and play    High-rise waistband    Zip-back fastening    Bodycon fit    Holds you close,"           Smooth woven fabric The kind that stretches Body: 72% Viscose, 24% Nylon, 4% Elastane",ASOS DESIGN,skirts
1336,Only cord mini skirt in cream,51.88,Cream,Worth making plans for High rise Button fastening Zip fly Regular fit Just select your usual size,"           Soft, ribbed corduroy Big in the 70s, better now Body: 100% Cotton.",Only,skirts
1337,ASOS DESIGN beach sarong in leopard jersey burnout,29.64,Leopard burnout,"Which way to the beach?Flocked, velvet-feel pattern Open side Tie closure","           Sheer fabric It's light and floaty  Main: 67% Polyester, 33% Viscose.",ASOS DESIGN,skirts
1338,Never Fully Dressed contrast leopard pleated midi skirt in multi,127.84,Multi,Worth making plans for    High-rise waist    Leopard print Pleated design Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Fabric: 100% Polyester.,Never Fully Dressed,skirts
1339,ASOS DESIGN leather look and check pleated mini skirt,46.32,Check,For your daytime thing    High rise Stretch waistband,"           Smooth woven fabric It's got a little give Fabric 1: 95% Polyester, 5% Elastane, Fabric 2: 100% Polyester.",ASOS DESIGN,skirts
1340,Mads Norgaard Fresh Organic Print Skirt,222.32,White flower,For your daytime thing Unlined style     High rise    Zip-back fastening    Regular fit Just select your usual size,"           Structured woven fabric Made from organic cotton Grown with less water and no pesticides It's a win-win, improving the environment for both wildlife and cotton farmers Main: 98% Organic Cotton, 2% Elastane.",Mads Norgaard,skirts
1341,Topshop faux leather pleated midi skirt in black,72.26,Black,Go with the faux    High rise    Pleated design Zip-back fastening    Midi length Regular fit True to size,           Smooth faux leather Glossy finish Main: 100% Polyester.,Topshop,skirts
1342,Maya Bridesmaid delicate sequin tulle skirt in dark grey,120.43,Dark grey,Part of a co-ord set Top sold separately Fully lined High rise All-over sequin embellishment Zip-back fastening Regular fit Just select your usual size,"           Lightweight tulle Fine netting For sheer sophistication  Fabric: 100% Polyester, Lining: 100% Polyester.",Maya,skirts
1343,ASOS DESIGN high waist longerline pencil skirt,37.05,Wine,Add-to-bag potential: considerable High-rise waist Zip-back fastening Cut longer than standard length Bodycon fit A tight cut to the body,"           Smooth woven fabric The kind that stretches  Body: 71% Polyester, 25% Nylon, 4% Elastane.",ASOS DESIGN,skirts
1344,NA-KD button up midi denim skirt in black,70.4,Black,For your daytime thing     High-rise waist Belt loops    Button-through front Five pockets Regular fit Just select your usual size,"           Non-stretch denim Thick, rigid cotton Main: 100% Cotton.",NA-KD,skirts
1345,Chi Chi London Tall fitted pencil skirt co-ord with lace hem in red,92.64,Red,Part of a co-ord set Mix and match    High rise    Contrast lace hem Zip-back fastening Bodycon fit A tight cut to the body,"           Stretch jersey A soft, versatile fabric Fabric: 100% Polyester.",Chi Chi London,skirts
1346,Criminal Damage mini skirt with reflective panels co-ord,64.84,Black,Part of a co-ord set Jacket sold separately    High rise    Belted waistband Functional pockets Contrast tipping Reflective detailing Regular fit Just select your usual size,"           Smooth stretchy fabric A soft all-rounder Body: 98% Polyester, 2% Elastane.",Criminal Damage,skirts
1347,Vero Moda midi skirt with button through detail in snake print,51.88,Multi,Add-to-bag potential: considerable Snake effect High rise    Button placket Zip-back fastening Regular fit Just select your usual size,"           Textured woven fabric The kind that doesn't stretch Body: 84% Polyester, 14% Cotton, 2% Viscose, Lining: 100% Polyester.",Vero Moda,skirts
1348,ASOS DESIGN twist front recycled maxi beach sarong in black,29.64,Black,Part of our responsible edit High rise    Tie waist Thigh split Regular fit Just select your usual size,"           Lightweight, sheer fabric Made from recycled polyester Plastic bottles and textile waste are processed into plastic chips and melted into new fibres This saves water and energy and reduces greenhouse gas emissions, too Cool, right? Main: 100% Polyester.",ASOS DESIGN,skirts
1349,Stradivarius stretch denim skirt in acid light wash,33.33,Blue,For your daytime thing Light wash    High rise Concealed fly with button fastening Functional pockets Mini length Regular fit Just select your usual size,           Stretch denim Jeans with benefits Main: 100% Cotton.,Stradivarius,skirts
1350,Pieces mini check skirt with belt,51.88,Tannin,It’s everything you’ve been scrolling for Mid-rise waist Belt detail Check design Regular fit Just select your usual size,"           Lightweight woven fabric The kind that stretches  Body: 70% Polyester, 27% Viscose, 3% Elastane.",PIECES,skirts
1351,ASOS DESIGN pleated midi skirt in abstract print,46.32,Green print,Add-to-bag potential: considerable High rise Pleated style Regular fit Just select your usual size,           Lightweight woven fabric Drapes softly over the body   Main: 100% Polyester.,ASOS DESIGN,skirts
1352,Missguided diamante trim split front mini skirt in black,46.32,Black,Coming soon to your Saved Items Diamante trims Splits to hem Bodycon fit A tight cut to the body,"           Smooth, woven fabric The kind that stretches  Main: 100% Polyester.",Missguided,skirts
1353,ASOS DESIGN tailored a-line mini skirt in green,33.35,Green,Work-to-weekend vibes High-rise waistband A-line cut Zip-back fastening    Regular fit Just select your usual size,"           Smooth woven fabric The kind that stretches Body: 74% Polyester, 19% Viscose, 7% Elastane.",ASOS DESIGN,skirts
1354,ASOS DESIGN Petite high waisted pencil skirt,33.35,Oxblood,For that thing you have to go to    Plain design High rise Zip-back fastening    Midi length Regular fit Just select your usual size,"           Smooth woven fabric The kind that stretches  Body: 72% Viscose, 24% Nylon, 4% Elastane.",ASOS DESIGN,skirts
1355,Bershka faux leather mini skirt with button detail in red,29.62,Burdundy,Add-to-bag potential: considerable High rise Silver-tone buckle Button details Thigh split Zip-back fastening Regular fit Just select your usual size,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Coating: 100% Polyurethane, Main: 71% Viscose, 15% Polyester, 14% Cotton.",Bershka,skirts
1356,Stradivarius tweed mini skirt in red check,33.33,Red check,Easily dressed up or down High-rise waist Wrap front Zip-back fastening Raw-edge hem Regular fit Just select your usual size,"           Textured, tightly woven tweed Rough, woollen fabric Main: 78% Polyester, 8% Acrylic, 6% Wool, 4% Polyamide, 2% Cotton, 2% Viscose.",Stradivarius,skirts
1357,Outrageous Fortune pleated midi skirt in green,59.29,Green,For that thing you have to go to Pleated design    High rise Stretch waistband    Midi length Regular fit Just select your usual size,"           Smooth woven fabric It's got a little give  Fabric: 96% Polyester, 4% Elastane.",Outrageous Fortune,skirts
1358,ASOS DESIGN Maternity jersey pencil skirt,18.53,Black,Part of our responsible edit High rise Elasticated waistband Bodycon fit Designed to fit you from bump to baby,"           Lightweight, soft Lenzing™ Eco Vero™ comes from renewable sources It's made from wood pulp from responsibly managed forests Showing a fully transparent supply chain The process saves water and reduces greenhouse gas emissions by 50% Main: 95% Viscose, 5% Elastane.",ASOS DESIGN,skirts
1359,ASOS DESIGN tie dye bias cut city maxi skirt,59.29,Tie dye,For your daytime thing Tie-dye print High rise Stretch waistband Regular fit Just select your usual size,           Lightweight viscose Soft and drapey Main: 100% Viscose.,ASOS DESIGN,skirts
1360,Monki cord a-line mini skirt in mustard yellow,46.32,Mustard,Add-to-bag potential: considerable High rise A-line style Side-zip fastening Regular fit Just select your usual size,"           Soft, ribbed corduroy Big in the 70s, better now  Main: 98% Cotton, 2% Elastane.",Monki,skirts
1361,River Island ruched side split skirt in black,59.29,Black,Add-to-bag potential: considerable High-rise waist Button detail High split Zip-back fastening Slim fit Cut close to the body,           Smooth fabric It's got a little give  Body: 100% Polyester.,River Island,skirts
1362,Stradivarius belted mini skirt in dogtooth,33.33,Multi,Add-to-bag potential: considerable Dogtooth design High rise Side pockets Belted waist D-ring buckle Zip placket Regular fit Just select your usual size,"           Smooth woven fabric The kind that doesn't stretch  Main: 61% Polyester, 39% Viscose.",Stradivarius,skirts
1363,PrettyLittleThing mini skirt with high leg side split in lilac,22.23,Lilac,Add to bag potential: considerable    High rise    Elasticated waist    High leg split to side Bodycon fit A tight cut to the body,"           Lightweight woven fabric The kind that stretches  Main: 92% Polyester, 8% Elastane.",PrettyLittleThing,skirts
1364,ASOS DESIGN tiered button front maxi skirt in ditsy print,59.29,Yellow floral,For your daytime thing    Floral print High rise Button placket Regular fit Just select your usual size,"           Smooth woven fabric Fully lined It's light and floaty Lining: 100% Polyester, Main: 100% Polyester.",ASOS DESIGN,skirts
1365,ASOS DESIGN Petite co-ord fine rib skirt with gold button detail,44.46,Cream,Part of a co-ord set Top sold separately     High rise    Stretch waist     Button details Thigh splits Bodycon fit A tight cut to the body,"           Soft, ribbed knit Just a hint of cosy  Body: 83% Viscose, 17% Polyamide.",ASOS DESIGN,skirts
1366,Vila petite satin high low maxi skirt,64.84,Black,Worth making plans for Partially lined Stretch-back waistband High-low hem Regular fit Just select your usual size,"           Satin-style fabric Glossy on the surface Drapes like a dream Body: 80% Viscose, 20% Polyamide, Lining: 100% Polyester.",Vila,skirts
1367,Daisy Street pleated mini skirt in check co-ord,40.74,Multi check,Part of a co-ord set Blazer sold separately Check print High rise Zip-side fastening Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Body: 100% Polyester.,Daisy Street,skirts
1368,ASOS DESIGN Tall denim mini skirt with bow,51.88,Black,Part of our responsible edit High rise Zip-back fastening Bow detail Regular fit Just select your usual size,"           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 99% Cotton, 1% Elastane.",ASOS DESIGN,skirts
1369,ASOS DESIGN Petite denim wrap skirt with buttons in midwash blue,46.32,Midwash blue,An alternative to your jeans Mid-blue wash High-rise waist Wrap front Button placket Regular fit Just select your usual size,           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,skirts
1370,Bershka zip front check mini skirt in grey,32.42,Multi,Add-to-bag potential: considerable High rise Elasticated waist    Belted waist Ring-buckle detail    Zip-front fastening Regular fit Just select your usual size,"           Smooth woven fabric The kind that stretches  Main: 65% Polyester, 32% Viscose, 3% Elastane.",Bershka,skirts
1371,Saint Genies metallic pep hem mini skirt in green,40.76,Green,Cue the party playlist High-rise waist Peplum hem Zip-back fastening Slim fit Cut closely to the body,           Lightly textured fabric Shiny metallic finish  Fabric: 100% Polyester.,Saint Genies,skirts
1372,ASOS DESIGN tailored a-line mini skirt with scallop hem,37.05,Teal,For your daytime thing High-rise waist Side-zip fastening     Scalloped hem Regular fit Just select your usual size,"           Smooth woven fabric The kind that doesn't stretch   Body: 74% Polyester, 18% Viscose, 8% Elastane.",ASOS DESIGN,skirts
1373,ASOS DESIGN vinyl pleated mini skirt,46.32,Hot pink,It's already got your attention    Pleated design High-rise waist Regular fit Just select your usual size,           Glossy vinyl It's high-shine season,ASOS DESIGN,skirts
1374,ASOS DESIGN Tall co-ord moving rib knit skirt,48.17,Cream,Part of a co-ord set Mix and match Ribbed finish High rise Bodycon fit A tight cut to the body,"           Cotton-rich knit For blended comfort Body: 53% Cotton, 47% Acrylic.",ASOS DESIGN,skirts
1375,Only faux leather pu mini skirt in black,33.35,Black,It's already got your attention High rise Side pockets Zip-back fastening Bodycon fit A tight cut to the body,"           Faux leather Looks like real leather, but it's not You already knew that one, didn't you? Coating: 100% Polyurethane, Shell: 100% Polyester.",Only,skirts
1376,ASOS DESIGN floaty midi skirt with button waist detail in leopard print,55.58,Leopard print,We're still not over animal print High rise Stretch-back waistband Front pockets Regular fit Just select your usual size,           Lightweight viscose Soft and drapey Main: 100% Viscose.,ASOS DESIGN,skirts
1377,ASOS DESIGN satin pleated midi skirt in Hawaiian floral,64.84,Hawain floral,Easily dressed up or down Unlined for a lightweight feel Pleated design Floral print High-rise waist    Zip-side fastening Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Main: 100% Polyester.,ASOS DESIGN,skirts
1378,ASOS WHITE wool blend fit and flare midi skirt,101.9,Green,For your daytime thing High-rise waist    Side pockets    Regular fit Just select your usual size,"           Wool-mix knit For blended comfort  Main: 43% Polyamide, 26% Acrylic, 13% Wool, 13% Alpaca, 5% Elastane.",ASOS WHITE,skirts
1379,ASOS DESIGN Tall denim wrap skirt with buttons in recycled washed black,46.32,Washed black,For your daytime thing    High rise Button front     Wrap style Regular fit Just select your usual size,           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,skirts
1380,ASOS DESIGN co-ord knitted mini skirt in stripe,40.76,Multi,Part of a co-ord set Top sold separately Stretch waist Button details Striped design     Regular fit Just select your usual size,"           Ribbed knit Soft-touch style   Body: 53% Cotton, 47% Acrylic.",ASOS DESIGN,skirts
1381,ASOS DESIGN vinyl super mini skirt,33.35,Black,For that thing you have to go to High rise    Mini length Regular fit Just select your usual size,"           Glossy vinyl It's high-shine season Main: 92% Polyester, 8% Elastane.",ASOS DESIGN,skirts
1382,Missguided satin wrap midi skirt with lace trim in floral and leopard mix print,55.58,Multi,We're still not over animal print High-rise waist    Wrap design Floral and leopard print     Delicate lace edging     Front split    Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth,Missguided,skirts
1383,ASOS DESIGN midi skirt with box pleats in yellow floral,37.05,Yellow floral,Part of our responsible edit High rise Stretch waistband Box-pleat design Regular fit Just select your usual size,"           Lightweight, soft Lenzing™ Eco Vero™ comes from renewable sources It's made from wood pulp from responsibly managed forests Showing a fully transparent supply chain The process saves water and reduces greenhouse gas emissions by 50% Main: 96% Viscose, 4% Elastane.",ASOS DESIGN,skirts
1384,Oasis mini skirt in heart print,64.84,Black,Add-to-bag potential: considerable High-rise waistband    All-over print     Tiered hem Regular fit Just select your usual size,           Smooth woven fabric The kind that doesn't stretch Body: 100% Polyester.,Oasis,skirts
1385,ASOS DESIGN mini suit skirt in pop pink,46.32,Pop pink,Worth making plans for High rise Mini length Regular fit Just select your usual size,"           Lightweight woven fabric The kind that stretches  Body: 93% Polyester, 7% Elastane, Lining: 100% Polyester.",ASOS DESIGN,skirts
1386,ASOS DESIGN co-ord rib knit midi skirt,46.32,Cream,Part of a co-ord set Skirt sold separately    High rise Stretch waistband Faux button front Slim fit A narrow cut from hips to hem,"           Soft, lightweight knit Ribbed finish  Body: 100% Acrylic.",ASOS DESIGN,skirts
1387,Daisy Street mini skirt in patchwork floral,29.62,Multi,For your daytime thing Patchwork pattern High rise    Frill hem Slim fit Cut close to the body,"           Lightweight fabric The kind that stretches  Body: 95% Polyester, 5% Elastane.",Daisy Street,skirts
1388,& Other Stories midi skirt in zig zag print,109.31,Cross stripes,It's already got your attention High-rise waist Button placket Side pockets Regular fit Just select your usual size,           Pure cotton It's light and breathable Main: 100% Cotton.,& Other Stories,skirts
1389,Lace & Beads tulle midi skirt in taupe,64.84,Taupe,For a look as lit as your plans Fully lined High rise Regular fit A standard cut for a classic shape Exclusive to ASOS,"           Lightweight tulle Very fine netting Not just for tutus Fabric: 100% Polyester, Lining: 100% Polyester.",Lace & Beads,skirts
1390,Warehouse a-line mini skirt in green,66.7,Green,Add it to your everyday line-up Belted waistband    Concealed fly A-line cut    Regular fit Just select your usual size,"           Stretch twill Ribbed, diagonal pattern Slightly structured, very versatile Main: 91% Polyester, 9% Elastane.",Warehouse,skirts
1391,River Island mini skirt with button detail in brown check,59.29,Brown check,Add-to-bag potential: considerable Check print High rise Belted waist Button design Regular fit Just select your usual size,"           Smooth woven fabric The kind that doesn't stretch  Body: 78% Polyester, 22% Viscose.",River Island,skirts
1392,Skylar Rose pencil midi skirt with high split in pinstripe,64.84,Navy pinstripe,Add-to-bag potential: considerable Mid-rise waistband Belt detail Pinstripe design Thigh-high split Regular fit Just select your usual size,"           Smooth fabric The kind that stretches  Body: 98% Polyester, 2% Spandex.",Skylar Rose,skirts
1393,Nobody's Child midi bias skirt in orange daisy print,48.17,Orange ditsy daisy,For your daytime thing Floral print High rise Zip-back fastening Regular fit Just select your usual size,           Lightweight viscose Soft and drapey  Body: 100% Viscose.,Nobody's Child,skirts
1394,Parallel Lines pleated chiffon mini skirt in black,46.32,Black,It's everything you've been scrolling for Pleated design High rise Elasticated waistband Flippy hem Regular fit Just select your usual size,"           Sheer chiffon with opaque lining An easy, breezy fabric Body: 100% Polyester.",Parallel Lines,skirts
1395,New Look pocket detail cord skirt in stone,37.04,Stone,For your daytime thing High rise Concealed fly Functional pockets Regular fit Just select your usual size,"           Soft, ribbed corduroy We're still about that 70s thing Main: 100% Cotton, Trim: 70% Polyester, 30% Cotton.",New Look,skirts
1396,Warehouse faux leather mini skirt in brown croc,42.61,Brown,Daytime dressing made easy Faux-croc finish High rise Zip-back fastening    Mini length Regular fit Just select your usual size,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Body: 100% Polyurethane.",Warehouse,skirts
1397,BA&SH poly metallic midi skirt,407.59,Gold gold,"If in doubt, go all out High-rise waist All-over print Metallic finish Side-zip fastening Regular fit Just select your usual size",           Lightweight woven fabric The kind that doesn't stretch  Body: 100% Polyester.,Ba&sh,skirts
1398,Stradivarius asymmetric skirt with frill in floral print,37.04,Black,For your daytime thing     High-rise waist    Zip-side fastening Floral design     Asymmetric hem Regular fit Just select your usual size,"           Lightweight woven fabric Drapes softly over the body  Lining: 100% Polyester, Main: 100% Polyester.",Stradivarius,skirts
1399,Missguided Tall velvet pleated midi skirt in champagne,51.88,Cream,Easily dressed up or down Pleated design    High-rise waist Zip-side fastening Regular fit Just select your usual size,           Soft velvet One smooth operator Main: 100% Polyester.,Missguided Tall,skirts
1400,ASOS DESIGN kilt mini skirt,40.76,Black,"Pleated design Perfect for twirling High rise Hook-and-bar closure with button fastening Regular fit Not too loose, not too tight","           Lightweight woven fabric Does what it says on the tin  Body: 74% Polyester, 19% Viscose, 7% Elastane.",ASOS DESIGN,skirts
1401,Miss Selfridge a-line mini skirt with button through in rust,55.58,Ginger,For your daytime thing    High rise Tie waist Button placket Functional pockets Regular fit Just select your usual size,"           Soft twill Ribbed, diagonal pattern Slightly structured, very versatile  Main: 93% Viscose, 7% Polyester.",Miss Selfridge,skirts
1402,Miss Selfridge mini skirt with ruffles in ditsy floral,46.32,Black,For your daytime thing    High-rise waist Crossover front Ruffle trim Regular fit Just select your usual size,           Smooth woven fabric The kind that doesn't stretch  Main: 100% Polyester.,Miss Selfridge,skirts
1403,Pimkie faux leather midi skirt in black,40.74,Black,Add-to-bag potential: considerable High-rise waistband    Thigh split    Zip-back fastening    Regular fit Just select your usual size,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Main: 100% Polyurethane.",Pimkie,skirts
1404,UNIQUE21 Hero Plus midi skirt with pleated button detail in light check,55.58,Cream,Add-to-bag potential: considerable    High-rise waist Wrap front Button details    Zip-side fastening    Regular fit Just select your usual size Exclusive to ASOS,           Soft woven fabric The kind that doesn't stretch   Body: 100% Polyester.,Unique 21 Hero,skirts
1405,Stradivarius faux leather pencil skirt with belt in black,48.15,Black,Worth making plans for High rise Tie waist Side pockets Press-stud placket Slim fit Cut close to the body,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Coating: 100% Polyurethane Coating, Main: 100% Polyester.",Stradivarius,skirts
1406,True Decadence Petite asymmetric maxi skirt co-ord with ruffle hem in raspberry,92.64,Magenta raspberry,Part of a co-ord set Top sold separately High rise Asymmetric-peplum hem Thigh split Zip-back fastening Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Fabric: 100% Polyester.,True Decadence Petite,skirts
1407,Sacred Hawk knitted button front top in tiger print,51.88,Tiger,For your daytime thing Tiger print V-neck Button fastening Long sleeves Cropped length Regular fit Just select your usual size,           Lightweight knitted fabric Soft-touch style  Body: 100% Polyester.,Sacred Hawk,skirts
1408,Missguided zip detail faux leather mini skirt in black,37.05,Black,Cue the party playlist High-rise waist    Belt loops Zip fly    Side pockets Slim fit Cut close to the body,"           Faux leather  Let's be honest, no one can tell the difference  Main: 100% Polyurethane.",Missguided,skirts
1409,PrettyLittleThing slinky bodycon midi skirt co-ord in taupe,27.79,Taupe,Part of a co-ord set Top sold separately High-rise waistband Bodycon fit A tight cut to the body Exclusive to ASOS,"           Slinky, stretchy fabric Super-smooth feel Clings to the body Main: 95% Viscose, 5% Elastane.",PrettyLittleThing,skirts
1410,ASOS DESIGN Curve denim original high waisted skirt in dark stonewash blue,46.32,Blue,Part of our responsible edit High rise Belt loops Concealed fly    Five pockets Slim fit Cut close to the body,"           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 99% Cotton, 1% Elastane.",ASOS DESIGN,skirts
1411,ASOS DESIGN Petite high waisted pencil skirt in khaki,33.35,Khaki,For that thing you have to go to    Plain design High rise    Zip-back fastening Slim fit Cut close to the body,"           Smooth woven fabric The kind that stretches Body: 72% Viscose, 24% Nylon, 4% Elastane.",ASOS DESIGN,skirts
1412,New Look Petite split midi wrap skirt in red leopard print,33.33,Red pattern,Add-to-bag potential: considerable Mid-rise waist Wrap front Leopard print Tie detail Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Main: 100% Viscose.,New Look,skirts
1413,ASOS DESIGN sequin pleated midi skirt,111.16,Gold,"If it sparkles, we're into it Regular rise Pleated design Regular fit Just select your usual size","           Sequin-embellished fabric Drapes softly over the body   Lining: 100% Polyester, Shell: 100% Polyester.",ASOS DESIGN,skirts
1414,& Other Stories bonded velvet mini skirt in peach,83.37,Bright orange,Let your outfit do the talking     High rise Zip-back fastening    Mini length Regular fit True to size,"           Soft, bonded velvet Thicker than regular velvet  Main: 61% Polyester, 35% Cotton, 4% Elastane.",& Other Stories,skirts
1415,ASOS DESIGN croc leather look mini skirt with studded belt,70.4,Red,It’s everything you’ve been scrolling for Croc-effect design High-rise waist    Double-buckle belt    Zip-front fastening Regular fit Just select your usual size,"           Glossy vinyl For a slick look Backing: 90% Polyester, 8% Cotton, 2% Viscose, Coating: 100% Polyurethane.",ASOS DESIGN,skirts
1416,ASOS DESIGN Petite jersey bias split in animal floral,33.35,Animal floral,It's everything you've been scrolling for High rise All-over print Side hem split Regular fit Just select your usual size,"           Soft, drapey jersey Unlined for a lightweight feel  Main: 97% Viscose, 3% Elastane.",ASOS DESIGN,skirts
1417,Boohoo midaxi skirt with buttons in white,37.05,White,For that thing you have to go to    Mid rise Elasticated waistband to reverse    Button placket Regular fit Just select your usual size,           Smooth woven fabric The kind that doesn't stretch Main: 100% Viscose.,boohoo,skirts
1418,Y.A.S paisley midi skirt with ruffle detail,101.9,Multi,Coming to your Saved Items Paisley design    High-rise waist    Zip-side fastening    Tiered ruffles    Regular fit True to size,           Lightweight woven fabric Fully lined  Body: 100% Polyester.,Y.A.S,skirts
1419,ASOS DESIGN mono leopard satin pleat midi skirt,64.84,Mono print,Add-to-bag potential: considerable Leopard print High rise Pleated design    Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Main: 100% Polyester.,ASOS DESIGN,skirts
1420,House Of Stars ruched mini skirt with diamante buckle co-ord,83.37,Black,Part of a co-ord set Top sold separately Mid-rise waist Ruched design Embellished heart buckle Side-zip fastening Regular fit Just select your usual size Exclusive to ASOS,"           Satin-style fabric Silky and super smooth Body: 97% Polyester, 3% Spandex, Lining: 100% Polyester.",House of Stars,skirts
1421,Whistles sequin midi skirt,257.53,Silver,For that thing you have to go to    High-rise waist    Frill hem Midi length Regular fit Just select your usual size,"           Sequin-embellished fabric If in doubt, go all out Body: 95% Polyester, 5% Elastane.",Whistles,skirts
1422,Bershka knitted co ord skirt in cream,33.33,Cream,Part of a co-ord set Jumper sold separately High rise Kick split Bodycon fit A tight cut to the body,"           Ribbed knit Just a hint of cosy Main: 52% Viscose, 28% Polybutylene Terephthalate, 20% Polyamide.",Bershka,skirts
1423,Monki A-line mini skirt with buttons in light blue,46.32,Blue,Easily dressed up or down Mid-rise waist Button fastening A-line cut Regular fit Just select your usual size Exclusive to ASOS,"           Lightweight woven fabric The kind that doesn't stretch  Lining: 100% Polyester, Main: 63% Polyester, 33% Viscose, 4% Elastane.",Monki,skirts
1424,Stradivarius belted mini skirt in grey check,33.33,Multi,Add-to-bag potential: considerable Check design High rise Belted waist D-ring buckle detail Zip placket Regular fit Just select your usual size,"           Smooth woven fabric It's got a little stretch Main: 65% Polyester, 33% Viscose, 2% Elastane.",Stradivarius,skirts
1425,ASOS DESIGN Curve denim pelmet skirt in washed black,46.32,Washed black,Some serious daytime inspiration right here Washed black finish Zip fly Functional pockets Split front Raw-cut hem For that unfinished finish Regular fit - true to size,"           Supports Cotton made in Africa (Cmi A)’s sustainable farming This isn’t just your average cotton The initiative works to improve living conditions of farmers across Africa Neat, right? Main: 100% Cotton.",ASOS CURVE,skirts
1426,ASOS DESIGN Petite mono leopard satin pleat midi skirt,64.84,Mono leopard,Add it to your everyday line-up Leopard print    High rise Side-zip fastening Pleated finish Midi length Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Main: 100% Polyester.,ASOS DESIGN,skirts
1427,Monki prarie floral print midi skirt with side slit in blue,55.58,Blue,For your daytime thing High-rise waist Side split Zip-side fastening Regular fit Just select your usual size Exclusive to ASOS,           Smooth woven fabric It's light and floaty Main: 100% Polyester.,Monki,skirts
1428,Liquor N Poker western denim skirt co-ord,55.58,Washed red,Part of a co-ord set Jacket sold separately     High-rise waist    Concealed fly    Functional pockets Regular fit Just select your usual size Exclusive to ASOS,"           Non-stretch denim Thick, rigid cotton Body: 100% Cotton.",Liquor N Poker,skirts
1429,ASOS DESIGN Petite pleated midi skirt,51.88,Light pink,No need for a dress to impress    High rise Side zip fastening Midi length Regular fit Just select your usual size,"           Lined chiffon Pleated finish An easy, breezy fabric  Lining: 100% Polyester, Main: 100% Polyester.",ASOS DESIGN,skirts
1430,ASOS DESIGN obi tie mini skirt in black,40.76,Black,An alternative to your jeans High rise Obi-tie waist Side pockets Zip-back fastening Regular fit Just select your usual size,"           Soft woven fabric The kind that stretches  Body: 73% Polyester, 20% Viscose, 7% Elastane.",ASOS DESIGN,skirts
1431,ASOS DESIGN jersey midi skirt with split in mono animal,33.35,Mono animal,We're still not over animal print High-rise waist    Side split Bodycon fit A tight cut to the body,"           Go-with-everything jersey It's a soft all-rounder Main: 95% Viscose, 5% Elastane.",ASOS DESIGN,skirts
1432,Y.A.S floral midi skirt with split,83.37,Multi,Easily dressed up or down High rise Stretch-back waistband Front split Regular fit Just select your usual size,"           Lightweight viscose Soft and drapey Lining: 100% Polyester, Main: 100% Polyester.",Y.A.S,skirts
1433,Levete Room check midi skirt with button front,129.69,Gingham,Add it to your everyday line-up Check print High rise Button placket Regular fit Just select your usual size,"           Lightweight woven fabric Drapes softly over the body  Main: 76% Viscose, 22% Polyester, 2% Elastane.",Levete Room,skirts
1434,ASOS DESIGN co-ord textured knit midi skirt,48.17,Cream,Part of a co-ord set For a matchy-matchy look Stretch waistband All-over stitch detail Bodycon fit Holds you close,"           Textured knit It's got a little give  Body: 52% Cotton, 48% Acrylic.",ASOS DESIGN,skirts
