,url,brand,title,price,description,colour
0,https://www.asos.com/pimkie/pimkie-acid-mom-jean-in-blue/prd/13540425?clr=blue&colourWayId=16545163&SearchQuery=&cid=3630,Pimkie,Pimkie acid mom jean in blue,SGD$39.56,"    <li>It's all in the jeans</li><li><span style=""background-color: initial;"">High rise</span></li><li><span style=""background-color: initial;"">Belt loops</span></li><li><span style=""background-color: initial;"">Concealed fly</span></li>    <li>Five pockets</li>    <li>Straight cut</li>    <li>Relaxed fit</li><li>Think baggy and casual</li>",Blue
1,https://www.asos.com/reclaimed-vintage/reclaimed-vintage-the-90-skinny-jeans-in-washed-black/prd/10691256?clr=washed-black&colourWayId=16292267&SearchQuery=&cid=3630,Reclaimed Vintage,Reclaimed Vintage The '90 skinny jeans in washed black,SGD$53.97,    <li>You can always depend on denim</li><li>Zip fly</li><li>Functional pockets</li><li>Skinny fit&nbsp;</li><li>A tight cut for a sleek shape</li><li>Exclusive to ASOS</li>,Washed black
2,https://www.asos.com/collusion/collusion-x005-straight-leg-jeans-in-vintage-wash/prd/11626001?clr=blue&colourWayId=16383296&SearchQuery=&cid=3630,COLLUSION,COLLUSION x005 straight leg jeans in vintage wash,SGD$35.98,    <li>They're long-term relationship material</li>    <li>Light wash</li><li>High rise</li>    <li>Concealed fly with button closure</li>    <li>Functioning pockets</li><li>Regular fit</li><li>Just select your usual size</li>,Blue
3,https://www.asos.com/missguided/missguided-riot-mom-jeans-in-black/prd/13384825?clr=black&colourWayId=16465807&SearchQuery=&cid=3630,Missguided,Missguided riot mom jeans in black,SGD$44.98,"    <li><span style=""background-color: initial;"">They're long-term relationship material</span></li><li><span style=""background-color: initial;"">High rise</span></li><li>Concealed fly</li>    <li><span style=""background-color: initial;"">Functional pockets</span></li>    <li>Cropped length</li><li>Regular fit</li><li>Just select your usual size</li>",Black
4,https://www.asos.com/asos-design/asos-design-lisbon-mid-rise-skinny-jeans-in-clean-black-in-ankle-grazer-length/prd/8552875?clr=clean-black&colourWayId=15194773&SearchQuery=&cid=3630,skinny jeans,ASOS DESIGN Lisbon mid rise skinny jeans in clean black in ankle grazer length,SGD$39.58,    <li>They're long-term relationship material</li><li>Mid-rise waist</li><li>Zip fly</li><li>Belt loops</li>    <li>Five pockets</li><li>Skinny fit</li><li>Cut closely from hips to hem</li>,Clean black
5,https://www.asos.com/new-look-tall/new-look-tall-skinny-jeans-in-black/prd/12213569?clr=black&colourWayId=16438810&SearchQuery=&cid=3630,New Look ,New Look Tall skinny jeans in black,SGD$28.77,    <li>The perfect partner for all your nice tops</li><li>Mid-rise waist</li><li>Concealed fly</li><li>Functional pockets</li><li>Skinny fit</li><li>Cut very closely from hips to hem</li>,Black
6,https://www.asos.com/miss-selfridge/miss-selfridge-mom-jeans-mid-wash-blue/prd/13706947?clr=blue&colourWayId=16559126&SearchQuery=&cid=3630,Miss Selfridge,Miss Selfridge mom jeans mid wash blue,SGD$68.37,"    <li><span style=""background-color: initial;"">It's all in the jeans</span></li><li><span style=""background-color: initial;"">High-rise waist</span></li>    <li>Concealed fly</li>    <li>Five pockets</li>    <li>Straight leg</li>    <li>Sits on the ankle</li>    <li>Relaxed fit</li>",Blue
7,https://www.asos.com/asos-design/asos-design-ridley-high-waisted-skinny-jeans-in-dark-stone-wash-with-raw-hem-detail/prd/10620616?clr=dark-stonewash-blue&colourWayId=16283215&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Ridley high waisted skinny jeans in dark stone wash with raw hem detail,SGD$50.37,    <li>A go-to pair</li><li>Concealed fly</li><li>Functional pockets</li><li>Raw-cut hem</li><li>For an unfinished finish</li><li>Skinny fit&nbsp;</li><li>A tight cut for a sleek shape</li>,Dark stonewash blue
8,https://www.asos.com/new-look-petite/new-look-petite-ripped-skinny-jean-in-blue/prd/13629342?clr=blue-pattern&colourWayId=16553030&SearchQuery=&cid=3630,New Look,New Look Petite ripped skinny jean in blue,SGD$52.16,    <li>Add them to your everyday line-up</li><li>High rise</li><li>Belt loops</li><li>Button fastening</li><li>Concealed fly&nbsp;</li><li>Side pockets</li><li>Ripped-knee details</li><li>Skinny fit</li><li>Cut very closely from hips to hem</li>,Blue pattern
9,https://www.asos.com/g-star/g-star-d-staq-high-waist-crop-wide-leg-jean/prd/12795625?clr=authentic-black&colourWayId=16480760&SearchQuery=&cid=3630,G-Star,G-Star D-staq high waist crop wide leg jean,SGD$224.89,"    <li><span style=""background-color: initial;"">Add them to your everyday line-up</span></li><li><span style=""background-color: initial;"">High rise</span></li><li>Concealed fly&nbsp;</li><li>Button fastening&nbsp;</li><li>Side and back pockets</li><li>Wide leg</li><li>Fitted at the top, flowing at the bottom</li>",Authentic black
10,https://www.asos.com/reclaimed-vintage/reclaimed-vintage-the-89-slim-tapered-leg-jean-in-black/prd/13189523?clr=black&colourWayId=16532842&SearchQuery=&cid=3630,Reclaimed Vintage,Reclaimed Vintage The '89 slim tapered leg jean in black,SGD$57.57,"    <li>Add-to-bag potential: considerable</li><li>Mid-rise waist</li><li>Concealed fly</li><li>Functional pockets</li><li>Slim, tapered fit</li><li>Cut closely around the thigh with a narrow shape through the leg</li>",Black
11,https://www.asos.com/asos-tall/asos-design-tall-recycled-florence-authentic-straight-leg-jeans-in-washed-black/prd/10737620?clr=washed-black-1&colourWayId=16308430&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Tall Recycled Florence authentic straight leg jeans in washed black,SGD$57.57,    <li>Wear them again and again</li><li>High rise</li><li>Concealed fly</li><li>Functional pockets</li><li>Straight fit</li><li>Down the line</li><li>Part of the Eco Edit</li>,Washed black 1
12,https://www.asos.com/asos-design/asos-design-recycled-florence-authentic-straight-leg-jeans-in-mid-vintage-blue/prd/10728561?clr=mid-blue&colourWayId=16302030&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Recycled Florence authentic straight leg jeans in mid vintage blue,SGD$57.57,    <li>Some serious daytime inspiration right here</li><li>Mid-rise waist</li><li>Mid-wash finish</li><li>Zip fly</li><li>Functional pockets</li><li>Straight fit</li><li>Down the line&nbsp;</li>,Mid blue
13,https://www.asos.com/topshop/topshop-jamie-skinny-jeans-in-black/prd/13495126?clr=black&colourWayId=16473494&SearchQuery=&cid=3630,Topshop,Topshop Jamie skinny jeans in black,SGD$71.96,"    <li><span style=""background-color: initial;"">For today, tomorrow and every day after</span></li><li>High-rise waist</li><li>Belt loops</li><li>Zip fly</li><li>Five-pocket styling</li><li>Ankle-grazer style</li><li>Skinny fit</li><li>Cut very closely from hips to hem</li>",Black
14,https://www.asos.com/asos-design/asos-design-farleigh-high-waisted-slim-mom-jeans-in-light-stone-wash/prd/9817880?clr=blue&colourWayId=15072819&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Farleigh high waisted slim mom jeans in light stone wash,SGD$57.57,    <li>A wardrobe staple&nbsp;</li><li>Extreme high rise</li><li>Concealed fly</li>    <li>Functional pockets</li><li>Slim fit</li><li>A narrow cut that sits close to the body</li>,Blue
15,https://www.asos.com/river-island/river-island-paperbag-jeans-with-button-detail-in-mid-wash-blue/prd/13084249?clr=mid-auth&colourWayId=16529140&SearchQuery=&cid=3630,River Island,River Island paperbag jeans with button detail in mid wash blue,SGD$75.56,    <li>Add them to your everyday line-up</li><li>High rise</li><li>Stretchy paperbag waist</li><li>Belt loops</li><li>Button fly</li><li>Relaxed fit</li><li>Think baggy and casual</li>,Mid auth
16,https://www.asos.com/vero-moda/vero-moda-high-waisted-skinny-jean-in-blue/prd/9223432?clr=medium-blue&colourWayId=15026282&SearchQuery=&cid=3630,,Vero Moda high waisted skinny jean in blue,SGD$57.57,    <li>A wardrobe staple&nbsp;</li><li>Mid-wash blue</li><li>Concealed fly</li><li>Functional pockets</li><li>Skinny fit&nbsp;</li><li>A tight cut for a sleek shape</li>,missing
17,https://www.asos.com/weekday/weekday-jazz-flared-jeans-in-deep-black/prd/14101252?clr=black&colourWayId=16591387&SearchQuery=&cid=3630,Weekday,Weekday Jazz flared jeans in deep black,SGD$80.96,    <li>Part of our responsible edit&nbsp;</li><li>High-rise waist</li>    <li>Concealed fly</li>    <li>Two back pockets</li><li>Flared shape</li><li>Cut with a slim leg that flares at the knee</li>,Black
18,https://www.asos.com/asos-design/asos-design-rivington-high-waisted-jeggings-in-smokey-blue-wash/prd/9828905?clr=mid-green-blue&colourWayId=16276622&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Rivington high waisted jeggings in smokey blue wash,SGD$39.58,    <li>Jeans and a nice top?</li><li>You're halfway there with these</li><li>High rise</li><li>Concealed fly</li><li>Two back pockets</li><li>Skinny fit</li><li>A tight cut for a sleek shape</li>,Mid green blue
19,https://www.asos.com/jdy/jdy-straight-leg-jean-in-blue/prd/10542717?clr=light-blue&colourWayId=16260384&SearchQuery=&cid=3630,JDY,JDY straight leg jean in blue,SGD$44.98,    <li>A wardrobe staple&nbsp;</li><li>Concealed fly</li><li>Functional pockets</li><li>Straight fit</li><li>Down the line&nbsp;</li>,Light blue
20,https://www.asos.com/topshop/topshop-editor-straight-leg-jeans-in-black/prd/13496678?clr=washed-black&colourWayId=16473662&SearchQuery=&cid=3630,Topshop,Topshop Editor straight leg jeans in black,SGD$88.16,<li>Add them to your everyday line-up</li><li>High rise</li><li>Button fastening</li><li>Concealed fly</li><li>Straight leg</li><li>Slim fit</li><li>A narrow cut from hips to hem</li>,Washed black
21,https://www.asos.com/asos-white/asos-white-carrot-leg-jean/prd/13013963?clr=khaki&colourWayId=16477732&SearchQuery=&cid=3630,ASOS WHITE,ASOS WHITE carrot leg jean,SGD$89.96,"    <li><span style=""background-color: initial;"">It's all in the jeans</span></li><li><span style=""background-color: initial;"">High rise</span></li>    <li>Belt loops</li>    <li>Concealed fly&nbsp;</li>    <li>Five pockets</li>    <li>Carrot fit&nbsp;</li><li>Cut with a lowered crotch and tapered from the knee to the ankle</li>",Khaki
22,https://www.asos.com/missguided-tall/missguided-tall-wrath-straight-leg-jeans-in-black/prd/10059823?clr=black&colourWayId=15090785&SearchQuery=&cid=3630,Missguided Tall,Missguided Tall wrath straight leg jeans in black,SGD$44.98,    <li>A wardrobe staple</li>    <li>Mid rise</li>    <li>Concealed fly</li>    <li>Functioning pockets</li><li>Frayed hem</li><li>Straight fit</li><li>Down the line</li>,Black
