,url,brand,title,price,description,colour,material
355,https://www.aforarcade.com/product/women/clothing/tops/ellery-ruched-top-in-rose,A for Arcade,ELLERY RUCHED TOP IN ROSE,$29.00, ,ROSE,Made of Polyester blend
356,https://www.aforarcade.com/product/women/clothing/tops/ellery-ruched-top-in-honey,A for Arcade,ELLERY RUCHED TOP IN HONEY,$29.00, ,HONEY,Made of Polyester blend
357,https://www.aforarcade.com/product/women/clothing/dresses/justina-watercolour-button-dress-in-marmalade,A for Arcade,JUSTINA WATERCOLOUR BUTTON DRESS IN MARMALADE,$42.00, ,MARMALADE,Made of Polyester blend
358,https://www.aforarcade.com/product/women/clothing/dresses/justina-abstract-button-dress-in-black,A for Arcade,JUSTINA ABSTRACT BUTTON DRESS IN BLACK,$42.00, ,BLACK,Made of Polyester blend
359,https://www.aforarcade.com/product/women/clothing/dresses/holly-drop-hem-dress-in-honey,A for Arcade,HOLLY DROP HEM DRESS IN HONEY,$37.00, ,HONEY,Made of Cotton blend
360,https://www.aforarcade.com/product/women/clothing/dresses/holly-drop-hem-dress-in-vineyard-green,A for Arcade,HOLLY DROP HEM DRESS IN VINEYARD GREEN,$37.00, ,VINEYARD GREEN,Made of Cotton blend
361,https://www.aforarcade.com/product/women/clothing/dresses/holly-drop-hem-dress-in-navy,A for Arcade,HOLLY DROP HEM DRESS IN NAVY,$37.00, ,NAVY,Made of Cotton blend
362,https://www.aforarcade.com/product/women/clothing/skirts/monica-polkadot-a-line-skirt-in-navy,A for Arcade,MONICA POLKADOT A-LINE SKIRT IN NAVY,$35.00, ,NAVY,Made of Polyester blend
363,https://www.aforarcade.com/product/women/clothing/skirts/monica-polkadot-a-line-skirt-in-kelly-green,A for Arcade,MONICA POLKADOT A-LINE SKIRT IN KELLY GREEN,$35.00, ,KELLY GREEN,Made of Polyester blend
364,https://www.aforarcade.com/product/women/clothing/one-piece/allison-frill-hem-romper-dress-in-dusk-blue,A for Arcade,ALLISON FRILL HEM ROMPER DRESS IN DUSK BLUE,$37.00, ,DUSK BLUE,Made of Polyester blend
365,https://www.aforarcade.com/product/women/clothing/one-piece/allison-frill-hem-romper-dress-in-auburn,A for Arcade,ALLISON FRILL HEM ROMPER DRESS IN AUBURN,$37.00, ,AUBURN,Made of Polyester blend
366,https://www.aforarcade.com/product/women/clothing/dresses/bonnie-bow-gingham-dress-in-navy,A for Arcade,BONNIE BOW GINGHAM DRESS IN NAVY,$38.00, ,NAVY,Made of Polyester blend
367,https://www.aforarcade.com/product/women/clothing/dresses/bonnie-bow-gingham-dress-in-red,A for Arcade,BONNIE BOW GINGHAM DRESS IN RED,$38.00, ,RED,Made of Polyester blend
368,https://www.aforarcade.com/product/women/clothing/tops/seas-the-day-floral-shirt-in-blue,A for Arcade,SEAS THE DAY FLORAL SHIRT IN BLUE,$33.00, ,BLUE,Made of Polyester blend
369,https://www.aforarcade.com/product/women/clothing/tops/seas-the-day-floral-shirt-in-sunshine,A for Arcade,SEAS THE DAY FLORAL SHIRT IN SUNSHINE,$33.00, ,SUNSHINE,Made of Polyester blend
370,https://www.aforarcade.com/product/women/clothing/shorts-women/clothing/skirts/josie-cherry-swing-skorts-in-maple,A for Arcade,JOSIE CHERRY SWING SKORTS IN MAPLE,$34.00,"Swing skorts are the way to go! Adorably stylish and littered with prints, <em>Josie</em> is a delightful must-have for your weekend wardrobe. Flowy in nature, this dazzling number is best paired with plain tees or tank tops — perhaps ending off with a denim jacket to complete the ensemble. Concealed back zip.",MAPLE,Made of Polyester blend 
371,https://www.aforarcade.com/product/women/clothing/outerwear/bernadette-pocket-blazer-in-cream,A for Arcade,BERNADETTE POCKET BLAZER IN CREAM,$42.00, ,CREAM,Made of Polyester blend
