,brand,title,price,description,colour,material
22,London Rag,Skinny Fit Distressed Jeans,S$ 56.00,"- Distressed look
- Mid Rise
- Five pocket construction
- Includes a button and zipper closure
- Comfortable
- Belt Loops
- CL7552",Blue,[]
23,Sunnydaysweety,New Boyfriend Jeans CA032517,S$ 88.00,"- Boyfriend Jeans Style
- White Pocket at two sides
- Can be Roll Leg ",Light Blue,[]
24,Levi's,Womens Levi's® Engineered Jeans™ Loose Jean 72961-0000,S$ 169.90,"Levi's® Engineered Jeans™ were designed for ease of motion, extra comfort and the perfect ergonomic fit. Wide-leg jeans cut extra loose for super sharp, contemporary style. Cut from performance denim infused with enough stretch for all-day comfort and mobility.
-Sits below waist
-Loose fit through thigh
-Wide leg
-Mid rise
-97% Cotton, 3% Elastane",Blue,"'-97% Cotton, 3% Elastane"
25,GAP,Skinny Ankle Jeans,S$ 114.90,"- Solid tone plain skinny jeans
- Unlined
- Mid rise
- Skinny fit
- Front zip and button closure
- 5-pocket design
- Cotton blend
- Model wears a size 26 in and is 174cm tall",Secret Plum,"52% Cotton, 32% Modal, 13% Polyester, 3% Spandex"
26,ZALORA BASICS,Basic High Waisted Functional Jeggings,S$ 28.90,"- Basic denim jeggings
- High rise
- Skinny fit
- Elasticated waistband with front zip and button fastening
- Two back pockets
- Cotton blend
- Model wears an S and is 173cm tall",White,70% Cotton 28% Polyester 2% Spandex
27,Pepe Jeans,Dua Lipa X Pepe Jeans Collection Brave Relaxed Fit Regular Waist Jeans,S$ 190.90,"- Collaboration with Dua Lipa
- Washed effect denim boyfriend jeans
- Mid rise
- Relaxed fit
- Front button fastening
- Five-pocket style
- Cotton
- Model wears a size 26 and is 174cm tall",Denim,100% Cotton
28,ONLY,Carmen Ankle Jeans,S$ 79.00,"- Lightly distressed cropped denim jeans
- Mid rise
- Slim fit
- Zip-fly and button fastening
- 5 pockets
- Cotton blend
- Model wears a size 25S and is 174cm tall",Dark Blue Denim/,"95% Cotton, 3% Polyester 2% Elastane"
29,Something Borrowed,Slim Mom Fit Jeans With Scarf Belt,S$ 39.90,"- Light wash mom jeans with scarf belt detail
- High rise
- Slim fit
- Button and zip fastening
- Scarf tie
- 5 pockets
- Cotton",Light Blue,100% Cotton Woven
30,GAP,Soft Skinny High Rise Jeans,S$ 94.90,"- Light wash skinny jeans
- High rise
- Skinny fit
- Button and zip fastening
- 5 pockets
- Lyocell blend
- Model wears a size 26 REGULAR and is 174cm tall",Blue,[]
31,London Rag,Yellow Stretch Fit Bold Denims,S$ 53.00,"- Skinny Jeans
- 5 pockets styling -2 side pockets/2 back pockets
- 1 coin pocket
- Belt Loops
- Solid Shade
- Button and Zip fastening
- Stretchable fabric
- CL7672",Yellow,97% COTTON 3% SPANDEX
32,London Rag,Fuchsia Stretch Fit Bold Denims,S$ 53.00,"- Skinny Jeans
- 5 pockets styling -2 side pockets/2 back pockets
- 1 coin pocket
- Belt Loops
- Solid Shade
- Button and Zip fastening
- Stretchable fabric
- CL7672",Fuchsia,97% COTTON 3% SPANDEX
33,BDG by Urban Outfitters,Ripped Pax Jeans,S$ 95.90,"- Medium wash frayed hem ripped straight-legged jeans
- High rise
- Regular fit
- Button and zip fastening
- 5 pocket design
- Cotton
- Model wears a size 26 in and is 177cm tall",Denim,100% Cotton
34,Dorothy Perkins,R: Indigo Straight,S$ 43.90,"- Solid tone straight-legged jeans
- Mid rise
- Regular fit
- Button and zip fastening
- 5 pocket design
- Cotton blend
- Model wears a UK 10 and is 180cm tall",Indigo,"78% Cotton, 21% Polyester, 1% Elastane"
35,BDG by Urban Outfitters,Pax Jeans,S$ 95.90,"- Solid tone frayed hem straight-legged jeans
- High rise
- Regular fit
- Button and zip fastening
- 5 pocket design
- Cotton
- Model wears a size 26 in and is 177cm tall",Ecru,100% Cotton
36,BDG by Urban Outfitters,Clean Black Pine Jeans,S$ 80.90,"- Monochrome denim skinny jeans
- High rise
- Skinny fit
- Front zip and button fastening
- Five-pocket style
- Cotton blend
- Model wears a size 26 in and is 173cm tall",Black,"92% Cotton, 6% Polyester, 2% Elastane"
37,Violeta by MANGO,Plus Size Bi-Stretch Push-Up Irene Jeans,S$ 99.90,"- Push up slim jeans
- Mid rise
- Slim fit
- Button and zip fastening
- 5 pocket style
- Cotton blend",Black,"84% Cotton, 11% Polyester, 5% Elastane"
38,GRLFRND,Helena High-Rise Straight Crop Jean(Revolve),S$ 325.00,"Nothing is sweeter than a sartorial girl in the city
GRLFRND's Helena High-Rise Straight Crop Jean features an always effortless raw-cut step hem and is made in a wear-with-anything white wash",[],[]
39,Lara,Women Mid-Rise Jeans,S$ 102.00,"- New products
- Easy to mix and match
- Comfortable fabrics",[],[]
40,TOPSHOP,Holding Power Joni Jeans,S$ 99.90,"- Monochrome toned jeggings
- Mid rise
- Skinny fit
- Front zip with button fastening
- 2 pockets
- Cotton blend
- Model wears a size 26S and is 176cm tall",Black,"71% Cotton, 23% Polyester, 6% Elastane"
41,GAP,Soft Skinny Creek Jeans,S$ 92.90,"- Medium wash skinny jeans
- Mid rise
- Skinny fit
- Button and zip fastening
- 5 pockets
- Lyocell blend
- Model wears a size 26 REGULAR and is 174cm tall",Blue,"66% Lyocell, 20% Polyester, 12% Viscose Rayon, 2% Elastane"
42,FOREVER 21,Side Striped Skinny Jeans,S$ 52.90,"- Skinny jeans with contrast stripe detail
- High rise
- Skinny fit
- Front zip and button closure
- 5-pocket design
- Cotton blend",Black/Red,"98% Cotton, 2% Spandex"
43,TOPSHOP,Mid Blue Editor Jeans,S$ 109.00,"- Casual straight leg jeans
- Unlined
- Mid rise
- Regular fit
- Front zip and button closure
- 5-pocket design
- Cotton
- Model wears a size 26S and is 176cm tall",Mid Denim,100% Cotton
44,Mango,High Waist Skinny Noa Jeans,S$ 55.90,"- Solid tone skinny denim jeans
- Sizing runs one size larger
- High rise
- Unlined
- Skinny fit
- Button and zip fastening
- Five pocket style
- Cotton blend",Khaki,"98% Cotton, 2% Elastane"
45,ZALORA BASICS,Basic Slim Jeans,S$ 34.90,"- Solid tone slim jeans
- High rise
- Slim fit
- Button and zip fastening
- 5 pocket design
- Cotton blend",Black,75% Cotton 23% Polyester 2% Spandex
46,Seoul in Love,Ke-Jeong Jeans,S$ 63.84,"Latest trend in Korea and Hong Kong Magazine!
-Perfect and easy match with classy and casual look
-Suitable for local weather-stretchy and comfy!",blue,100% cotton
47,superdown,Angel Straight Leg Jeans(Revolve),S$ 91.00,"100% cotton
Hand wash cold
Zip fly with button waist
5-pocket styling
Intentionally destroyed areas
Intentionally frayed leg openings",[],[]
48,GAP,Soft Skinny Creek Jeans,S$ 92.90,"- Medium wash skinny jeans
- Mid rise
- Skinny fit
- Button and zip fastening
- 5 pockets
- Lyocell blend
- Model wears a size 26 REGULAR and is 174cm tall",Blue,"66% Lyocell, 20% Polyester, 12% Viscose Rayon, 2% Elastane"
49,A-IN GIRLS,Fashion Scratched Elastic Waist Jeans,S$ 225.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",black,"88% cotton, 10.5% polyester, 1.5% spandex"
