,brand,title,price,description,colour,material
357,Reoparudo,RPD Racing Cross Space Print Hoodie (Black),S$ 128.90,"The  ""SPACE"" series launched by REOPARUDO has become a topic. In this series, the brand's basic black, white, grey and iconic reflective elements are preserved. New visual effects and popular color embellishments are added to help you create visual play.

REOPARUDO: Close your eyes and open your mind!!

-Drawstring hood
-Printed Logo to chest
-Print at the back 
-Reflective detail to sleeve
-Pouch Pocket
-Ribbed Cuffs and Hem
-Regular fit - true to size
-100% Cotton
-Soft-touch Fabric
-Design in Japan
 
REOPARUDO This pure cotton hooded sweater, with the popular color ""SPACE"" English word and emoticon print, together with the reflective patch elbow, shows your personality in silence.",Black,100% Cotton
358,Calli,Billie Oversized Sweatshirt,S$ 92.90,"- Solid tone sweatshirt with textured logo
- Round neckline
- Regular fit
- Slip on style
- Polyester blend
- Model wears a size AUS 8 and is 173cm tall",Black,[]
359,TOPSHOP,Grey Everyday Sweatshirt,S$ 39.90,"- Solid-colored casual pullover
- Round neckline
- Regular fit
- Slip-on style
- Long cuffed sleeves
- Cotton blend",Grey Marle,"50% Cotton, 50% Polyester"
360,UniqTee,Contrast Color Sweatshirt With Hoodie,S$ 35.90,"- Melange color-blocking hooded sweater
- Hooded neckline
- Unlined
- Regular fit
- Slip on style
- Kangaroo pockets
- Cotton
- Model wears an M and is 173cm tall",Multi,100% Cotton
361,A-IN GIRLS,Colorful Striped Hooded Sweater,S$ 190.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",multi,"94% Cotton, 6% Spandex"
362,Champion,Nylon Warm-Up Jacket,S$ 109.00,"- Mesh panel detail half zip hoodie
- Hood neckline
- Regular fit
- Zip fastening
- 1 pocket design
- Nylon
- Model wears an S and is 172cm tall",Navy/Imperial Indigo/White,100% Nylon
363,Guess,Embellished Guess Heart Logo Hoodie,S$ 149.00,"- Solid toned hoodie with embellished details
- Hooded neckline
- Unlined
- Regular fit
- Zip fastening
- 2 pockets
- Cotton blend
- Model wears an S and is 174cm tall",Black,"81% Cotton, 19% Polyester"
364,MKY Clothing,MKY Two Tone Heart Hoody Sweater,S$ 81.00,"Two Tone Heart Hoody Sweater by MKY Clothing

- sweater with hoody
- emboss heart shape
- two colour combination
- baby terry
- reguler fit","Pink, Grey",Baby Terry
365,Guess,Guess Ladies Long-Sleeve Sweatshirt With Triangle Logo,S$ 150.00,"- Logo print drop shoulder sweater
- Unlined
- Crew neckline
- Regular fit
- Cotton
- Model wears an S and is 173cm tall",Orange,100% Cotton
366,FILA,F-Box Sweatshirt,S$ 148.00,"- Regular fit
- Comfortable and breathable
- Rose gold F-box logo at the front","Navy, Gold","58% Polyester, 42% Cotton"
