web-scraper-order,web-scraper-start-url,link,link-href,title,brand,price,description,material,colour,category
"1573756266-15046","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","ZALIA BASICSBasic Polo TopS$ 19.90International Sizes:XSSMLXL","https://www.zalora.sg/zalia-basics-basic-polo-top-pink-1133165.html","Basic Polo Top","ZALIA BASICS","S$ 19.90","- Solid hue knitted polo top
- Collar neckline
- Regular fit
- Front button fastening
- Long cuffed sleeves
- Polyester blend","94% Polyester 6% Spandex","Dusty Pink","Tops"
"1573760359-15942","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","50% OFFA-IN GIRLSHalf-High Collar Embroidery And Velvet SweaterS$ 159.20NOW S$ 80.00International Sizes:ML","https://www.zalora.sg/a-in-girls-half-high-collar-embroidery-and-velvet-sweater-pink-1298825.html","Half-High Collar Embroidery And Velvet Sweater","A-IN GIRLS","S$ 159.20","The Latest Korean Fashion Hot Selection 
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","69.5% Polyester Fiber, 30.5% Cotton","pink","null"
"1573751813-13949","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","52% OFFSomething BorrowedShort Sleeve Belted Crop TopS$ 32.90NOW S$ 15.90International Sizes:XSSMLXL","https://www.zalora.sg/something-borrowed-short-sleeve-belted-crop-top-yellow-1083445.html","Short Sleeve Belted Crop Top","Something Borrowed","S$ 32.90","- Cropped top with buckle detail
- Round neckline
- Regular fit
- Back button & side zip fastening
- Belted waist 
- Short sleeves
- Cropped hem
- Keyhole back
- Polyester blend","97% Polyester, 3% Elastane","Mustard","Tops"
"1573753323-14348","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","TOPSHOPIDOL Floral Flock Mesh TopS$ 43.90UK Sizes:8","https://www.zalora.sg/topshop-idol-floral-flock-mesh-top-pink-1256703.html","IDOL Floral Flock Mesh Top","TOPSHOP","S$ 43.90","- Floral print sheer mesh high neck top
- Turtleneck neckline
- Slim fit
- Polyester","Garment: Polyester(100%)","PINK","Tops"
"1573745299-12237","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","10% OFFSponsoredReebokTraining Core Foundation Linear Scoop Neck TeeS$ 29.00NOW S$ 26.10International Sizes:XSSMLXL","https://www.zalora.sg/reebok-training-core-foundation-linear-scoop-neck-tee-white-1146200.html/?ad_id=display_2nHI8drnjk4wtAw1fZ6cXAv42QRBRkJFOUFBMkE4RTdGNEdT","Training Core Foundation Linear Scoop Neck Tee","Reebok","S$ 29.00","- Best for training
- Logo graphic print T-shirt
- Straight hemline for coverage
- Scoop neckline
- Unlined
- Slim fit
- Slip on style
- Cotton
- Model wears an S and is 177cm tall","100% Cotton","White/Rebel Red","Tops"
"1573750399-13571","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","30% OFFDorothy PerkinsRust Square Neck Built Up TopS$ 49.90NOW S$ 34.90Available in several sizes","https://www.zalora.sg/dorothy-perkins-rust-square-neck-built-up-top-red-1060634.html","Rust Square Neck Built Up Top","Dorothy Perkins","S$ 49.90","- Button up sleeveless top
- Square neckline
- Unlined
- Regular fit
- Button fastening
- Polyester
- Model wears a UK 8 and is 180cm tall","Polyester","Red","Tops"
"1573742610-11450","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","43% OFFRiver IslandRosie Ring CamiS$ 39.90NOW S$ 22.90UK Sizes:1012","https://www.zalora.sg/river-island-rosie-ring-cami-pink-1118914.html","Rosie Ring Cami","River Island","S$ 39.90","- Metal ring detail strap printed cami
- V-neckline
- Lined
- Regular fit
- Polyester
- Model wears a UK 8 and is 174cm tall","100% Polyester","Pink Print","Tops"
"1573744324-11950","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","65% OFFZALORAFlare Sleeves TopS$ 29.90NOW S$ 10.40International Sizes:XSS","https://www.zalora.sg/zalora-flare-sleeves-top-multi-navy-1062924.html","Flare Sleeves Top","ZALORA","S$ 29.90","- Button up round neck top with flared sleeves
- Round neckline
- Unlined
- Regular fit
- Button fastening
- Polyester
- Model wears an S and is 170cm tall","100% Polyester Woven","Navy/Maroon","Tops"
"1573761370-16146","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","48% OFFHollisterCrop Halter Cami TopS$ 38.00NOW S$ 19.90International Sizes:ML","https://www.zalora.sg/hollister-crop-halter-cami-top-beige-1047616.html","Crop Halter Cami Top","Hollister","S$ 38.00","- Knitted halter cami top
- Sizing runs one size larger
- Halter neckline
- Lined
- Regular fit
- Self tie fastening
- Cotton
- Model wears an S and is 170cm tall","Cotton","Oatmeal","Tops"
"1573756708-15151","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","Cotton OnLenny Puff Short Sleeve TopS$ 29.99International Sizes:XXSXSSML","https://www.zalora.sg/cotton-on-lenny-puff-short-sleeve-top-blue-1268085.html","Lenny Puff Short Sleeve Top","Cotton On","S$ 29.99","- Puffed sleeves button up top
- V neckline
- Unlined
- Regular fit
- Slip on style
- Cotton
- Model wears an S and is 173cm tall","100% Cotton","Total Eclipse","Tops"
