,url,brand,title,price,description,colour
3248,https://www.asos.com/asos-petite/asos-design-petite-2-pack-high-waisted-leggings-in-black-save/prd/12867646?clr=black&colourWayId=16451194&SearchQuery=&cid=2640,ASOS DESIGN,ASOS DESIGN Petite 2 pack high waisted leggings in black SAVE,missing,"    <li><span style=""background-color: initial;"">Pack of two</span></li><li>Invest in your favourites</li><li><span style=""background-color: initial;"">High-rise waist</span></li>    <li>Elasticated waistband</li><li>Bodycon fit</li><li>A tight cut to the body</li>",missing
3249,https://www.asos.com/native-youth/native-youth-tracksuit-bottoms-with-toggles-co-ord/prd/12744508?clr=navy&colourWayId=16440869&SearchQuery=&cid=2640,Native Youth,Native Youth tracksuit bottoms with toggles co-ord,missing,    <li>Part of a co-ord set</li><li>Jacket sold separately&nbsp;</li>    <li>Drawstring waist</li><li>Side pockets</li><li>Adjustable cuffs</li><li>Regular fit</li><li>just select your usual size</li>,missing
3250,https://www.asos.com/asos-maternity/asos-design-maternity-under-the-bump-harem-trouser-in-squiggle-print/prd/12171740?clr=multi&colourWayId=16406804&SearchQuery=&cid=2640,ASOS DESIGN,ASOS DESIGN Maternity under the bump harem trouser in squiggle print,missing,    <li>For your daytime thing</li>    <li>High rise</li>    <li>Stretch waistband</li>    <li>Functional pockets</li>    <li>Cropped length</li><li>Fitted cuffs</li><li>Regular fit</li><li>Designed to fit through all stages of pregnancy</li>,missing
3251,https://www.asos.com/asos-design/asos-design-slim-utility-pant-with-chain-belt/prd/12181076?clr=white&colourWayId=16414351&SearchQuery=&cid=2640,ASOS DESIGN,ASOS DESIGN slim utility pant with chain belt,missing,    <li>Part of our responsible edit</li><li>High rise</li><li>Concealed fly</li><li>Functional pockets</li><li>Detachable chain</li><li>Zip cuffs</li><li>Slim fit</li><li>A narrow cut from hips to hem</li>,missing
3252,https://www.asos.com/fila/fila-essential-leggings-with-ankle-logo/prd/8637679?clr=black&colourWayId=15205347&SearchQuery=&cid=2640,Fila,Fila essential leggings with ankle logo,missing,    <li>For exercise or everyday wear</li><li>Stretch waist</li><li>Fila logo detail</li><li>Bodycon fit</li><li>A tight cut to the body</li>,missing
3253,https://www.asos.com/lipsy/lipsy-pu-paperbag-trouser-in-black/prd/13552383?clr=black&colourWayId=16546349&SearchQuery=&cid=2640,Lipsy,Lipsy pu paperbag trouser in black,missing,"    <li>Easily dressed up or down</li><li>High-rise waist</li><li>Tie detail</li><li>Functional pockets</li><li>Slim, tapered fit</li><li>Cut closely around the thigh with a narrow shape through the leg</li>",missing
3254,https://www.asos.com/asos-design/asos-design-pink-floral-suit/grp/25787?clr=floral&colourWayId=0&SearchQuery=&cid=2640,Lipsy,ASOS DESIGN pink floral suit,missing,missing,missing
3255,https://www.asos.com/sister-jane/sister-jane-tailored-cigarette-trousers-with-ornate-waistband/prd/12914486?clr=black&colourWayId=16438857&SearchQuery=&cid=2640,sister jane,Sister Jane tailored cigarette trousers with ornate waistband,missing,"    <li>Add-to-bag potential: considerable</li><li>Embellished waistband</li><li>Side pockets</li><li>Tailored style</li><li>Regular, tapered fit</li><li>A standard cut around the thigh with a narrow shape through the leg</li>",missing
3256,https://www.asos.com/boohoo/boohoo-tailored-trousers-in-grey-check/prd/13132027?clr=multi&colourWayId=16462105&SearchQuery=&cid=2640,boohoo,Boohoo tailored trousers in grey check,missing,"    <li><span style=""background-color: initial;"">For your daytime thing</span></li><li><span style=""background-color: initial;"">High rise</span></li>    <li><span style=""background-color: initial;"">Concealed fly with button fastening</span></li><li>Regular fit</li><li>Just select your usual size</li>",missing
3257,https://www.asos.com/asos-petite/asos-design-petite-tracksuit-hoodie-slim-jogger-with-tie-in-organic-cotton/prd/13464326?clr=black&colourWayId=16543533&SearchQuery=&cid=2640,boohoo,ASOS DESIGN Petite tracksuit hoodie / slim jogger with tie in organic cotton,missing,"    <li><span style=""background-color: initial;"">Part of our responsible edit&nbsp;</span></li><li>Drawstring hood</li><li>Dropped shoulders</li><li>Over-the-head style&nbsp;</li><li>Hoodie is a regular fit&nbsp;</li><li>Drawstring waist</li><li>Side pockets&nbsp;</li><li>Fitted cuffs</li><li>Joggers are a slim fit</li>",missing
