web-scraper-order,web-scraper-start-url,link,link-href,title,price,description,material,size,style,colour,colour2
"1573232366-3824","https://www2.hm.com/en_us/women/products/dresses.html","V-neck Dress","https://www2.hm.com/en_us/productpage.0772831011.html","V-neck Dress","$24.99","Short, wide-cut dress in soft, woven viscose fabric. V-neck, 3/4-length sleeves, and seam at waist with pleats. Unlined.","Viscose 100%","Back: Length: 91.0 cm (Size 8) – cm = unitofmeasure","STYLE
				
					V-neck","Blue/light beige/white","Blue/paisley-patterned"
"1573240611-4059","https://www2.hm.com/en_us/women/products/dresses.html","Cap-sleeved Dress","https://www2.hm.com/en_us/productpage.0793348001.html","Cap-sleeved Dress","$34.99","Fitted, knee-length dress in jersey with a small stand-up collar. Cap sleeves, concealed zip at back, and seam at waist. Snug-fit skirt. Unlined.","Polyester 74%, Viscose 24%, Elastane 2%","Back: Length: 97.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					Stand-up Collar
					Fitted
					Cap sleeve","Black/white","Black/zigzag patterned"
"1573240125-4046","https://www2.hm.com/en_us/women/products/dresses.html","Cap-sleeved Dress","https://www2.hm.com/en_us/productpage.0719484004.html","Cap-sleeved Dress","$34.99","Knee-length dress in crêped jersey and lace. Round neckline, cap sleeves, and concealed back zip. Seam at waist and gently flared skirt.","Polyester 97%, Elastane 3%","Back: Length: 136.5 cm (Size M) – cm = unitofmeasure","STYLE
				
					Round Neck
					Cap sleeve","Dark blue","Dark blue"
"1573241446-4082","https://www2.hm.com/en_us/women/products/dresses.html","Stand-up Collar Satin Dress","https://www2.hm.com/en_us/productpage.0808922004.html","Stand-up Collar Satin Dress","$34.99","RICHARD ALLAN x H&M. Short, A-line dress in satin with a printed pattern. Stand-up collar, small opening at back of neck with covered buttons, and long raglan sleeves with narrow, elasticized cuffs. Unlined.","Polyester 100%","Back: Length: 88.6 cm (Size 0) – cm = unitofmeasure","STYLE
				
					Raglan Sleeve
					A-line
					Keyhole
					Stand-up Collar","Light khaki green/khaki green/black","Light khaki green/patterned"
"1573224986-3609","https://www2.hm.com/en_us/women/products/dresses.html","Patterned Wrap-front Dress","https://www2.hm.com/en_us/productpage.0726223001.html","Patterned Wrap-front Dress","$29.99","Calf-length dress in woven viscose fabric with a printed pattern. V-neck, wrapover front with ties at waist, and long sleeves with slit and drawstring at cuffs. Asymmetric skirt with shorter front section. Unlined.","Viscose 100%","Shoulder: Width: 38.0 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Wrapover
					V-neck","Light pink/green","Light pink/floral"
"1573248177-4262","https://www2.hm.com/en_us/women/products/dresses.html","Shirt Dress","https://www2.hm.com/en_us/productpage.0805473001.html","Shirt Dress","$69.99","Calf-length shirt dress in woven fabric. Band collar, snap fasteners at front, and button placket with a decorative tab at top. Large patch front pockets and extra-long, wide sleeves with buttons at cuffs. Seam at waist with pleats at top, belt loops with snap fastener, and removable tie belt, elasticized in the middle. Slit at back.","Cotton 100%","Back: Length: 119.7 cm (Size M) – cm = unitofmeasure","STYLE
				
					Shirt Dress
					Band Collar","Black","Black/washed out"
"1573247340-4239","https://www2.hm.com/en_us/women/products/dresses.html","Glittery Jersey Dress","https://www2.hm.com/en_us/productpage.0853752001.html","Glittery Jersey Dress","$24.99","Short, fitted dress in glittery jersey with short sleeves and narrow ribbing at neckline. Unlined.","Polyamide 89%, Elastane 7%, Metallized fiber 4%","Short","STYLE
				
					Round Neck
					Fitted","Black","Black/glittery"
"1573249712-4303","https://www2.hm.com/en_us/women/products/dresses.html","Dress with Flounces","https://www2.hm.com/en_us/productpage.0806516002.html","Dress with Flounces","$69.99","Dress in sheer, woven, lightly crinkled fabric. V-neck at front, concealed zip at back, and gentle gathers at shoulders. Long sleeves with narrow, covered elastic at cuffs. Asymmetric seam at waist with flounce, and a wide, airy skirt with flounce at hem. Longer at back. Lined.","Lining: Polyester 100%","Back: Length: 120.0 cm (Size 8) – cm = unitofmeasure","STYLE
				
					V-neck","Red","Red"
"1573252753-4386","https://www2.hm.com/en_us/women/products/dresses.html","Cut-out Dress","https://www2.hm.com/en_us/productpage.0785081001.html","Cut-out Dress","$24.99","Short, fitted dress in stretch jersey with a mock turtleneck. Visible zip at back, cut-out section at sides, and a covered metal ring at front. Unlined.","Viscose 63%, Polyamide 32%, Elastane 5%","Front: Length: 83.6 cm (Size M) – cm = unitofmeasure","STYLE
				
					Mock Turtleneck
					Cut-out","Black","Black"
"1573226158-3642","https://www2.hm.com/en_us/women/products/dresses.html","Crêped Flounced Dress","https://www2.hm.com/en_us/productpage.0771977002.html","Crêped Flounced Dress","$54.99","Sleeveless, calf-length dress in woven, crêped viscose fabric. Narrow, adjustable shoulder straps, V-neck with flounces at front, and a concealed zip at back. Unlined.","Viscose 100%","Midi","STYLE
				
					V-neck","Dark pink","Dark pink"
"1573234116-3878","https://www2.hm.com/en_us/women/products/dresses.html","Lace V-neck Dress","https://www2.hm.com/en_us/productpage.0755876005.html","Lace V-neck Dress","$79.99","Calf-length dress in lace. V-neck, sewn wrapover at front, open section at back, and concealed button at back of neck. Cap sleeves, seam at waist, and concealed side zip. Softly draped, gently flared skirt. Partly lined in jersey.","Cotton 38%, Polyamide 33%, Viscose 29%","Back: Length: 109.3 cm (Size 8) – cm = unitofmeasure","STYLE
				
					A-line
					Cap sleeve
					Wrapover
					V-neck","Black","Black"
"1573243750-4143","https://www2.hm.com/en_us/women/products/dresses.html","Fitted Dress with Studs","https://www2.hm.com/en_us/productpage.0796631001.html","Fitted Dress with Studs","$49.99","Short, fitted dress in soft, stretch jersey with a stud pattern at front and back. Round neckline at front, V-neck at back, padded shoulders, and long sleeves. Unlined.","Polyester 95%, Elastane 5%","Shoulder: Width: 39.5 cm (Size M) – cm = unitofmeasure","STYLE
				
					Round Neck
					Fitted
					V-neck","Black/silver-colored","Black"
"1573253111-4396","https://www2.hm.com/en_us/women/products/dresses.html","Dress with Ties","https://www2.hm.com/en_us/productpage.0794468001.html","Dress with Ties","$29.99","Short, V-neck dress in woven fabric. Ties at neckline, long sleeves with narrow elastic at cuffs, and elasticized seam at waist.","Lining: Polyester 100%","Shoulder: Width: 38.0 cm (Size 6) – cm = unitofmeasure","STYLE
				
					V-neck","Black","Black"
"1573233137-3851","https://www2.hm.com/en_us/women/products/dresses.html","Slip-style Dress","https://www2.hm.com/en_us/productpage.0758129001.html","Slip-style Dress","$19.99","Ankle-length dress in soft jersey. V-neck, narrow, adjustable shoulder straps, and slits at sides.","Viscose 100%","Midi","STYLE
				
					Slip Dress
					V-neck","Black","Black"
"1573229516-3745","https://www2.hm.com/en_us/women/products/dresses.html","Ribbed Dress","https://www2.hm.com/en_us/productpage.0779871009.html","Ribbed Dress","$34.99","Fitted, calf-length dress in ribbed jersey with a square neckline front and back. Slit at back.","Polyester 98%, Elastane 2%","Front: Length: 120.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					Fitted","Neon yellow","Neon yellow"
"1573241905-4094","https://www2.hm.com/en_us/women/products/dresses.html","Shirt Dress with Belt","https://www2.hm.com/en_us/productpage.0805838001.html","Shirt Dress with Belt","$119.00","Short, fitted dress in faux leather with a wide, removable belt at waist. Collar, concealed snap fasteners at front, and yoke front and back. Chest pockets with flap, front pockets, long sleeves, and cuffs with concealed snap fasteners. Unlined.","Coating: Polyurethane 100%","Short","STYLE
				
					Shirt Dress","Black","Black"
"1573252606-4382","https://www2.hm.com/en_us/women/products/dresses.html","Balloon-sleeved Dress","https://www2.hm.com/en_us/productpage.0823317001.html","Balloon-sleeved Dress","$29.99","Short dress in an airy woven fabric with a printed pattern. Small, ruffled collar and V-neck opening at front with ties. Long raglan balloon sleeves with covered button at cuffs, gathered seam at waist, and a flared skirt. Jersey lining.","Lining: Polyester 100%","Short","STYLE
				
					Raglan Sleeve
					Balloon Sleeve
					Stand-up Collar
					V-neck","Beige/brown","Beige/snakeskin-patterned"
"1573247374-4240","https://www2.hm.com/en_us/women/products/dresses.html","Calf-length Lace Dress","https://www2.hm.com/en_us/productpage.0732429003.html","Calf-length Lace Dress","$79.99","Calf-length dress in lace with short, scalloped cap sleeves. Opening at back of neck with button, concealed zip at back, and seam at waist. Gently flared skirt with pleats at top. Partly lined with contrasting fabric.","Cotton 37%, Polyamide 32%, Viscose 18%, Lyocell 12%, Polyester 1%","Midi","STYLE
				
					Round Neck
					Cap sleeve","Dusty rose/beige","Dusty rose"
"1573251852-4362","https://www2.hm.com/en_us/women/products/dresses.html","Jacquard-weave Dress","https://www2.hm.com/en_us/productpage.0784698003.html","Jacquard-weave Dress","$39.99","Calf-length dress in jacquard-weave fabric with a slight sheen. Opening at back of neck with covered button, gathered elastic at bust, and seam at waist. Long sleeves with gathered, elasticized cuffs. Unlined.","Viscose 100%","Midi","STYLE
				
					Puff Sleeve
					Keyhole","Red","Red/leopard print"
"1573251780-4360","https://www2.hm.com/en_us/women/products/dresses.html","Chiffon Dress","https://www2.hm.com/en_us/productpage.0777628002.html","Chiffon Dress","$49.99","Long dress in airy, lightly crinkled chiffon with a printed pattern. Narrow stand-up collar, buttons at top, and long sleeves with covered, elasticized cuffs. Gathered seam at waist and skirt with flounce at hem. Jersey liner dress with a V-neck and narrow, adjustable shoulder straps.","Lining: Polyester 100%","Long","STYLE
				
					Stand-up Collar","Brown/light beige","Brown/zebra print"
"1573253328-4402","https://www2.hm.com/en_us/women/products/dresses.html","Ribbed Mock-turtleneck Dress","https://www2.hm.com/en_us/productpage.0845436001.html","Ribbed Mock-turtleneck Dress","$24.99","Fitted, calf-length dress in ribbed jersey with mock turtleneck, long sleeves, and slits at sides.","Polyester 88%, Viscose 9%, Elastane 3%","Midi","STYLE
				
					Mock Turtleneck","Light beige melange","Light beige melange"
"1573236134-3934","https://www2.hm.com/en_us/women/products/dresses.html","Denim Bib Overall Dress","https://www2.hm.com/en_us/productpage.0747346001.html","Denim Bib Overall Dress","$34.99","Calf-length bib overall dress in washed cotton denim. V-neck, adjustable shoulder straps, and wrapover front with diagonal buttons at front and concealed buttons. Removable belt at waist with metal buckle, side pockets, and slit at front of hem.","Pocket lining: Cotton 100%","Midi","STYLE
				
					Bib Overall Dress
					V-neck","Denim blue","Denim blue"
"1573245522-4190","https://www2.hm.com/en_us/women/products/dresses.html","Patterned Shirt Dress","https://www2.hm.com/en_us/productpage.0714620007.html","Patterned Shirt Dress","$24.99","Short dress in woven viscose fabric with a printed pattern. Collar, buttons at front, and long sleeves with narrow, elasticized cuffs. Seam at waist and gently flared skirt. Unlined.","Viscose 100%","Sleeve: Length: 60.7 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Shirt Dress","Dark green","Dark green"
"1573240090-4045","https://www2.hm.com/en_us/women/products/dresses.html","Patterned Dress","https://www2.hm.com/en_us/productpage.0796241001.html","Patterned Dress","$49.99","CONSCIOUS. Fitted, calf-length dress in stretch jersey with a printed pattern. Stand-up collar, small opening at back of neck with concealed button, and dropped shoulders. Long sleeves and elasticized, gathered cuffs. Seam at waist and gently flared circle skirt with elastication and gathers at hips. Unlined. Polyester content is recycled.","Polyester 95%, Elastane 5%","Shoulder: Width: 58.5 cm (Size M) – cm = unitofmeasure","STYLE
				
					Stand-up Collar","Brown/dark beige/black","Brown/patterned"
"1573250763-4332","https://www2.hm.com/en_us/women/products/dresses.html","Wide-cut Dress","https://www2.hm.com/en_us/productpage.0787696002.html","Wide-cut Dress","$24.99","Short dress in airy, softly draped, woven viscose fabric. Gathered stand-up collar and opening at back of neck with buttons. Long, wide raglan sleeves and narrow, covered, elasticized cuffs. Unlined.","Viscose 100%","Short","STYLE
				
					Raglan Sleeve
					Keyhole
					Stand-up Collar","Dark green/beige/dark yellow","Dark green/floral"
"1573228617-3720","https://www2.hm.com/en_us/women/products/dresses.html","Modal-blend Dress","https://www2.hm.com/en_us/productpage.0771337002.html","Modal-blend Dress","$19.99","Relaxed-fit dress in soft jersey made from a modal and cotton blend. Dropped shoulders, 3/4-length sleeves, and narrow, elasticized seam at waist. Straight-cut skirt. Unlined.","Cotton 50%, Modal 50%","Sleeve: Length: 39.5 cm (Size M) – cm = unitofmeasure","STYLE
				
					Round Neck","Light pink","Light pink"
