web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1572976590-10844","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN fluffy wrap jumperSGD$51.88","https://www.asos.com/asos-design/asos-design-fluffy-wrap-jumper/prd/13218716?clr=white&colourWayId=16533339&SearchQuery=&cid=2637","ASOS DESIGN fluffy wrap jumper","SGD$51.88","White","Worth making plans forWrap-over styleTie waistWide sleevesRegular fitJust select your usual size","1549052","ABOUT ME
            Fluffy knit
Just a hint of cosy

Body: 100% Polyamide.","ASOS DESIGN","Jumper"
"1572900444-9941","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Monki high neck lightweight jumper in greySGD$37.05","https://www.asos.com/monki/monki-high-neck-lightweight-jumper-in-grey/prd/13551636?clr=grey&colourWayId=16546275&SearchQuery=&cid=2637","Monki high neck lightweight jumper in grey","SGD$37.05","Grey","Part of our responsible editHigh neckRibbed trimsRegular fitJust select your usual size","1574907","ABOUT ME
            Lightweight knitMonki partners with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals

Main: 100% Cotton.","Monki","Jumper"
"1572899777-9930","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Neon Rose Plus relaxed jumper in textured knitSGD$74.11","https://www.asos.com/neon-rose-plus/neon-rose-plus-relaxed-jumper-in-textured-knit/prd/12739223?clr=cream&colourWayId=16454348&SearchQuery=&cid=2637","Neon Rose Plus relaxed jumper in textured knit","SGD$74.11","Cream","Cosy never looked so goodV-neckDrop shoulders Long sleevesFitted trims Relaxed fitThink baggy and casual","1509996","ABOUT ME
            Cable knit It's got a little give 
Body: 64% Acrylic, 28% Elastane, 8% Mohair Wool.","Neon Rose","Plus-size jumper"
"1572911519-10120","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","French Connection crew neck textured jumperSGD$148.22","https://www.asos.com/french-connection/french-connection-crew-neck-textured-jumper/prd/12488280?clr=casablanca&colourWayId=16429206&SearchQuery=&cid=2637","French Connection crew neck textured jumper","SGD$148.22","Casablanca","Cosy level: considerableCrew neckDropped shouldersRelaxed fitThink baggy and casual","1490154","ABOUT ME
            Fluffy knitSeriously strokable
Body: 69% Acrylic, 28% Nylon, 3% Spandex.","French Connection","Jumper"
"1572978559-10877","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Vero Moda high neck stitching detail jumper in oatmealSGD$37.05","https://www.asos.com/vero-moda/vero-moda-high-neck-stitching-detail-jumper-in-oatmeal/prd/12429648?clr=oatmeal&colourWayId=16460657&SearchQuery=&cid=2637","Vero Moda high neck stitching detail jumper in oatmeal","SGD$37.05","Oatmeal","It's officially hibernation seasonPlain designHigh neckStitching detail to sleevesRegular fitJust select your usual size","1485416","ABOUT ME
            Lightweight knit Just a hint of cosy 

Body: 100% Acrylic.","Vero Moda","Jumper"
"1572919674-10225","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Mamalicious maternity abstract roll neck jumperSGD$53.73 SGD$77.81","https://www.asos.com/mamalicious/mamalicious-maternity-abstract-roll-neck-jumper/prd/13807677?clr=beige&colourWayId=16567991&SearchQuery=&cid=2637","Mamalicious maternity abstract roll neck jumper","SGD$53.73","Beige","Throw on and goRoll-neckRibbed trimsRegular fit    Designed to fit through all stages of pregnancy","1595625","ABOUT ME
            Soft knit
Cosy level: considerable

Body: 64% Acrylic, 36% Polyamide.","Mama.Licious","Maternity jumper"
"1572977597-10862","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Pimkie stripe panel tight fit jumper in blackSGD$27.77","https://www.asos.com/pimkie/pimkie-stripe-panel-tight-fit-jumper-in-black/prd/13584782?clr=multi&colourWayId=16549241&SearchQuery=&cid=2637","Pimkie stripe panel tight fit jumper in black","SGD$27.77","Multi","For your daytime thing    High neckContrast stripesLong sleevesSlim fitCut close to the body","1576716","ABOUT ME
            Soft knit
Ribbed finish

Main: 70% Viscose, 30% Polyamide.","Pimkie","Jumper"
"1572950198-10635","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN Petite charity christmas tree jumper for ASOS foundationSGD$51.88","https://www.asos.com/asos-petite/asos-design-petite-charity-christmas-tree-jumper-for-asos-foundation/prd/13282169?clr=cream&colourWayId=16535776&SearchQuery=&cid=2637","ASOS DESIGN Petite charity christmas tree jumper for ASOS foundation","SGD$51.88","Cream","'Tis the seasonBoat neckChristmas tree design   Ribbed cuffs and hem   Regular fitJust select your usual size£5 from every full price jumper sold will be donated to the ASOS Foundation","1553002","ABOUT ME
            Lightweight knit
Soft-touch style 

Body: 77% Acrylic, 22% Polyester, 1% Metallised Fibres.","ASOS DESIGN","Petite jumper"
"1572901228-9953","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Mango crochet cardigan in creamSGD$74.09","https://www.asos.com/mango/mango-crochet-cardigan-in-cream/prd/12832194?clr=cream&colourWayId=16438076&SearchQuery=&cid=2637","Mango crochet cardigan in cream","SGD$74.09","Cream","For your daytime thing     V-neckDropped shoulders    Button placket    Regular fitNo surprises, just a classic cut","1517358","ABOUT ME
            Crochet knitThink patterns, but with a handmade look
Main: 86% Cotton, 14% Polyester.","Mango","Cardigan"
"1572881473-9614","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Only Curve wide neck rib knitted jumperSGD$51.88","https://www.asos.com/only-curve/only-curve-wide-neck-rib-knitted-jumper/prd/13083969?clr=brown&colourWayId=16529037&SearchQuery=&cid=2637","Only Curve wide neck rib knitted jumper","SGD$51.88","Brown","Throw on and go    Wide-cut neckButton cuffsRelaxed fitFor a slouchy silhouette","1535957","ABOUT ME
            Ribbed knit
For a textural switch-up

Body: 50% Viscose, 27% Nylon, 23% Polyester.","Only","Plus-size jumper"
"1572972949-10797","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Pimkie eyelash cardigan in blackSGD$31.48","https://www.asos.com/pimkie/pimkie-eyelash-cardigan-in-black/prd/13561425?clr=black&colourWayId=16547090&SearchQuery=&cid=2637","Pimkie eyelash cardigan in black","SGD$31.48","Black","Add-to-bag potential: considerableOpen styleLong sleevesRegular fitJust select your usual size","1575732","ABOUT ME
            Fluffy knit
Add some texture to your look

Main: 65% Polyamide, 35% Acrylic.","Pimkie","Cardigan"
"1572879419-9576","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Fred Perry x Amy Winehouse contrast heart jumperSGD$157.48","https://www.asos.com/fred-perry/fred-perry-x-amy-winehouse-contrast-heart-jumper/prd/12603665?clr=100-white&colourWayId=16433124&SearchQuery=&cid=2637","Fred Perry x Amy Winehouse contrast heart jumper","SGD$157.48","100 white","Designed in collaboration with The Amy Winehouse FoundationRound neckFred Perry logo to chestLove heart embellishments     Contrast trimsRegular fitJust select your usual size","1499353","ABOUT ME
            Lightweight knit
Just a hint of cosy 

Body: 100% Cotton.","Fred Perry","Jumper"
"1572921826-10265","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Moon River open knit jumperSGD$100.05","https://www.asos.com/moon-river/moon-river-open-knit-jumper/prd/13860871?clr=ivory&colourWayId=16572128&SearchQuery=&cid=2637","Moon River open knit jumper","SGD$100.05","Ivory","For your daytime thingCrew neckCrochet inserts    Ribbed cuffs Relaxed fitFor a slouchy silhouette","1599737","ABOUT ME
            Lightweight knit
Soft-touch style

Main: 80% Acrylic, 20% Polyamide.","Moon River","Jumper"
"1572894844-9852","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","New Look Petite crew neck jumper in blackSGD$18.53 SGD$24.07","https://www.asos.com/new-look-petite/new-look-petite-crew-neck-jumper-in-black/prd/12575485?clr=black&colourWayId=16519311&SearchQuery=&cid=2637","New Look Petite crew neck jumper in black","SGD$18.53","Black","Cosy never looked so goodCrew neckLong sleevesDropped shouldersRibbed trimsCropped lengthRegular fitJust select your usual size","1496999","ABOUT ME
            Soft knitJust a hint of cosy
Main: 100% Acrylic.","New Look","Petite jumper"
"1572887966-9737","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Vero Moda High Neck Knitted JumperSGD$22.23","https://www.asos.com/vero-moda/vero-moda-high-neck-knitted-jumper/prd/12998373?clr=grey&colourWayId=16453840&SearchQuery=&cid=2637","Vero Moda High Neck Knitted Jumper","SGD$22.23","Grey","Cosy level: considerableHigh neck    Ribbed cuffs and hemRegular fitJust select your usual size","1529592","ABOUT ME
            Twisted yarn
Soft finish

Body: 80% Acrylic, 20% Cotton.","Vero Moda","Jumper"
"1572932553-10443","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Y.A.S wool mix roll neck fitted topSGD$51.88 SGD$74.11","https://www.asos.com/yas/yas-wool-mix-roll-neck-fitted-top/prd/12754980?clr=black&colourWayId=16460681&SearchQuery=&cid=2637","Y.A.S wool mix roll neck fitted top","SGD$51.88","Black","For your daytime thingRoll neckLong sleevesSlim fit A narrow cut to the sleeves and chest","1511455","ABOUT ME
            Wool-mix knitFor blended comfort
Body: 80% Viscose, 13% Wool, 7% Elastane.","Y.A.S","Top"
"1572878382-9554","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Bershka knitted co ord jumper in creamSGD$48.15","https://www.asos.com/bershka/bershka-knitted-co-ord-jumper-in-cream/prd/13450860?clr=cream&colourWayId=16467312&SearchQuery=&cid=2637","Bershka knitted co ord jumper in cream","SGD$48.15","Cream","Part of a co-ord setSkirt sold separately High neckLong sleevesFitted cuffs Regular fitJust select your usual size","1566993","ABOUT ME
            Ribbed knit
Just a hint of cosy

Main: 52% Viscose, 28% Polybutylene Terephthalate, 20% Polyamide.","Bershka","Jumper"
"1572911044-10112","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Free People chunky knit jumperSGD$237.15","https://www.asos.com/free-people/free-people-chunky-knit-jumper/prd/13435346?clr=mint&colourWayId=16541829&SearchQuery=&cid=2637","Free People chunky knit jumper","SGD$237.15","Mint","Throw on and goHigh neckDropped shouldersRibbed trimsCropped lengthRelaxed fitFor a slouchy silhouette","1564555","ABOUT ME
            Soft knit
Cosy level: considerable

Main: 51% Cotton, 37% Acrylic, 9% Polyester, 2% Nylon, 1% Elastane.","Free People","Jumper"
"1572931891-10433","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Warehouse high neck jumper in camelSGD$85.22","https://www.asos.com/warehouse/warehouse-high-neck-jumper-in-camel/prd/13700962?clr=camel&colourWayId=16558708&SearchQuery=&cid=2637","Warehouse high neck jumper in camel","SGD$85.22","Camel","Cosy never looked so good    Roll-neckDropped shoulders    Side splitRegular fitTrue to size","1586832","ABOUT ME
            Wool-mix knit
Soft and warm

Body: 65% Acrylic, 28% Polyamide, 7% Alpaca Wool.","Warehouse","Jumper"
