web-scraper-order,web-scraper-start-url,link,link-href,category,title,price,description,style id,colour,material,manufacturing,detailed
"1573356023-16016","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear Tech Pack","https://www.nike.com/sg/t/sportswear-tech-pack-skirt-1CRJX2/939484-010","Women's Skirt","Nike Sportswear Tech Pack","$105","Designed to move with your body, the Nike Sportswear Tech Pack Women's Skirt is made from soft, double-knit fabric in a mid-length silhouette that falls at the calves.","Style: 939484-010","Colour Shown: Black/Black","Large front pocket","Style: 939484-010","SLEEK LOOK. LIGHTWEIGHT WARMTH.
Designed to move with your body, the Nike Sportswear Tech Pack Women's Skirt is made from soft, double-knit fabric in a mid-length silhouette that falls at the calves.
BenefitsDouble-knit fabric is soft and lightweightElastic waistband with exterior drawcord for a personalised fitLarge front pocket
Product DetailsFabric: 55% cotton/37% rayon/8% elastaneMachine washImportedColour Shown: Black/BlackStyle: 939484-010Country/Region of Origin: China"
"1573356529-16112","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear","https://www.nike.com/sg/t/sportswear-woven-trousers-3L2cL2/AR2812-010","Women's Woven Trousers","Nike Sportswear","$89","Show off your kicks with the Nike Sportswear Women's Woven Trousers. Made from woven taffeta fabric, their elastic waistband and cuffs provide a snug fit where you need it.","Style: AR2812-010","Colour Shown: Black/White/White","Elastic waistband with drawcord is snug and comfortable.","null","WOVEN COMFORT.
Show off your kicks with the Nike Sportswear Women's Woven Trousers. Made from woven taffeta fabric, their elastic waistband and cuffs provide a snug fit where you need it.
BenefitsWoven taffeta fabric is smooth and durable.Elastic cuffs help you show off your kicks.Elastic waistband with drawcord is snug and comfortable.
Product DetailsStandard fit for a relaxed, easy feelFabric: 100% polyesterMachine washImportedColour Shown: Black/White/WhiteStyle: AR2812-010Country/Region of Origin: China"
"1573356018-16015","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Everyday Cushioned","https://www.nike.com/sg/t/everyday-cushioned-training-crew-socks-C9K1QH/SX7664-901","Training Crew Socks (3 Pairs)","Nike Everyday Cushioned","$19","Power through your workout with the Nike Everyday Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while a ribbed arch band wraps your midfoot for a supportive feel.","Style: SX7664-901","Colour Shown: Multi-Colour","Ribbed arch band offers a supportive feel.","null","COMFORT AND SUPPORT.
Power through your workout with the Nike Everyday Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while a ribbed arch band wraps your midfoot for a supportive feel.
BenefitsDri-FIT Technology helps keep your feet dry and comfortable.Thick terry sole provides comfort and impact absorption.Ribbed arch band offers a supportive feel.Crew silhouette covers your ankle and lower calf.
Product DetailsFabric: 69% cotton/28% polyester/2% elastane/1% nylonMachine washImportedColour Shown: Multi-ColourStyle: SX7664-901Country/Region of Origin: Sri Lanka"
"1573356575-16121","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Tottenham Hotspur 2019/20 Stadium Third","https://www.nike.com/sg/t/tottenham-hotspur-2019-20-stadium-third-football-shirt-J5jb47/AT0036-487","Football Shirt","Tottenham Hotspur 2019/20 Stadium Third","$115","The Tottenham Hotspur Stadium Third Football Shirt features team details on highly breathable fabric to help keep you cool and dry on the pitch or in the stands cheering for your team. A linear graphic depicts the club's nickname ""Spurs"" for iconic throwback pride.","Style: AT0036-487","Colour Shown: Blue Fury/Binary Blue","Signature Spurs details highlight your pride.","null","PRIDE AND PERFORMANCE.
The Tottenham Hotspur Stadium Third Football Shirt features team details on highly breathable fabric to help keep you cool and dry on the pitch or in the stands cheering for your team. A linear graphic depicts the club's nickname ""Spurs"" for iconic throwback pride.
BenefitsNike Breathe fabric helps you stay dry and cool.Dri-FIT Technology helps keep you dry and comfortable.Signature Spurs details highlight your pride.
Product DetailsStandard fit for a relaxed, easy feelFabric: 100% recycled polyesterMachine washImportedColour Shown: Blue Fury/Binary BlueStyle: AT0036-487Country/Region of Origin: Thailand"
"1573356725-16149","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike","https://www.nike.com/sg/t/3-4-running-crops-nNsLp4/BV0039-010","Women's 3/4 Running Crops","Nike","$69","The Nike 3/4 Running Crops give you form-fitting support and sweat-wicking coverage. Cropped length frees up your ankles, while a tight fit feels secure as miles go by. A mesh back panel adds breathable comfort.","Style: BV0039-010","Colour Shown: Black","3/4 cropped length falls above the ankle.","Country/Region of Origin: Sri Lanka","STRETCH FOR THE SPRINT.
The Nike 3/4 Running Crops give you form-fitting support and sweat-wicking coverage. Cropped length frees up your ankles, while a tight fit feels secure as miles go by. A mesh back panel adds breathable comfort.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focused.Blend of elastane and polyester fabrics gives you plenty of stretch.3/4 cropped length falls above the ankle.Mesh back panel enhances breathability.Wide, high waistband helps you feel supported with every move.
Product DetailsCompressive feelTight fitFabric: Body: 83% polyester/17% elastane. Mesh: 81% nylon/19% elastane. Gusset lining: 100% recycled polyester.Machine washImportedColour Shown: BlackStyle: BV0039-010Country/Region of Origin: Sri Lanka"
"1573356699-16144","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike","https://www.nike.com/sg/t/training-tank-hvl8wR/BV4372-021","Women's Training Tank","Nike","$49","Perfect for yoga, the Nike Women's Training Tank provides a little extra coverage for increased mobility and comfort during light training and all kinds of stretching.","Style: BV4372-021","Colour Shown: Dark Grey/Heather/White","Nike Dri-FIT Technology helps you stay dry, comfortable and focused.","null","EXCELLENT COVERAGE AND MOBILITY, PERFECT FOR ANY POSE.
Perfect for yoga, the Nike Women's Training Tank provides a little extra coverage for increased mobility and comfort during light training and all kinds of stretching.
BenefitsSoftly ruched shoulder straps for comfort as you move.Split hem at the back provides both coverage and mobility.Nike Dri-FIT Technology helps you stay dry, comfortable and focused.
Product DetailsCrew neckFabric: 100% polyesterMachine washImportedColour Shown: Dark Grey/Heather/WhiteStyle: BV4372-021Country/Region of Origin: Vietnam"
"1573356445-16096","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike ACG 365","https://www.nike.com/sg/t/acg-365-crew-socks-5LVR9X/SK0156-901","Crew Socks (2 Pairs)","Nike ACG 365","$45","Gear up for your outdoor adventure with the plush cushioning of the Nike ACG 365 Crew Socks.","Style: SK0156-901","Colour Shown: Multi-Colour","Imported","null","ALL-CONDITIONS SOCKS.
Gear up for your outdoor adventure with the plush cushioning of the Nike ACG 365 Crew Socks.
BenefitsSweat-wicking fabric helps keep your feet dry and comfortable.Strategic cushioning and arch band give you a supportive feel.
Product Details40% polyester/28% nylon/24% wool/8% elastaneMachine washImportedColour Shown: Multi-ColourStyle: SK0156-901Country/Region of Origin: Bulgaria"
"1573355997-16011","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike x Marine Serre","https://www.nike.com/sg/t/marine-serre-2-in-1-shirt-cCZXR1/CJ5934-838","Women's 2-In-1 Shirt","Nike x Marine Serre","$399","The Nike x Marine Serre 2-In-1 Shirt brings hybrid fashion to the pitch. Designer Marine Serre delivers her distinctive approach by placing an elongated shirt over a bodysuit, combining French couture with sportswear heritage to unite cross-cultural visions.","Style: CJ5934-838","Colour Shown: Guava Ice/Green Strike/Black","A reflective Swoosh design trademark and moon graphic are printed throughout the bodysuit.","Colour Shown: Guava Ice/Green Strike/Black","A HYBRID CELEBRATION OF SPORT AND CULTURE.
The Nike x Marine Serre 2-In-1 Shirt brings hybrid fashion to the pitch. Designer Marine Serre delivers her distinctive approach by placing an elongated shirt over a bodysuit, combining French couture with sportswear heritage to unite cross-cultural visions.
BenefitsThe knit fabric with Dri-FIT Technology helps you stay dry and comfortable.The shirt has an elongated hem for extended coverage.A reflective Swoosh design trademark and moon graphic are printed throughout the bodysuit.
Product DetailsFold-down collarRibbed cuffs on the shirtMarine Serre crest on the left chestNumber with iridescent Marine Serre logo and Swoosh design trademark at the backFabric: Shirt: 100% polyester. Bodysuit: 84% polyester/16% elastane.Machine washImportedColour Shown: Guava Ice/Green Strike/BlackStyle: CJ5934-838Country/Region of Origin: China"
"1573356752-16154","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear","https://www.nike.com/sg/t/sportswear-popper-trousers-qs3dFM/CI9973-010","Women's Popper Trousers","Nike Sportswear","$99","Get it started with the Nike Sportswear Popper Trousers, an old-school design rejuvenated with modern details. Wide legs let you move, while side press studs offer multiple styling options.","Style: CI9973-010","Colour Shown: Black/White/White","Knit fabric has a shiny look and a smooth feel.","Country/Region of Origin: Thailand","READY TO POP.
Get it started with the Nike Sportswear Popper Trousers, an old-school design rejuvenated with modern details. Wide legs let you move, while side press studs offer multiple styling options.
BenefitsThe design is a throwback to old-school basketball wear.Press studs along the sides allow easy on and off.Knit fabric has a shiny look and a smooth feel.A cinched elastic waistband with a drawcord lets you adjust the fit.
Product DetailsLoose fit for an oversized, roomy feelSide pockets100% polyesterMachine washImportedColour Shown: Black/White/WhiteStyle: CI9973-010Country/Region of Origin: Thailand"
"1573356652-16135","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Everyday Max Cushioned","https://www.nike.com/sg/t/everyday-max-cushioned-training-crew-socks-LBRyLg/SX5547-100","Training Crew Socks (3 Pairs)","Nike Everyday Max Cushioned","$29","Break through your ceiling with the Nike Everyday Max Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while high-friction yarns in the footbed reduce slippage.","Style: SX5547-100","Colour Shown: White/Wolf Grey/Black","High-friction yarn in the footbed helps reduce slippage.","null","COMFORT AND SUPPORT.
Break through your ceiling with the Nike Everyday Max Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while high-friction yarns in the footbed reduce slippage.
BenefitsDri-FIT Technology helps you stay dry and comfortable.Thick terry sole delivers comfort and impact cushioning.High-friction yarn in the footbed helps reduce slippage.Mesh fabric at the top of the foot offers ventilation.Crew silhouette delivers a comfortable fit around the ankle.Anatomically correct left and right socks are designed for a natural fit.
Product Details76% polyester/13% cotton/9% nylon/2% elastaneMachine washImportedColour Shown: White/Wolf Grey/BlackStyle: SX5547-100Country/Region of Origin: Pakistan,Sri Lanka"
"1573356244-16058","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Epic Lux","https://www.nike.com/sg/t/epic-lux-high-waisted-7-8-running-tights-P2cRMc/AR9794-010","Women's High-Waisted 7/8 Running Tights","Nike Epic Lux","$109","The Nike Epic Lux Women's High-Waisted 7/8 Running Tights have the same sweat wicking, stretch fabric as always, but now feature a higher-rise waistband than ever before. It gives you more coverage paired with a luxurious feel and flattering fit throughout your run and beyond.","Style: AR9794-010","Colour Shown: Black","Machine wash","null","SUPPORT FOR SPEED
The Nike Epic Lux Women's High-Waisted 7/8 Running Tights have the same sweat wicking, stretch fabric as always, but now feature a higher-rise waistband than ever before. It gives you more coverage paired with a luxurious feel and flattering fit throughout your run and beyond. 
Supportive CoverageThe high-waisted design provides added coverage up to your navel, while Nike Power fabric gives you a supportive feel during your run.
Sweat WickingDri-FIT Technology helps keep you dry by wicking sweat from your skin to the fabric's surface, where it quickly evaporates.
Essential StorageA zip pocket with a vapour barrier on the back can store your phone while you run, while drop-in pockets provide additional storage. 
More DetailsFabric: Body: 78% nylon/22% elastane. Waist lining: 75% nylon/25% elastane. Gusset lining: 100% recycled polyester.Drawcord Machine washImportedColour Shown: BlackStyle: AR9794-010Country/Region of Origin: Cambodia"
"1573356123-16035","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","NikeCourt","https://www.nike.com/sg/t/nikecourt-tennis-dress-cmPfhH/AO0367-010","Women's Tennis Dress","NikeCourt","null","Soft and sleeveless, the NikeCourt Dress powers you through your match in total comfort. The lightweight fabric features a dark floral print inspired by traditional French florals.","Style: AO0367-010","Colour Shown: Black/Oxygen Purple/Oxygen Purple","Machine wash","null","REFRESHED FLORAL.
Soft and sleeveless, the NikeCourt Dress powers you through your match in total comfort. The lightweight fabric features a dark floral print inspired by traditional French florals.
BenefitsKnit fabric is soft and lightweight.Ribbing on the collar and armholes moves with you.
Product DetailsSleeveless designFabric: 100% polyesterMachine washImportedColour Shown: Black/Oxygen Purple/Oxygen PurpleStyle: AO0367-010Country/Region of Origin: China"
"1573356710-16146","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike","https://www.nike.com/sg/t/running-top-Ls7k7n/BV4363-100","Women's Running Top","Nike","$89","The Nike Top outfits you in breathable comfort to span the miles. The lightweight midlayer combines sweat-wicking technology with side hem vents to help keep you dry and the air flowing freely.","Style: BV4363-100","Colour Shown: White/Black/Black","Smooth elastic tape at the back of the neck and Nike Air screen print on the chest and sleeve","Colour Shown: White/Black/Black","LAYER UP IN VENTILATED COMFORT.
The Nike Top outfits you in breathable comfort to span the miles. The lightweight midlayer combines sweat-wicking technology with side hem vents to help keep you dry and the air flowing freely.
Sweat-Wicking ComfortNike Dri-FIT Technology moves sweat from your skin for quicker evaporation—helping you stay dry, comfortable and focused.
Personalised Ventilation1/2-length front closure has hidden snaps so you can adjust the airflow. Side hem vents help keep you cool and moving naturally.
Light yet Tough CoverageWoven stand-up collar and centre back are lightweight and durable. Thumbholes at the cuffs help keep the sleeves in place while you run.
Product DetailsStandard fit for a relaxed, easy feelHem designed to fall below your hipsSmooth elastic tape at the back of the neck and Nike Air screen print on the chest and sleeveHidden stash pocket at the left cuff100% polyesterMachine washImportedColour Shown: White/Black/BlackStyle: BV4363-100Country/Region of Origin: Thailand"
"1573356565-16119","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Squad OTC","https://www.nike.com/sg/t/squad-otc-football-socks-wDG76R/SX6830-100","Football Socks","Nike Squad OTC","$25","The Nike Squad OTC Football Socks feature sweat-wicking fabric and arch compression for performance comfort and support.","Style: SX6830-100","Colour Shown: White/Pure Platinum/Black","Arch compression for snug support","Style: SX6830-100","SWEAT-WICKING COMFORT
The Nike Squad OTC Football Socks feature sweat-wicking fabric and arch compression for performance comfort and support.
BenefitsDri-FIT Technology helps keep feet dry and comfortableLeft/right-foot specific for a natural feelArch compression for snug support
Product DetailsFabric: 42% polyester/36% nylon/16% cotton/6% elastane (percentages may vary)Machine washImportedColour Shown: White/Pure Platinum/BlackStyle: SX6830-100Country/Region of Origin: Bulgaria,Turkey"
"1573356177-16045","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Bliss","https://www.nike.com/sg/t/bliss-training-trousers-81VCTd/AQ0295-010","Women's Training Trousers","Nike Bliss","null","Whether you're dancing or flowing through a yoga class, the Nike Bliss Trousers offer versatile, lightweight coverage and a tapered design that moves with your body.","Style: AQ0295-010","Colour Shown: Black/Clear","Slim fit tapers at the ankles to let you move freely.","null","DESIGNED TO MOVE.
Whether you're dancing or flowing through a yoga class, the Nike Bliss Trousers offer versatile, lightweight coverage and a tapered design that moves with your body.
BenefitsDri-FIT Technology helps keep you dry and comfortable.Mid-rise, elastic waistband provides a comfortable, secure fit.Slim fit tapers at the ankles to let you move freely.Elastic cuffs help keep the trousers in place during training movements.Slash pockets at the sides provide convenient storage.
Product DetailsSlim fit for a tailored feelFabric: 80% nylon/20% elastaneMachine washImportedColour Shown: Black/ClearStyle: AQ0295-010Country/Region of Origin: Sri Lanka"
"1573356597-16125","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear Swoosh","https://www.nike.com/sg/t/sportswear-swoosh-fleece-trousers-G5Smvs/BV3938-011","Women's Fleece Trousers","Nike Sportswear Swoosh","$89","Keep it classic with a chic twist in the Nike Sportswear Swoosh Women's Fleece Trousers. Crafted from ultra-soft brushed-back fleece, they feature a giant Swoosh design for sporty edge.","Style: BV3938-011","Colour Shown: Black/Black/White","Ribbed waistband with a drawcord lets you adjust the fit.","null","SOFT WITH A SWOOSH.
Keep it classic with a chic twist in the Nike Sportswear Swoosh Women's Fleece Trousers. Crafted from ultra-soft brushed-back fleece, they feature a giant Swoosh design for sporty edge.
BenefitsBrushed-back fleece has an ultra-soft feel.Giant Swoosh adds a playful vibe.Ribbed waistband with a drawcord lets you adjust the fit.Ribbed cuffs show off your kicks.
Product DetailsSide pocketsFabric: Body: 80% cotton/20% polyester. Pockets: 100% cotton.Machine washImportedColour Shown: Black/Black/WhiteStyle: BV3938-011Country/Region of Origin: China"
"1573356320-16072","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike x MadeMe","https://www.nike.com/sg/t/mademe-shirt-7knV11/CJ5936-687","Women's Shirt","Nike x MadeMe","$129","Erin Magee brings her female-first ethos to the pitch with the Nike x MadeMe Shirt. Taking a cue from the US women's teams of the late '90s, Magee updates the classic stadium shirt with a graphic featuring the Goddess of Victory.","Style: CJ5936-687","Colour Shown: Gym Red/Deep Royal Blue","Sublimated Nike Goddess of Victory graphic","Imported","A VICTORIOUS THROWBACK.
Erin Magee brings her female-first ethos to the pitch with the Nike x MadeMe Shirt. Taking a cue from the US women's teams of the late '90s, Magee updates the classic stadium shirt with a graphic featuring the Goddess of Victory.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focused.
Product DetailsRaglan sleevesRibbed necklineSublimated Nike Goddess of Victory graphicUS team crest at the left chestSwoosh design trademark and MadeMe patch at the right chestFabric: 100% polyesterMachine washImportedColour Shown: Gym Red/Deep Royal BlueStyle: CJ5936-687Country/Region of Origin: China"
"1573356028-16017","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear Vintage","https://www.nike.com/sg/t/sportswear-vintage-shorts-3qmdpW/883734-010","Women's Shorts","Nike Sportswear Vintage","$59","The Nike Sportswear Vintage Women's Shorts are made with a soft cotton blend for all-day comfort.","Style: 883734-010","Colour Shown: Black/Sail","Side pockets","Style: 883734-010","LASTING COMFORT
The Nike Sportswear Vintage Women's Shorts are made with a soft cotton blend for all-day comfort.
BenefitsBlended cotton fabric has a super-soft, lightweight feelWaistband with thick drawcord for an adjustable fitSide pockets
Product DetailsFabric: 60% cotton/40% polyesterMachine washImportedColour Shown: Black/SailStyle: 883734-010Country/Region of Origin: China"
"1573356059-16023","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear","https://www.nike.com/sg/t/sportswear-cropped-t-shirt-lH8THP/BV7171-010","Women's Cropped T-Shirt","Nike Sportswear","null","Rep your rebellious side in the Nike Sportswear Women's Cropped T-Shirt, a soft, feminine piece with a spray-paint-inspired call to action on the front.","Style: BV7171-010","Colour Shown: Black","Spray-paint-inspired graphic reps a feminine ""Just Do It.""","null","SOFT AND CROPPED.
Rep your rebellious side in the Nike Sportswear Women's Cropped T-Shirt, a soft, feminine piece with a spray-paint-inspired call to action on the front.
BenefitsJersey fabric feels soft.A cropped design falls above the hips.Spray-paint-inspired graphic reps a feminine ""Just Do It.""
Product DetailsFabric: 50–100% cotton/0–50% polyesterMachine washImportedNote: Material percentages may vary depending on colour. Check label for actual content.Colour Shown: BlackStyle: BV7171-010Country/Region of Origin: Turkey"
"1573356397-16087","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Jordan DNA","https://www.nike.com/sg/t/jordan-dna-fleece-crew-b0zdNc/AV0044-820","Fleece Crew","Jordan DNA","$109","In 1991, Michael Jordan won his first professional championship. The colours of the teams he beat are highlighted on the Jordan DNA Crew, combining with brushed fleece fabric to help you stay warm from the court to the street.","Style: AV0044-820","Colour Shown: Brilliant Orange","Imported","null","HERITAGE DESIGN MEETS MODERN WARMTH OFF THE COURT.
In 1991, Michael Jordan won his first professional championship. The colours of the teams he beat are highlighted on the Jordan DNA Crew, combining with brushed fleece fabric to help you stay warm from the court to the street.
Stay WarmThe brushed French terry fleece has a soft, warm feel.
Heritage DesignColour elements are inspired by the teams Michael Jordan beat on his way to the 1991 NBA championship.
Secure ComfortThe ribbed cuffs and waistband help keep the crew in place.
Product DetailsFabric: Body: 80% cotton/20% polyester. Rib: 97% cotton/3% elastane.Machine washImportedColour Shown: Brilliant OrangeStyle: AV0044-820Country/Region of Origin: Malaysia"
"1573356070-16025","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear NSW","https://www.nike.com/sg/t/sportswear-nsw-short-sleeve-mesh-top-0JC8lt/BV2809-480","Women's Short-Sleeve Mesh Top","Nike Sportswear NSW","$69","Play on in the Nike Sportswear NSW Top. Mesh fabric in a cropped design is soft and breathable, while a checked print keeps it feeling fresh.","Style: BV2809-480","Colour Shown: Game Royal/Black/University Red/White","Checked print has a playful vibe.","Country/Region of Origin: China","SOFT, BREATHABLE NIKE STYLE.
Play on in the Nike Sportswear NSW Top. Mesh fabric in a cropped design is soft and breathable, while a checked print keeps it feeling fresh.
BenefitsMesh fabric is soft and adds ventilation.Cropped design falls above the hips.Checked print has a playful vibe.
Product DetailsLoose fit for an oversized, roomy feelRibbed collarFabric: 100% polyesterMachine washImportedColour Shown: Game Royal/Black/University Red/WhiteStyle: BV2809-480Country/Region of Origin: China"
"1573356155-16041","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","NikeCourt Pure","https://www.nike.com/sg/t/nikecourt-pure-tennis-polo-TX3zQl/830422-508","Women's Tennis Polo Shirt","NikeCourt Pure","null","The NikeCourt Pure Polo updates an on-court classic with a slim, fold-over collar combined with a traditional polo placket. Its slim fit and hem vents allow you to move comfortably as you run and swing.","Style: 830422-508","Colour Shown: Oxygen Purple/Oxygen Purple","3-button placket","Style: 830422-508","CLASSIC COMFORT FOR THE COURT.
The NikeCourt Pure Polo updates an on-court classic with a slim, fold-over collar combined with a traditional polo placket. Its slim fit and hem vents allow you to move comfortably as you run and swing.
BenefitsDri-FIT Technology helps keep you dry and comfortable.Hem vents let you move naturally.
Product DetailsSlim fit for a tailored feelFold-over collar3-button placketFabric: 88% polyester/12% elastaneMachine washImportedColour Shown: Oxygen Purple/Oxygen PurpleStyle: 830422-508Country/Region of Origin: Vietnam"
"1573356134-16037","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Swoosh","https://www.nike.com/sg/t/swoosh-running-tights-8wv6LB/BV3813-010","Women's Running Tights","Nike Swoosh","$75","The Nike Swoosh Women's Running Tights feature stretchy and sweat-wicking fabric that's designed for all-day wear. A flattering waistband and feminine design create tights that can tackle it all—and look good while doing it.","Style: BV3813-010","Colour Shown: Black/White","V-shape seam at the back gives a flattering shape.","null","LIGHTWEIGHT, HIGH-PERFORMANCE TIGHTS FOR THE LONG RUN.
The Nike Swoosh Women's Running Tights feature stretchy and sweat-wicking fabric that's designed for all-day wear. A flattering waistband and feminine design create tights that can tackle it all—and look good while doing it.
BenefitsInner waistband pocket keeps your essentials close at hand.Wide, mid-rise waistband follows the curves of your body for comfort.V-shape seam at the back gives a flattering shape.Dri-FIT Technology helps you stay dry, comfortable and focused.
Product DetailsFabric: 83% recycled polyester/17% elastaneMachine washImportedColour Shown: Black/WhiteStyle: BV3813-010Country/Region of Origin: Vietnam
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573356694-16143","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear Vintage","https://www.nike.com/sg/t/sportswear-vintage-crops-ERTB3RjZ/883724-010","Women's Crops","Nike Sportswear Vintage","$59","The Nike Sportswear Vintage Crops elevate a wardrobe staple with an extra-comfortable feel. Made from soft blended fabric, they feature ribbed cuffs above the ankle for a fit that stays in place.","Style: 883724-010","Colour Shown: Black/Sail","Ribbed cuffs fall above the ankle to show off your sneakers.","null","RETRO LOOK. SOFT FEEL.
The Nike Sportswear Vintage Crops elevate a wardrobe staple with an extra-comfortable feel. Made from soft blended fabric, they feature ribbed cuffs above the ankle for a fit that stays in place.
BenefitsHeathered jersey fabric is soft and comfortable.Elastic waistband with drawstring for an adjustable fit.Ribbed cuffs fall above the ankle to show off your sneakers.Thick drawcord is inspired by retro performance apparel.
Product DetailsSide pocketsFabric: 60% organic cotton/40% recycled polyesterMachine washImportedColour Shown: Black/SailStyle: 883724-010Country/Region of Origin: China
MADE FROM SUSTAINABLE MATERIALSThis product features a blend of at least 50% organic cotton and recycled polyester fabric. Organic cotton is grown without synthetic chemicals and uses less water than is conventional, and recycled polyester reduces waste and our carbon footprint."
"1573356326-16073","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Spark A.I.R. Cody Hudson","https://www.nike.com/sg/t/spark-air-cody-hudson-running-crew-socks-MR30Mn/SK0153-451","Running Crew Socks","Nike Spark A.I.R. Cody Hudson","$29","Designed for the runner who wants to feel barefoot, the Nike Spark A.I.R. Socks feature sweat-wicking mesh fabric for a cool and dry experience. Extra yarns in the footbed and ankle provide soft support with every step.","Style: SK0153-451","Colour Shown: Obsidian/Hyper Royal","Micro-cushioning provides soft support.","null","LIGHTWEIGHT SUPPORT. BAREFOOT FEEL.
Designed for the runner who wants to feel barefoot, the Nike Spark A.I.R. Socks feature sweat-wicking mesh fabric for a cool and dry experience. Extra yarns in the footbed and ankle provide soft support with every step.
BenefitsPart of this season's Artist In Residence (A.I.R.) collection designed by Cody Hudson, they feature bold, geometric graphics inspired by his own running experiences.Sweat-wicking fabric helps you stay dry and comfortable.Micro-cushioning provides soft support.Arch band contours around your foot for a locked-in fit.
Product Details95% polyester/5% elastaneMachine washImportedColour Shown: Obsidian/Hyper RoyalStyle: SK0153-451Country/Region of Origin: China"
"1573356336-16075","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear Leg-A-See","https://www.nike.com/sg/t/sportswear-leg-a-see-graphic-print-leggings-rkr0c2/BV5473-100","Women's Graphic Print Leggings","Nike Sportswear Leg-A-See","$69","Made from soft, stretchy jersey fabric, the Nike Sportswear Leg-A-See Leggings feature a print with the iconic Nike call to action—""Just Do It.""","Style: BV5473-100","Colour Shown: White","An elastic waistband feels snug.","null","BIG LETTERS, BIG STATEMENT.
Made from soft, stretchy jersey fabric, the Nike Sportswear Leg-A-See Leggings feature a print with the iconic Nike call to action—""Just Do It.""
BenefitsJersey fabric feels soft and stretchy.An all-over print reps ""Just Do It.""An elastic waistband feels snug.
Product DetailsTight fit for a body-hugging feel57% cotton/32% polyester/11% elastaneMachine washImportedColour Shown: WhiteStyle: BV5473-100Country/Region of Origin: China"
"1573356171-16044","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Power","https://www.nike.com/sg/t/power-floral-training-tights-wk2CJ3/BV5724-487","Women's Floral Training Tights","Nike Power","$119","The Nike Power Tights let you power though your workout thanks to stretchy, sweat-wicking fabric in a mid-rise design. The photo-realistic floral print lends a look that sets you apart in the gym.","Style: BV5724-487","Colour Shown: Light Current Blue/White","74% polyester/26% elastane","Country/Region of Origin: Cambodia","A TRAINING ESSENTIAL THAT WICKS SWEAT.
The Nike Power Tights let you power though your workout thanks to stretchy, sweat-wicking fabric in a mid-rise design. The photo-realistic floral print lends a look that sets you apart in the gym.
Sweat-Wicking ComfortStretchy fabric with Dri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.
Handy StorageA slide-in pocket at the back is big enough for your phone and a drop-in pocket at the hip holds your card or key.
Secure FeelWide, mid-rise waistband follows your body's natural lines for a smooth feel that stays in place while you move.
Product DetailsTight fit for a body-hugging feelFull length74% polyester/26% elastaneMachine washImportedColour Shown: Light Current Blue/WhiteStyle: BV5724-487Country/Region of Origin: Cambodia"
