web-scraper-order,web-scraper-start-url,link,link-href,category,title,price,description,style id,colour,material,manufacturing,detailed
"1573356678-16140","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike ACG","https://www.nike.com/sg/t/acg-anorak-tb7CwZ/CI0460-100","Women's Anorak","Nike ACG","$229","The Nike ACG Anorak delivers light, weather-resistant materials and adjustable details to keep you in charge of your fit. Multiple storage options help keep small items at your side.","Style: CI0460-100","Colour Shown: White/Black/Black","Asymmetrical front zip","Imported","LIGHTWEIGHT DESIGN FOR ALL CONDITIONS.
The Nike ACG Anorak delivers light, weather-resistant materials and adjustable details to keep you in charge of your fit. Multiple storage options help keep small items at your side.
Take on the ElementsThe jacket's woven design is made to help resist light wind and rain, keeping you comfortable on your next adventure. A breathable mesh lining provides cooling when you heat up.
Adjust the FitDetails like a drawcord at the waist let you adjust the fit to your needs. Elastic cuffs add extra comfort to your journey. At the back, a vent helps create airflow.
Product DetailsDesigned and tested in OregonMesh front pocket and zip back pocketAsymmetrical front zipAll-over print detailsInternal zipped storm guardBody: 100% polyester. Panel: 94% nylon/6% elastane.Machine washImportedColour Shown: White/Black/BlackStyle: CI0460-100Country/Region of Origin: Vietnam
Nike ACGReady to conquer or escape the urban landscape, Nike All Conditions Gear outfits you in modern wear that tackles the elements. Wind and waterproof fabrics and breathable technologies keep you covered, while next-level design equips you with versatile storage and style options."
"1573356518-16110","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Lightweight","https://www.nike.com/sg/t/lightweight-training-socks-jnTpnnXR/SX5277-100","Training Socks (3 Pair)","Nike Lightweight","$25","The Nike Lightweight Training Socks feature stretchy fabric for snug comfort and breathability.","Style: SX5277-100","Colour Shown: White/Wolf Grey","Fabric: 57% nylon/40% polyester/3% elastane","Reinforced heel and toe for durability","LIGHTWEIGHT COMFORT
The Nike Lightweight Training Socks feature stretchy fabric for snug comfort and breathability.
Snug and SecureAn arch band provides snug comfort and helps prevent the sock from bunching.
More DetailsMicro-nylon and elastane fabrics provide a soft feelInterior anti-slip silicone heel pad helps keep sock in placeFabric: 57% nylon/40% polyester/3% elastaneMachine washImportedStay Dry Dri-FIT Technology wicks sweat away from your skin to help keep you dry and comfortable.
More Details Micro-nylon and elastane fabrics provide a soft feelInterior anti-slip silicone heel pad helps keep sock in placeReinforced heel and toe for durabilityFabric: Dri-FIT 57% nylon/40% polyester/3% elastaneMachine washImportedColour Shown: White/Wolf GreyStyle: SX5277-100Country/Region of Origin: Thailand,China"
"1573356218-16053","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Jordan Jumpman","https://www.nike.com/sg/t/jordan-jumpman-woven-trousers-d6nKFm/AV1840-010","Woven Trousers","Jordan Jumpman","$99","The Jordan Jumpman Men's Woven Trousers are made from lightweight fabric so you can fly higher and move comfortably to and from the court.","Style: AV1840-010","Colour Shown: Black/White","Imported","null","LIGHTWEIGHT COVERAGE TO AND FROM THE COURT.
The Jordan Jumpman Men's Woven Trousers are made from lightweight fabric so you can fly higher and move comfortably to and from the court.
BenefitsThe lightweight fabric is made to move with you.A zip pocket offers storage on the go.
Product DetailsFabric: Body: 68% cotton/28% nylon/4% elastane. Pocket bags: 100% nylon.Machine washImportedColour Shown: Black/WhiteStyle: AV1840-010Country/Region of Origin: Vietnam"
"1573356145-16039","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Tempo Lux","https://www.nike.com/sg/t/tempo-lux-running-shorts-nj76Jv/BV3291-671","Women's Running Shorts","Nike Tempo Lux","$75","Feel supported as you run freely in the Nike Tempo Lux Shorts. The outer woven shorts feel lightweight and airy, while the inner knit shorts provide comfortable coverage.","Style: BV3291-671","Colour Shown: Bright Crimson/Black/Black","Nike Dri-FIT Technology helps you stay dry, comfortable and focused.","Country/Region of Origin: Vietnam","2-IN-1 SHORTS THAT WICK SWEAT FOR MILES.
Feel supported as you run freely in the Nike Tempo Lux Shorts. The outer woven shorts feel lightweight and airy, while the inner knit shorts provide comfortable coverage.
More BenefitsThe outer shorts have a curved hem inspired by Tempo design lines. Box pleats on the side panels give an airy, light feeling. The tight-knit inner shorts give breathable coverage.A hidden pocket on the right hip of the inner shorts is big enough to store your phone.Nike Dri-FIT Technology helps you stay dry, comfortable and focused.The versatile waistband combines comfort and style with covered elastic on the front and back panels, and smooth elastic on the sides.
Product DetailsStandard fit for a relaxed, easy feelThese shorts belong to the Future Air capsule, a re-imagining of the future of Nike Air and Running Apparel.Fabric: Body: 54% nylon/46% polyester. Tight/waist lining: 90% polyester/10% elastane. Gusset lining: 100% recycled polyester.Machine washImportedColour Shown: Bright Crimson/Black/BlackStyle: BV3291-671Country/Region of Origin: Vietnam"
"1573356662-16137","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike","https://www.nike.com/sg/t/long-sleeve-skeleton-top-sFkKHT/CJ0182-237","Women's Long-Sleeve Skeleton Top","Nike","$99","The Nike Skeleton Top adds a spooky twist to a running staple with a bone-chilling graphic.","Style: CJ0182-237","Colour Shown: Baroque Brown","Imported","null","MOVE THOSE BONES.
The Nike Skeleton Top adds a spooky twist to a running staple with a bone-chilling graphic.
A Skeleton In Your CupboardA reflective skeleton graphic over a woodland print gets you in the spirit of the season.
Keep It MovingKnit fabric is soft and stretchy. Sweat-wicking technology helps you stay dry and comfortable.
Product Details88% polyester/12% elastaneMachine washImportedColour Shown: Baroque BrownStyle: CJ0182-237Country/Region of Origin: China"
"1573356424-16092","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Pro","https://www.nike.com/sg/t/pro-camo-tights-Gsl4v4/BV3099-723","Women's Camo Tights","Nike Pro","null","The Nike Pro Tights wick sweat, dry quickly and provide superior coverage and movement without sacrificing an overall locked-in feel.","Style: BV3099-723","Colour Shown: Club Gold/Black/White","Imported","null","BODY-SKIMMING CAMO, OPTIMAL COMFORT.
The Nike Pro Tights wick sweat, dry quickly and provide superior coverage and movement without sacrificing an overall locked-in feel.
Sweat-Wicking Base LayerNike Pro fabric provides a sweat-wicking base layer of support to help you feel locked in and cool when the action heats up.
Secure Fit and FeelAn exposed Nike Pro elastic band on the back is ultra-smooth and provides a secure fit and added support for your core.
Enhanced BreathabilityMesh panels provide targeted breathability where it's needed most to help keep you cool and comfortable through your entire workout.
Product DetailsFabric: Body: 83% polyester/17% elastane. Gusset lining: 100% polyester.Machine washImportedColour Shown: Club Gold/Black/WhiteStyle: BV3099-723Country/Region of Origin: Vietnam"
"1573356354-16079","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Pro","https://www.nike.com/sg/t/pro-13cm-shorts-hqHzHq/AO9976-010","Women's 13cm (approx.) Shorts","Nike Pro","$39","The Nike Pro Shorts are crafted from soft, sweat-wicking fabric for cool comfort. They feature a tight fit with a wide waistband for a flattering fit and feel.","Style: AO9976-010","Colour Shown: Black/White","Fabric: Body: 83% polyester/17% elastane. Gusset lining: 100% polyester.","Country/Region of Origin: Vietnam","THE BEST IN BREATHABILITY.
The Nike Pro Shorts are crafted from soft, sweat-wicking fabric for cool comfort. They feature a tight fit with a wide waistband for a flattering fit and feel.
BenefitsNike Pro fabric helps you feel locked in and cool.Wide, elastic waistband stretches for a snug, flattering feel.
Product DetailsTight fit for a body-hugging feel5"" (13cm approx.) inseamFabric: Body: 83% polyester/17% elastane. Gusset lining: 100% polyester.Machine washImportedColour Shown: Black/WhiteStyle: AO9976-010Country/Region of Origin: Vietnam"
"1573356039-16019","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike ACG","https://www.nike.com/sg/t/acg-long-sleeve-t-shirt-lLZtR1/BQ7203-423","Long-Sleeve T-Shirt","Nike ACG","$59","Durable comfort. Rock-solid stitching. Classic style. A must-have staple that's anything but ordinary.","Style: BQ7203-423","Colour Shown: Blue Tint/Black","Fabric: 100% cotton","Country/Region of Origin: China","COMFY COTTON FOR ALL CONDITIONS.
Durable comfort. Rock-solid stitching. Classic style. A must-have staple that's anything but ordinary.
BenefitsDense cotton fabric has a soft, heavy feel.Screen-printed graphic reps Nike ACG.
Product DetailsStandard fit has a relaxed, easy feelRibbed cuffsFabric: 100% cottonMachine washImportedColour Shown: Blue Tint/BlackStyle: BQ7203-423Country/Region of Origin: China"
"1573356482-16103","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Favourites","https://www.nike.com/sg/t/favourites-light-support-sports-bra-Mhqhvc/BV3882-606","Women's Light-Support Sports Bra","Nike Favourites","$55","Designed for women of all body types, the Nike Favourites Sports Bra provides the perfect combination of lightweight breathability and support for low-impact activities like yoga, barre and Pilates.","Style: BV3882-606","Colour Shown: Pink Quartz/Black","Removable pads add versatility.","null","A LIGHT-IMPACT TRAINING ESSENTIAL.
Designed for women of all body types, the Nike Favourites Sports Bra provides the perfect combination of lightweight breathability and support for low-impact activities like yoga, barre and Pilates.
BenefitsDri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry, comfortable and focused.An adjustable front tie is a fixed detail that can be used to customise the fit and feel.Removable pads add versatility.
Product DetailsTight fit for a body-hugging feelFabric: Body/lining: 80% polyester/20% elastane. Interlining: 88% recycled polyester/12% elastane. Pad top fabric/pad back fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Pink Quartz/BlackStyle: BV3882-606Country/Region of Origin: Sri Lanka"
"1573356635-16132","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Dri-FIT","https://www.nike.com/sg/t/dri-fit-short-sleeve-training-top-qHXFdR/BV5698-657","Women's Short-Sleeve Training Top","Nike Dri-FIT","$49","The Nike Dri-FIT Top has the soft feel of cotton with the help of sweat-wicking technology to keep you dry and confident through your workout. Its oversized fit gives you maximum comfort and mobility.","Style: BV5698-657","Colour Shown: University Red/White","75% polyester/13% cotton/12% rayon","Country/Region of Origin: Vietnam","ROOM TO MOVE.
The Nike Dri-FIT Top has the soft feel of cotton with the help of sweat-wicking technology to keep you dry and confident through your workout. Its oversized fit gives you maximum comfort and mobility.
GET GAME READY.Dri-FIT Technology moves sweat from your skin for quicker evaporation to help you stay dry and comfortable.Raw cut edges give you a casual look.
Product DetailsLoose fit for an oversized, roomy feelLonger back hem75% polyester/13% cotton/12% rayonMachine washImportedColour Shown: University Red/WhiteStyle: BV5698-657Country/Region of Origin: Vietnam"
