,url,brand,title,price,description,colour
774,https://www.asos.com/collusion/collusion-unisex-bleached-cord-jean-jacket/grp/26774?clr=khaki&colourWayId=0&SearchQuery=&cid=3630,Pimkie,COLLUSION Unisex bleached cord jean & jacket,missing,missing,missing
775,https://www.asos.com/collusion/collusion-x002-super-skinny-high-waist-jean-in-clean-black/prd/10564738?clr=black&colourWayId=16272599&SearchQuery=&cid=3630,COLLUSION,COLLUSION x002 super skinny high waist jean in clean black,missing,"    <li>For today, tomorrow and every day after</li><li>High rise</li><li>Zip fly</li><li>Functional pockets</li><li>Skinny fit</li><li>Cut closely from hips to hem</li>",missing
776,https://www.asos.com/only-petite/only-petite-mom-jeans-in-black/prd/13122473?clr=black&colourWayId=16530442&SearchQuery=&cid=3630,Only,Only Petite mom jeans in black,missing,    <li>Add them to your everyday line-up</li><li>High-rise waist</li>    <li>Concealed fly</li>    <li>Functional pockets</li><li>Slim tapered leg</li><li>Sits on the ankle</li><li>Relaxed fit</li>,missing
777,https://www.asos.com/new-look/new-look-knee-rip-lift-and-shape-skinny-jean-in-mid-blue/prd/12638586?clr=mid-blue&colourWayId=16443816&SearchQuery=&cid=3630,New Look,New Look knee rip lift and shape skinny jean in mid blue,missing,"    <li><span style=""background-color: initial;"">It's all in the jeans</span></li><li><span style=""background-color: initial;"">High rise</span></li><li><span style=""background-color: initial;"">Belt loop</span></li><li><span style=""background-color: initial;"">Concealed fly</span></li>    <li>Five pockets</li>    <li><span style=""background-color: initial;"">Ripped knees</span></li><li>Skinny fit</li><li>Cut very closely from hips to hem</li>",missing
778,https://www.asos.com/only/only-highwaist-wide-leg-jean/prd/12836428?clr=dark-blue-denim&colourWayId=16460953&SearchQuery=&cid=3630,Only,Only highwaist wide leg jean,missing,"    <li><span style=""background-color: initial;"">They're long-term relationship material</span></li><li><span style=""background-color: initial;"">High rise</span></li><li><span style=""background-color: initial;"">Belt loops</span></li><li>Zip fly with button fastening</li>    <li>Functional pockets</li><li>Wide leg</li><li>Fitted at the top, flowing at the bottom</li>",missing
779,https://www.asos.com/asos-tall/asos-design-tall-recycled-farleigh-high-waisted-slim-mom-jeans-in-dark-wash/prd/10737638?clr=dark-blue&colourWayId=16316712&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Tall Recycled Farleigh high waisted slim mom jeans in dark wash,missing,    <li>Wear them again and again</li><li>High rise</li><li>Concealed fly</li><li>Functional pockets</li><li>Slim fit</li><li>A narrow cut that sits close to the body</li><li>Part of the Eco Edit</li>,missing
780,https://www.asos.com/missguided/missguided-wrath-straight-leg-jean-in-black/prd/9761950?clr=black&colourWayId=15068342&SearchQuery=&cid=3630,Missguided,Missguided wrath straight leg jean in black,missing,    <li>A wardrobe staple&nbsp;</li><li>Concealed fly</li><li>Functional pockets</li><li>Straight leg</li><li>Raw-cut hem</li><li>For an unfinished finish</li><li>Straight fit&nbsp;</li><li>They've got the same width from waist to hem</li>,missing
781,https://www.asos.com/other-stories/other-stories-tie-detail-high-waist-jeans-in-washed-black/prd/14007378?clr=black&colourWayId=16584144&SearchQuery=&cid=3630,& Other Stories,& Other Stories tie detail high-waist jeans in washed black,missing,"    <li>Part of our responsible edit</li>    <li><span style=""background-color: initial;"">High rise</span></li><li><span style=""background-color: initial;"">Concealed fly</span></li><li><span style=""background-color: initial;"">Belted waist</span></li>    <li>Functional pockets</li>    <li>Cropped length</li><li>Regular fit&nbsp;</li><li>No surprises, just a classic cut</li>",missing
782,https://www.asos.com/vero-moda/vero-moda-wide-leg-jean/prd/12670880?clr=black&colourWayId=16479277&SearchQuery=&cid=3630,Vero Moda,Vero Moda wide leg jean,missing,"    <li>For today, tomorrow and every day after</li>    <li>High-rise waist</li><li>Concealed fly</li>    <li>Functioning pockets</li><li>Wide leg</li><li>Fitted at the top, flowing at the bottom</li>",missing
783,https://www.asos.com/missguided/missguided-riot-mom-jeans-with-rip-in-stonewash/prd/13456142?clr=blue&colourWayId=16466397&SearchQuery=&cid=3630,Missguided,Missguided riot mom jeans with rip in stonewash,missing,"    <li>Add them to your everyday line-up</li><li>High rise</li><li>Button fastening</li><li>Concealed fly</li><li>Functional pockets</li><li>Rip to knee</li><li>Regular, tapered fit</li><li>A standard cut around the thigh with a narrow shape through the leg</li>",missing
