,brand,title,price,description,colour,material
23,Deshabille,Petals Short In Bag,S$ 79.95,"- Loose fitting PJ shorts
- Self fabric waist tie
- Comes packed in printed gift bag- Our model is wearing a size S shorts. She usually takes a size AU Small, is 5'9"" (175cm) and has a 69cm waist.",Multi,Rayon
24,Cotton On Body,Party Pants Seamless Brasiliano Brief,S$ 11.99,"Let your gorgeous silhouette show in these no-show undies from Cotton On Body. Designed with seamless trimmings, this low-rise number features bonded seams and mini cheek coverage.

- Polyblend
- Elasticated waistband
- Slip-on design
- Super smooth
- Bonded seams
- Low-rise
- Mini cheek coverage
- Regular fit
- Unlined",Black,Blend
25,Cosabella,Never Say Never Hippie Halter Bra,S$ 83.90,"- Solid tone halter lace bra
- No cups
- Slim fit
- Elasticated band fastening
- Polyamide blend
- Model wears an M and is 180cm tall",Black,"91% Polyamide, 9% Elastane"
26,River Island,Scarf Satin Cami Top,S$ 32.90,"- Printed top with satin finish
- V neckline
- Regular fit
- Slip on style
- Adjustable straps
- Polyester
- Model wears an S and is 175cm tall",Pink Print,100% Polyester
27,Calvin Klein,Calvin Klein Pressed Lace Hipster,S$ 55.00,"From the romantic Pressed Lace family distinguished with the combination of sheer lace under soft mesh, this hipster panty has an elasticated waist and a full cotton gusset.",SCORCHED DENIM,[]
28,LYCKA,LMM2118- Lady Sexy Lace Bra And Panty Set-Purple,S$ 43.00,"-3/4 cup lace bra
-Detachable Double Shoulder Strap
-Back Hook Fastening
-Sexy and Regular Comfort",Purple,Polyester
29,YG Fitness,Quick-Drying Running Fitness Yoga Dance Sports Bra,S$ 149.00,"Body sculpting, 360-degree perfect body, perfect curve.
Fit: Leisure / Yoga / Running / Fitness / Dance / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- with chest pad, anti-shock Pressure
- Four-needle six-line exquisite craftsmanship, firm tear resistance",red,"Polyester fiber, spandex"
30,Bove by Spring Maternity,Seamless Postpartum Shaper Panty,S$ 19.90,"- Medical Grade- Highly breathable & stretchable- Broader seamless waist panel reduces pinching, binding effect- Powerful hosiery yarns at belly panel shapes- Reduces postpartum bulge.",Nude,Blend
31,ZALORA CORE,2 Pack Core Women's Lace Trim Tube Bra,S$ 22.00,"- Solid tone lace trim tube bra
- Bandeau neckline
- Unlined
- Regular fit
- Elasticized chest band
- No padded cups
- Cotton blend",White,95% Cotton 5% Spandex
32,Jack Wills,Appleley Dropped Shoulder Top,S$ 49.90,"- Brand logo sleep tee
- Round neckline
- Regular fit
- Cotton blend",Pink,"60% Cotton, 40% Modal"
